business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JYOTI STEEL,TMT Steel and Iron Wholesaler,Hardware store,Hardware store,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 78969 49493,N/A,4.6,12.0,"Nalbari-Hajo-Guwahati Rd, opposite to AGP Office, Khat, Nalbari, Assam 781335",Khat,26.4410201,91.4373731,ChIJQYgL-tnNWzcRrpjzLPf9gXI,https://www.google.com/maps/place/?q=place_id:ChIJQYgL-tnNWzcRrpjzLPf9gXI,part_358,2026-09-20 20:51:50
Mahadev Iron & Steel Pvt Ltd,TMT Steel and Iron Wholesaler,Laser Cutting Service Provider,"Laser Cutting Service Provider, Iron & Steel Store, Metal fabricator, Pipe supplier, Steel distributor, Steel fabricator",781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 98183 69248,https://qliqo.in/mahadev-iron-steel-pvt-ltd,5.0,16.0,"C-78/1 & 2 site1, Loha Mandi, Bulandshahr Road Industrial Area, Ghaziabad, Uttar Pradesh 201009","Loha Mandi, Bulandshahr Road Industrial Area",28.647926199999997,77.4544548,ChIJN1V1XpTxDDkRccypPZ0xBPI,https://www.google.com/maps/place/?q=place_id:ChIJN1V1XpTxDDkRccypPZ0xBPI,part_358,2026-09-20 20:51:50
ShailShree Metals,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Iron works, Steel distributor, Steel industry",781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 84778 89437,https://wa.me/message/2HTPWJDAAWYZI1,4.9,311.0,"Kipps Enclave Nainital road, Kudeshia overbridge, Izatnagar, Bareilly, Uttar Pradesh 243122",Izatnagar,28.3865038,79.4201533,ChIJ-53eIL8HoDkR_rRUSwmNcII,https://www.google.com/maps/place/?q=place_id:ChIJ-53eIL8HoDkR_rRUSwmNcII,part_358,2026-09-20 20:51:50
SREE LAKSHMI STEEL CEMENTS,TMT Steel and Iron Wholesaler,Cement Supplier,Cement Supplier,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 99513 50854,N/A,4.6,29.0,"Rice mill Road, Chitkul Rd, Muthangi, Hyderabad, Telangana 502300",Muthangi,17.548269599999998,78.2258733,ChIJQ7rzEHLzyzsRjm9a_vUcvUs,https://www.google.com/maps/place/?q=place_id:ChIJQ7rzEHLzyzsRjm9a_vUcvUs,part_358,2026-09-20 20:51:50
Adukia Industries,TMT Steel and Iron Wholesaler,Steel construction company,"Steel construction company, Iron & Steel Store, Manufacturer, Stainless steel plant, Steel distributor",781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 98360 68393,https://adukiaindustries.com/,4.2,25.0,"4th Floor, 25, Ganesh Chandra Ave, Esplanade, Bowbazar, Kolkata, West Bengal 700013","Esplanade, Bowbazar",22.5685559,88.3555578,ChIJ72cgyGp3AjoR-uxoWvUD0ps,https://www.google.com/maps/place/?q=place_id:ChIJ72cgyGp3AjoR-uxoWvUD0ps,part_358,2026-09-20 20:51:50
Everest Steel Trading Company,TMT Steel and Iron Wholesaler,Wholesaler,Wholesaler,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,5.0,1.0,"121-D, Sokkalapuram road, Pallapatti, Tamil Nadu 639207",781333,10.7128512,77.90046989999999,ChIJu_EbPJn1qTsRmsY-YOWHC50,https://www.google.com/maps/place/?q=place_id:ChIJu_EbPJn1qTsRmsY-YOWHC50,part_358,2026-09-20 20:51:50
M K STEEL TRADERS,TMT Steel and Iron Wholesaler,Wholesaler,Wholesaler,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 73023 49359,N/A,5.0,17.0,"Mohallha Sarai rafi in degree college market, next to hashmi patrol pump, Chandpur, Uttar Pradesh 246725",781333,29.1304737,78.2794273,ChIJf1hgDROXCzkREvkXMkMaoWE,https://www.google.com/maps/place/?q=place_id:ChIJf1hgDROXCzkREvkXMkMaoWE,part_358,2026-09-20 20:51:50
SRI SAI LAKSHMI TRADERS,TMT Steel and Iron Wholesaler,Steel industry,"Steel industry, Cement Supplier, Iron & Steel Store, Steel distributor",781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 89391 63589,N/A,5.0,10.0,"BALAJI COLONY, opp. to RMB building, Kammapalle, Basinikonda Rural, Andhra Pradesh 517325",Kammapalle,13.5681503,78.5145849,ChIJSfjjZcBnsjsRZgZACdMB61A,https://www.google.com/maps/place/?q=place_id:ChIJSfjjZcBnsjsRZgZACdMB61A,part_358,2026-09-20 20:51:50
Kumar Iron Store,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Building materials supplier, Cement Supplier, Iron ware dealer, Waterproofing service",781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 97374 45726,https://sites.google.com/view/kumariron,4.9,84.0,"Kanth Rd, Ahmad Nagar, Katkui, Amroha, Uttar Pradesh 244221","Ahmad Nagar, Katkui",28.917349299999998,78.4798794,ChIJjSvQmv4HCzkRH_wUwrcDx00,https://www.google.com/maps/place/?q=place_id:ChIJjSvQmv4HCzkRH_wUwrcDx00,part_358,2026-09-20 20:51:50
Shree Mahatma Steel,TMT Steel and Iron Wholesaler,Steel distributor,Steel distributor,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 99729 15445,N/A,5.0,10.0,"SY NO 51/13 Behind Chung Wagh, Bettadasanapura main Road Doddathogur, Electronic City Phase I, Electronic City, Doddathoguru, Karnataka 560100","Electronic City Phase I, Electronic City",12.8510891,77.6530634,ChIJYReStdNtrjsR1JPFq3sowek,https://www.google.com/maps/place/?q=place_id:ChIJYReStdNtrjsR1JPFq3sowek,part_358,2026-09-20 20:51:50
