business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cng Cylinder Testing Station,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",+91 97565 09150,N/A,3.9,,"Mathura Rd, near Dolphin Water Park, Agra, Uttar Pradesh 282007",781347,27.2364832,77.8712235,ChIJq5AZBUaGczkR8kyFnQ0WwJo,https://www.google.com/maps/place/?q=place_id:ChIJq5AZBUaGczkR8kyFnQ0WwJo,part_358,2026-09-20 20:58:27
Maruti Auto Gas,CNG Kit Fitment Center,CNG Fitment Center,"CNG Fitment Center, LPG conversion",781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",N/A,N/A,3.5,,"Ambika tower navad yousf road civil lines prayagraj Pryagraj, Uttar Pradesh 211001","Sangam Vihar Colony, Civil Lines",25.4482546,81.8305243,ChIJUTlCMYTLmjkRPsuG8fDe4Ng,https://www.google.com/maps/place/?q=place_id:ChIJUTlCMYTLmjkRPsuG8fDe4Ng,part_358,2026-09-20 20:58:27
Smart Engineering (CNG & LPG),CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",N/A,N/A,,,"HRFQ+VXC Tata Motors Ke Pehle Wali Gali Me, Chauraha Nagar Pateri, Civil Lines, Satna, Madhya Pradesh 485001",Civil Lines,24.5746987,80.8398876,ChIJAzP1qAl_hDkR1x78RaHFdvE,https://www.google.com/maps/place/?q=place_id:ChIJAzP1qAl_hDkR1x78RaHFdvE,part_358,2026-09-20 20:58:27
CNG KIT Fitting Center,CNG Kit Fitment Center,Auto repair shop,Auto repair shop,781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",N/A,N/A,4.0,7.0,"96Q2+6QC, Kandhla, Kairana, Uttar Pradesh 247774",Kandhla,29.388150099999997,77.2019442,ChIJHdwgIQEtDDkR1POw_L-jbIU,https://www.google.com/maps/place/?q=place_id:ChIJHdwgIQEtDDkR1POw_L-jbIU,part_358,2026-09-20 20:58:27
CNG kit fitment and maintenance HM,CNG Kit Fitment Center,CNG Fitment Center,"CNG Fitment Center, Auto repair shop",781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",+91 97163 25671,N/A,4.7,6.0,"Piller No- 820, Opp, Rohtak - Delhi Rd, Dayanand Nagar, Dalbir Nagar, Bahadurgarh, Haryana 124507","Dayanand Nagar, Dalbir Nagar",28.6902014,76.93944739999999,ChIJkWNhYMIJDTkRQMMTzTW8N4g,https://www.google.com/maps/place/?q=place_id:ChIJkWNhYMIJDTkRQMMTzTW8N4g,part_358,2026-09-20 20:58:27
Shiva GNG Auto Gas,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",+91 77718 83107,N/A,5.0,12.0,"Front of Sidhant hotel, Rewa satna road, Rewa Rd, Sangram Colony, Satna, Madhya Pradesh 485001",Sangram Colony,24.5709429,80.84697229999999,ChIJW5ZnRV1_hDkRzZ5YcQEEdNw,https://www.google.com/maps/place/?q=place_id:ChIJW5ZnRV1_hDkRzZ5YcQEEdNw,part_358,2026-09-20 20:58:27
AK AUTO CNG,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",+91 98705 51221,N/A,4.0,84.0,"Dombivli, Kachore Gaon, Kalyan, Maharashtra 421306","Dombivli, Kachore Gaon",19.2312817,73.11995069999999,ChIJ_UfmU8SV5zsRSd4gemdh21g,https://www.google.com/maps/place/?q=place_id:ChIJ_UfmU8SV5zsRSd4gemdh21g,part_358,2026-09-20 20:58:29
Eknath CNG & LPG-CNG Kit/LPG Kit Repair/CNG Kit Distributors/Repair & Services,CNG Kit Fitment Center,CNG Fitment Center,"CNG Fitment Center, Auto body shop, Car wash, LPG conversion",781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",+91 93739 05760,N/A,4.3,78.0,"Mumbai-Nashik Highway, Near Sai Palace Hotel, Near Clicks Hotel, behind Sudhir Motors, Chetana nagar, Rane Nagar, Nashik, Maharashtra 422009","Chetana nagar, Rane Nagar",19.9618929,73.7648763,ChIJX6asoETr3TsRCkYEffTJfzg,https://www.google.com/maps/place/?q=place_id:ChIJX6asoETr3TsRCkYEffTJfzg,part_358,2026-09-20 20:58:29
NATIONAL MOTORS AND CNG,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",+91 93248 75744,N/A,4.5,33.0,"124, Surya compound, behind indian petrol pump, Chavindra, Bhiwandi, Maharashtra 421302",Chavindra,19.318513199999998,73.0748313,ChIJeVGL-PS95zsRc0f3a-DjfmM,https://www.google.com/maps/place/?q=place_id:ChIJeVGL-PS95zsRc0f3a-DjfmM,part_358,2026-09-20 20:58:29
Lovato CNG Sole DistributorThane - CNG Kit Fitting,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",+91 98926 67072,http://www.lovatogasindia.com/,4.4,400.0,"estate IndustrialrtsudNi dnaNA, Thane, Maharashtra 400604",Kashish Park,19.1842737,72.9609109,ChIJEwAAADu55zsRXN2AO6GvAbk,https://www.google.com/maps/place/?q=place_id:ChIJEwAAADu55zsRXN2AO6GvAbk,part_358,2026-09-20 20:58:29
