business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Arogya Clinic,Healthcare Clinic Chains,Hospital,Hospital,781350,Assam Circle,N/A,Nalbari Division,"Sanekuchi S.O, Balisatra B.O, Barenghati B.O",+91 95086 13340,N/A,5.0,6.0,"Majkuchi, Assam 781125",781350,26.0388111,91.5124957,ChIJKxFfvPw_WjcRPnmlIyUfo8I,https://www.google.com/maps/place/?q=place_id:ChIJKxFfvPw_WjcRPnmlIyUfo8I,part_358,2026-09-20 21:00:12
Aarohan Medical,Healthcare Clinic Chains,Medical Center,"Medical Center, Dental clinic",781350,Assam Circle,N/A,Nalbari Division,"Sanekuchi S.O, Balisatra B.O, Barenghati B.O",+91 91019 88123,N/A,5.0,,"Numaligarh Tiniali, near Masjid, Market, Numaligarh, Assam 785615",Market,26.6312446,93.7278221,ChIJQ9HZpygnRDcRoXEsMJJl87g,https://www.google.com/maps/place/?q=place_id:ChIJQ9HZpygnRDcRoXEsMJJl87g,part_358,2026-09-20 21:00:13
Mirza Community Health Centre,Healthcare Clinic Chains,Hospital,Hospital,781350,Assam Circle,N/A,Nalbari Division,"Sanekuchi S.O, Balisatra B.O, Barenghati B.O",+91 3623 231 005,N/A,3.4,,"3GWH+GMV, Mirza, Kokjar, Assam 781125",Mirza,26.0963651,91.52918,ChIJ19OrQ5pAWjcRtzs2qliO2CE,https://www.google.com/maps/place/?q=place_id:ChIJ19OrQ5pAWjcRtzs2qliO2CE,part_358,2026-09-20 21:00:13
Haldha Primary Health Centre,Healthcare Clinic Chains,Hospital,Hospital,781350,Assam Circle,N/A,Nalbari Division,"Sanekuchi S.O, Balisatra B.O, Barenghati B.O",+91 98544 94271,N/A,4.0,,"Khoirabari - Andherighat- Jayantipur - Salmara Rd, Bezera, Patrapur, Assam 781121",781350,26.3897944,91.7992677,ChIJQ-Z79yNVWjcRqGm6z966ar4,https://www.google.com/maps/place/?q=place_id:ChIJQ-Z79yNVWjcRqGm6z966ar4,part_358,2026-09-20 21:00:13
Rajgarh CHC,Healthcare Clinic Chains,Community health center,Community health center,781350,Assam Circle,N/A,Nalbari Division,"Sanekuchi S.O, Balisatra B.O, Barenghati B.O",N/A,N/A,3.2,,"54M9+XPC, Rajgarh Rd, Rajgarh T.E. No.122 Nlr, Assam 786611",781350,27.184929999999998,95.1192609,ChIJ97FbtJlWPzcRQ3hR4DxL_Do,https://www.google.com/maps/place/?q=place_id:ChIJ97FbtJlWPzcRQ3hR4DxL_Do,part_358,2026-09-20 21:00:13
Aman Clinic,Healthcare Clinic Chains,Doctor,Doctor,781350,Assam Circle,N/A,Nalbari Division,"Sanekuchi S.O, Balisatra B.O, Barenghati B.O",N/A,N/A,3.7,,"MOHIMARI ,PS: CHAYYGAON, DIST:, :, STATE, Guwahati, Assam 781137",781350,26.0874675,91.2359632,ChIJWUlSkYwhWjcRnql1ey0y2RY,https://www.google.com/maps/place/?q=place_id:ChIJWUlSkYwhWjcRnql1ey0y2RY,part_358,2026-09-20 21:00:13
Guwahati Healthcare,Healthcare Clinic Chains,Laboratory,Laboratory,781350,Assam Circle,N/A,Nalbari Division,"Sanekuchi S.O, Balisatra B.O, Barenghati B.O",+91 97074 50079,https://www.guwahatihealthcare.com/,4.8,,"RG Baruah Rd, opp. Guwahati Commerce College, Sarania Hills, Guwahati, Assam 781003",Sarania Hills,26.1794118,91.77505459999999,ChIJlS64E21ZWjcR3HKFA2xauqs,https://www.google.com/maps/place/?q=place_id:ChIJlS64E21ZWjcR3HKFA2xauqs,part_358,2026-09-20 21:00:13
GOODLUCK HEALTHCARE CENTRE,Healthcare Clinic Chains,Laboratory,Laboratory,781350,Assam Circle,N/A,Nalbari Division,"Sanekuchi S.O, Balisatra B.O, Barenghati B.O",+91 81358 12025,N/A,3.9,,"Dahaligaon, Bijoynagar, Assam 781122",Dahaligaon,26.0988392,91.5012769,ChIJjzj48mg_WjcRv9i-_qrvK9M,https://www.google.com/maps/place/?q=place_id:ChIJjzj48mg_WjcRv9i-_qrvK9M,part_358,2026-09-20 21:00:13
Sun Valley Hospital,Healthcare Clinic Chains,General hospital,General hospital,781350,Assam Circle,N/A,Nalbari Division,"Sanekuchi S.O, Balisatra B.O, Barenghati B.O",+91 60038 79290,http://www.sunvalleyhospitalorg.in/,4.4,,"GS Rd, Mathura Nagar, Bormotoria, Guwahati, Assam 781006","Mathura Nagar, Bormotoria",26.138287899999998,91.8010681,ChIJwZOJ69pYWjcRyiBXQILL-E0,https://www.google.com/maps/place/?q=place_id:ChIJwZOJ69pYWjcRyiBXQILL-E0,part_358,2026-09-20 21:00:13
Sonapur Diagnostic Centre,Healthcare Clinic Chains,Diagnostic center,Diagnostic center,781350,Assam Circle,N/A,Nalbari Division,"Sanekuchi S.O, Balisatra B.O, Barenghati B.O",+91 80110 38665,N/A,3.8,,"Sonapurr digaru road, near shiv mandir, Sonapur, Rewa N.C., Assam 782402",Sonapur,26.1201033,91.97254679999999,ChIJ____bwPyWjcRFBAbI6drnEE,https://www.google.com/maps/place/?q=place_id:ChIJ____bwPyWjcRFBAbI6drnEE,part_358,2026-09-20 21:00:13
