business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AD Garden banquet hall,Banquet Hall,Banquet hall,Banquet hall,782001,Assam Circle,Dibrugarh Region,Nagaon Division,"Nagaon H.O, Nagaon Girls  College S.O",N/A,N/A,4.8,4.0,"9M2V+MG6, ITI Bazar, Palashani, Nagaon, Assam 782001",Palashani,26.3515668,92.6936961,ChIJMR25-vInRTcRD1RTezN9Ubg,https://www.google.com/maps/place/?q=place_id:ChIJMR25-vInRTcRD1RTezN9Ubg,part_358,2026-09-20 21:21:36
Elphinstone,Banquet Hall,Wedding venue,Wedding venue,782001,Assam Circle,Dibrugarh Region,Nagaon Division,"Nagaon H.O, Nagaon Girls  College S.O",N/A,N/A,4.2,40.0,"8MRQ+X62, R K Rd, Haibargaon, Fauzdaripatty, Nagaon, Assam 782001","Haibargaon, Fauzdaripatty",26.3423776,92.6880204,ChIJFQf5vBsnRTcRA6lEUB4TQhQ,https://www.google.com/maps/place/?q=place_id:ChIJFQf5vBsnRTcRA6lEUB4TQhQ,part_358,2026-09-20 21:21:36
Shree Smita Conclave Nagaon,Banquet Hall,Banquet hall,Banquet hall,782001,Assam Circle,Dibrugarh Region,Nagaon Division,"Nagaon H.O, Nagaon Girls  College S.O",N/A,N/A,,,"Assam Trunk Rd, near KFC, Natun Bazar, Nagaon, Assam 782001",Natun Bazar,26.3552395,92.69259869999999,ChIJXa4gyYcnRTcR5PVl_29qlHw,https://www.google.com/maps/place/?q=place_id:ChIJXa4gyYcnRTcR5PVl_29qlHw,part_358,2026-09-20 21:21:36
Seuj Bibah Bhawan,Banquet Hall,Banquet hall,Banquet hall,782001,Assam Circle,Dibrugarh Region,Nagaon Division,"Nagaon H.O, Nagaon Girls  College S.O",N/A,N/A,3.9,19.0,"8MXG+XQ3, Haibargaon, Khutikatia, Nagaon, Assam 782001",Haibargaon,26.349875899999997,92.6769082,ChIJq6qnph8nRTcRfMA7gigULfk,https://www.google.com/maps/place/?q=place_id:ChIJq6qnph8nRTcRfMA7gigULfk,part_358,2026-09-20 21:21:36
Vishal Bibah Bhawan,Banquet Hall,Banquet hall,Banquet hall,782001,Assam Circle,Dibrugarh Region,Nagaon Division,"Nagaon H.O, Nagaon Girls  College S.O",N/A,N/A,4.3,12.0,"9P32+7WM, A.T Road, opp. Vidya Edu care, Kachali Number 2, Panigaon, Nagaon, Assam 782003","Kachali Number 2, Panigaon",26.3532117,92.70230409999999,ChIJ0-IlIQAhRTcRIF0RdUtvDJw,https://www.google.com/maps/place/?q=place_id:ChIJ0-IlIQAhRTcRIF0RdUtvDJw,part_358,2026-09-20 21:21:36
"Rajmahal Resort & Banquets, Nagaon",Banquet Hall,Banquet hall,"Banquet hall, Restaurant, Hotel, Swimming pool",782001,Assam Circle,Dibrugarh Region,Nagaon Division,"Nagaon H.O, Nagaon Girls  College S.O",+91 96782 75255,https://www.instagram.com/rajmahalresortnagaon?igsh=d3RhYmVsbHBvc2Fz&igsi=d3RhYmVsbHBvc2Fz&utm_source=qr,4.2,98.0,"Uriagaon Chowk, NH-37, Nagaon, Uria Gaon, Assam 782003",782001,26.3441856,92.742199,ChIJCSd6eQAhRTcRkdetwil-Mvg,https://www.google.com/maps/place/?q=place_id:ChIJCSd6eQAhRTcRkdetwil-Mvg,part_358,2026-09-20 21:21:36
Kunja Vivah Bhawan,Banquet Hall,Banquet hall,Banquet hall,782001,Assam Circle,Dibrugarh Region,Nagaon Division,"Nagaon H.O, Nagaon Girls  College S.O",N/A,N/A,3.2,5.0,"8MRQ+V8Q, Maulana Azad Rd, Haibargaon, Fauzdaripatty, Nagaon, Assam 782001","Haibargaon, Fauzdaripatty",26.3422105,92.6883707,ChIJt81CQSEnRTcRzZmEexw64dY,https://www.google.com/maps/place/?q=place_id:ChIJt81CQSEnRTcRzZmEexw64dY,part_358,2026-09-20 21:21:36
Bengali Pujabari Bibah Bhavan,Banquet Hall,Party planner,Party planner,782001,Assam Circle,Dibrugarh Region,Nagaon Division,"Nagaon H.O, Nagaon Girls  College S.O",N/A,N/A,3.4,10.0,"9M2R+H9M, Ramakrishna Rd, Christianpatty, Nagaon, Assam 782001",Christianpatty,26.3514697,92.6909155,ChIJzUz53ygnRTcRXV7bVjAr5Hw,https://www.google.com/maps/place/?q=place_id:ChIJzUz53ygnRTcRXV7bVjAr5Hw,part_358,2026-09-20 21:21:36
B.R Bhaban,Banquet Hall,Wedding venue,Wedding venue,782001,Assam Circle,Dibrugarh Region,Nagaon Division,"Nagaon H.O, Nagaon Girls  College S.O",N/A,N/A,3.5,,"Shillong Rd, Lanka, Assam 782446",782001,25.9181392,92.9493098,ChIJP-G9dh1yRTcRG6tZlzKUwTc,https://www.google.com/maps/place/?q=place_id:ChIJP-G9dh1yRTcRG6tZlzKUwTc,part_358,2026-09-20 21:21:37
Hotel Bohagi,Banquet Hall,Hotel,Hotel,782001,Assam Circle,Dibrugarh Region,Nagaon Division,"Nagaon H.O, Nagaon Girls  College S.O",+91 81358 33754,N/A,3.4,,"Bara Bazar, Maulana Azad Rd, Haibargaon, Daccapatty, Nagaon, Assam 782001","Haibargaon, Daccapatty",26.3443726,92.6875419,ChIJ9ZQaSNgmRTcR9XXAbfhDIjI,https://www.google.com/maps/place/?q=place_id:ChIJ9ZQaSNgmRTcR9XXAbfhDIjI,part_358,2026-09-20 21:21:37
