business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ayur Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,782102,Assam Circle,Dibrugarh Region,Nagaon Division,"Barhampur S.O, Bamuni B.O, Kandali B.O",+91 88120 39341,N/A,,,"SH 17, Nagaon, Mikir Gaon Bamuni, Assam 782102",782102,26.3014765,92.7936763,ChIJU468T2ofRTcRIdMPrwS_3Tk,https://www.google.com/maps/place/?q=place_id:ChIJU468T2ofRTcRIdMPrwS_3Tk,part_358,2026-09-20 21:23:43
Mridul Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,782102,Assam Circle,Dibrugarh Region,Nagaon Division,"Barhampur S.O, Bamuni B.O, Kandali B.O",+91 86389 29886,N/A,,,"Purigudam 37, Road, Nagaon, Assam 782102",782102,26.3607099,92.7621284,ChIJty1RpIEhRTcRxvrgp0ZML_4,https://www.google.com/maps/place/?q=place_id:ChIJty1RpIEhRTcRxvrgp0ZML_4,part_358,2026-09-20 21:23:43
Rahman Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,782102,Assam Circle,Dibrugarh Region,Nagaon Division,"Barhampur S.O, Bamuni B.O, Kandali B.O",+91 96133 02199,N/A,5.0,,"Rangaloo, NH 36, Nagaon, Assam 782102",782102,26.2342995,92.74309099999999,ChIJl4ZVM-sjRTcRoyqEugoA8EY,https://www.google.com/maps/place/?q=place_id:ChIJl4ZVM-sjRTcRoyqEugoA8EY,part_358,2026-09-20 21:23:43
R j Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,782102,Assam Circle,Dibrugarh Region,Nagaon Division,"Barhampur S.O, Bamuni B.O, Kandali B.O",+91 70027 52392,N/A,4.0,,"HATIGAON Hatigaon, Assam 782102",782102,26.3554784,92.7796929,ChIJ2VRvNk4fRTcR_uJz3GnUq5Y,https://www.google.com/maps/place/?q=place_id:ChIJ2VRvNk4fRTcR_uJz3GnUq5Y,part_358,2026-09-20 21:23:43
Bablu Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,782102,Assam Circle,Dibrugarh Region,Nagaon Division,"Barhampur S.O, Bamuni B.O, Kandali B.O",+91 94013 66216,N/A,4.5,,"Karhaligaon To Lawkhowa, Halowa Gaon, Assam 782102",782102,26.3627476,92.7603807,ChIJN4zVbzIhRTcRexVwHcVHcXQ,https://www.google.com/maps/place/?q=place_id:ChIJN4zVbzIhRTcRexVwHcVHcXQ,part_358,2026-09-20 21:23:43
Life Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,782102,Assam Circle,Dibrugarh Region,Nagaon Division,"Barhampur S.O, Bamuni B.O, Kandali B.O",+91 94354 21243,N/A,,,"BAMUNI TINIALI, Barhampur, Assam 782102",782102,26.2981762,92.7911305,ChIJUTd8hnEfRTcReIM8LxzOraM,https://www.google.com/maps/place/?q=place_id:ChIJUTd8hnEfRTcReIM8LxzOraM,part_358,2026-09-20 21:23:43
M.D Medicos Shop,Medical Store / Pharmacy,Pharmacy,Pharmacy,782102,Assam Circle,Dibrugarh Region,Nagaon Division,"Barhampur S.O, Bamuni B.O, Kandali B.O",+91 78960 95287,N/A,,,"Lowkhuwa Road, Owana, Nagaon, Assam 782125",782102,26.3919821,92.74544209999999,ChIJZfowxHAhRTcRnmzKg4zM0to,https://www.google.com/maps/place/?q=place_id:ChIJZfowxHAhRTcRnmzKg4zM0to,part_358,2026-09-20 21:23:43
Dutta Homeoe,Medical Store / Pharmacy,Pharmacy,Pharmacy,782102,Assam Circle,Dibrugarh Region,Nagaon Division,"Barhampur S.O, Bamuni B.O, Kandali B.O",+91 60006 72230,N/A,5.0,,"Shop Number 9 N.H- 127, Road, near Goromur Train Line, Puranigudam, Nagaon, Assam 782141",782102,26.3683843,92.794265,ChIJC_Xo1m8fRTcR98z-H4UKuy0,https://www.google.com/maps/place/?q=place_id:ChIJC_Xo1m8fRTcR98z-H4UKuy0,part_358,2026-09-20 21:23:43
siddique Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,782102,Assam Circle,Dibrugarh Region,Nagaon Division,"Barhampur S.O, Bamuni B.O, Kandali B.O",+91 98598 50067,N/A,,,"Medical Hall, Rangaloo, Sutar Gaon, Assam 782102",782102,26.231986,92.7397682,ChIJxVh87H4jRTcRV7uk58adF1M,https://www.google.com/maps/place/?q=place_id:ChIJxVh87H4jRTcRV7uk58adF1M,part_358,2026-09-20 21:23:43
M/S Safor Ali Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,782102,Assam Circle,Dibrugarh Region,Nagaon Division,"Barhampur S.O, Bamuni B.O, Kandali B.O",+91 93952 99418,http://www.saforalimedicalhall.com/,5.0,,"Rangolo, Niz Kathiatoli, Assam 782102",782102,26.231915299999997,92.74267569999999,ChIJozkG21wjRTcRalCu1y24v1Q,https://www.google.com/maps/place/?q=place_id:ChIJozkG21wjRTcRalCu1y24v1Q,part_358,2026-09-20 21:23:43
