business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Nirjupriya food distributors,FMCG Distributor,Wholesale bakery,Wholesale bakery,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,4.7,3.0,"Back side of Bordoloi school, Shop no-6, Urvashi market, w/d no.6 GLC college road, and, near Hotel subham, Gahori bazar, Barpeta Road, Assam 781315",Gahori bazar,26.4952008,90.97036039999999,ChIJuy25-251WTcRhkhVE-wX5Xo,https://www.google.com/maps/place/?q=place_id:ChIJuy25-251WTcRhkhVE-wX5Xo,part_358,2026-09-20 20:48:51,1
CeeKay Associates,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 93661 33356,http://www.ceekayassociates.in/,2.0,,"CeeKay Mansion, C/o A K, AK Dev Rd, Ganeshpara, Dhirenpara, Guwahati, Assam 781025","Ganeshpara, Dhirenpara",26.139117499999998,91.7251861,ChIJLYO4dhpbWjcRqEWTbgA4jY0,https://www.google.com/maps/place/?q=place_id:ChIJLYO4dhpbWjcRqEWTbgA4jY0,part_358,2026-09-20 20:48:52,2
Subhan store,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 70358 88200,N/A,5.0,,"Geeta Mansion, Hem Baruah Rd, Machkhowa, Guwahati, Assam 781001",Machkhowa,26.1780398,91.7360284,ChIJsRcmAaxbWjcR_zrsh0ijNXA,https://www.google.com/maps/place/?q=place_id:ChIJsRcmAaxbWjcR_zrsh0ijNXA,part_358,2026-09-20 20:48:52,3
"Anchali, Assam 781327",FMCG Distributor,Postal code,Postal code,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,,,"Anchali, Assam",781327,26.685641699999998,91.2025207,ChIJFeZHtCNiWTcR-Tml5GYOa5U,https://www.google.com/maps/place/?q=place_id:ChIJFeZHtCNiWTcR-Tml5GYOa5U,part_358,2026-09-20 20:48:53,4
Barpeta fish market,Fish Market,Market,Market,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 98647 62909,N/A,4.0,,"Wholesale Fish Market Municipality Fish Market, 02, Assam 781315",781327,26.500151799999998,90.9696957,ChIJfSJtSA50WTcRZU-CLZeOuNg,https://www.google.com/maps/place/?q=place_id:ChIJfSJtSA50WTcRZU-CLZeOuNg,part_358,2026-09-20 20:48:51,5
Silbari Market,Fish Market,Market,"Market, Farmers' market",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 91015 14826,https://www.facebook.com/KaranBaroOfficail?mibextid=ZbWKwL,3.7,,"National Highway 127A, Market, Silbari, Assam 781327",781327,26.6515071,91.1908998,ChIJnTVzd_ViWTcRhelVAOu1EVw,https://www.google.com/maps/place/?q=place_id:ChIJnTVzd_ViWTcRhelVAOu1EVw,part_358,2026-09-20 20:48:51,6
"Dry fish Market Jagiroad,Assam",Fish Market,Seafood market,"Seafood market, Wholesaler",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,https://sites.google.com/view/dryfishmarket/,4.2,,"45FX+35X HS Dry Fish (Hiraman, Sahani, Jagiroad, Assam 782410",781327,26.122687499999998,92.1979375,ChIJXXhjZtnDWjcRp9Ulu_On6i0,https://www.google.com/maps/place/?q=place_id:ChIJXXhjZtnDWjcRp9Ulu_On6i0,part_358,2026-09-20 20:48:51,7
Fishing,Fish Market,Market,Market,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 60005 78834,N/A,,,"Chengli Mari, Hallang Bari, Assam 781328",781327,26.6313671,91.13093529999999,ChIJiTdvRkZlWTcRn0rJ0_M27GQ,https://www.google.com/maps/place/?q=place_id:ChIJiTdvRkZlWTcRn0rJ0_M27GQ,part_358,2026-09-20 20:48:51,8
Paliguri Fish Market,Fish Market,Seafood market,"Seafood market, Fish & chips restaurant",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,3.9,,"46Q5+XC3, Paliguri, Jagiroad, Assam 782410",781327,26.1395821,92.20841419999999,ChIJP_ThgevDWjcRWPVy7psSiV0,https://www.google.com/maps/place/?q=place_id:ChIJP_ThgevDWjcRWPVy7psSiV0,part_358,2026-09-20 20:48:51,9
Jalukbari Fish Market,Fish Market,Market,Market,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,3.5,,"5M5F+4HC, Jalukbari, Guwahati, Assam 781014",Jalukbari,26.157810599999998,91.67388869999999,ChIJ8SRdJuVFWjcRrJeHNBx2Pl8,https://www.google.com/maps/place/?q=place_id:ChIJ8SRdJuVFWjcRrJeHNBx2Pl8,part_358,2026-09-20 20:48:51,10
