business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Accountancy work,Business and Audit Services,Accountant,"Accountant, Service establishment",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.0,,"Accountancy work, 782103, India",782103,28.7931146,79.0248742,ChIJ3_nikYeBoDkRbk5PotfHb50,https://www.google.com/maps/place/?q=place_id:ChIJ3_nikYeBoDkRbk5PotfHb50,part_359,2026-09-20 20:49:39,4455
N K Singh & Company,Business and Audit Services,Certified public accountant,Certified public accountant,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,5.0,,"Ramkrishna Apartment, Ground floor 256, R N Guha Road, Dum Dum Rd, near South DumDum, Nagerbazar, Kolkata, West Bengal 700074","Nagerbazar, Dum Dum",22.625701199999998,88.4142255,ChIJ_Sv-MQCf-DkRIizzCh2EFMM,https://www.google.com/maps/place/?q=place_id:ChIJ_Sv-MQCf-DkRIizzCh2EFMM,part_359,2026-09-20 20:49:39,4456
Umang J & Associates,Business and Audit Services,Certified public accountant,"Certified public accountant, Auditor, Financial audit, Financial consultant, Tax consultant",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 96323 32850,https://www.caumang.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6974540961139111415,5.0,,"Rahman Road, New Colony, Jorhat, Dulia Gaon, Assam 785001",New Colony,26.7625466,94.21434649999999,ChIJi05_y9HDRjcRijfl8y5zDYA,https://www.google.com/maps/place/?q=place_id:ChIJi05_y9HDRjcRijfl8y5zDYA,part_359,2026-09-20 20:49:39,4457
Deb M & Associates [ Chartered Accountants ],Business and Audit Services,Chartered accountant,Chartered accountant,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 84029 31458,https://in.linkedin.com/in/ca-mriganka-shekhar-deb-294b04273,5.0,16.0,"1st Floor, Virajananda Bhwawan Hailakandi Road, NS Ave, Silchar, Assam 788005",Kanakpur,24.8090399,92.7961536,ChIJP5nwLmBLTjcRbCSdX4ogy98,https://www.google.com/maps/place/?q=place_id:ChIJP5nwLmBLTjcRbCSdX4ogy98,part_359,2026-09-20 20:50:12,8027
Vikash Surana & Associates,Business and Audit Services,Corporate office,"Corporate office, Accountant",782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 95087 84042,N/A,4.5,,"Room no-3D, 3rd floor, Prithvi Planet,G.S. Road Landmark, behind Hanuman Mandir, Lachit Nagar, Guwahati, Assam 781007","South Sarania, Lachit Nagar",26.1726088,91.7613046,ChIJCV7df3hZWjcR2gFM5qQtBN0,https://www.google.com/maps/place/?q=place_id:ChIJCV7df3hZWjcR2gFM5qQtBN0,part_359,2026-09-20 20:50:13,8028
P. Gaggar & Associates,Business and Audit Services,Chartered accountant,Chartered accountant,782106,Assam Circle,Dibrugarh Region,Nagaon Division,"Charaibahi S.O, Alikuchi B.O, Barchala B.O",N/A,N/A,4.6,,"3rd Floor, Advika, House, number 87, MG Rd, Near Sukreshwar Ghat Park, Pan Bazaar, Guwahati, Assam 781001",Pan Bazaar,26.1869005,91.74077609999999,ChIJAbqsqTpaWjcRRupRr2dICIk,https://www.google.com/maps/place/?q=place_id:ChIJAbqsqTpaWjcRRupRr2dICIk,part_359,2026-09-20 20:51:22,11177
SKPT And Company,Business and Audit Services,Accounting firm,"Accounting firm, Accountant, Chartered accountant, Financial planner, Investment bank, Investment service, Loan agency, Private equity firm, Tax consultant, Tax preparation service",782106,Assam Circle,Dibrugarh Region,Nagaon Division,"Charaibahi S.O, Alikuchi B.O, Barchala B.O",+91 98640 45500,N/A,3.9,,"1st, BR Tower, Janapath Ln, opp. Hotel Priya Palace, South Sarania, Ulubari, Guwahati, Assam 781007","South Sarania, Ulubari",26.170823,91.761029,ChIJQ-cJ9HhZWjcRS84IOecw4Uo,https://www.google.com/maps/place/?q=place_id:ChIJQ-cJ9HhZWjcRS84IOecw4Uo,part_359,2026-09-20 20:51:22,11178
Agarwala Sourav & Associates,Business and Audit Services,Certified public accountant,Certified public accountant,782106,Assam Circle,Dibrugarh Region,Nagaon Division,"Charaibahi S.O, Alikuchi B.O, Barchala B.O",+91 75015 43122,N/A,5.0,,"Reliance Trends, Near, Sarbamangala Pally, Malda, West Bengal 732101",Sarbamangala Pally,25.0088853,88.13842489999999,ChIJ-fwJaov9-jkRzSIHjpUjnYQ,https://www.google.com/maps/place/?q=place_id:ChIJ-fwJaov9-jkRzSIHjpUjnYQ,part_359,2026-09-20 20:51:22,11179
Anil Agarwala & Co.,Business and Audit Services,Chartered accountant,Chartered accountant,782106,Assam Circle,Dibrugarh Region,Nagaon Division,"Charaibahi S.O, Alikuchi B.O, Barchala B.O",+91 361 234 0989,http://aac.net.in/,5.0,,"GS Rd, Ganeshguri, Guwahati, Assam 781005",Ganeshguri,26.152257199999998,91.7826364,ChIJ3cOO5TBaWjcRo33aHMXWtjw,https://www.google.com/maps/place/?q=place_id:ChIJ3cOO5TBaWjcRo33aHMXWtjw,part_359,2026-09-20 20:51:22,11180
Third Eye Taxcorp Solutions,Business and Audit Services,Tax consultant,"Tax consultant, Legal services",782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",N/A,N/A,,,"NB Rd, near Temple, complex, Mahabhairab, Tezpur, Assam 784001","complex, Mahabhairab",26.633868699999997,92.7975402,ChIJBcW4XgDpRDcRSnfRD0iMWsY,https://www.google.com/maps/place/?q=place_id:ChIJBcW4XgDpRDcRSnfRD0iMWsY,part_359,2026-09-20 20:51:58,14461
AK TAX SOLUTIONS,Business and Audit Services,Financial audit,"Financial audit, Consultant, Income tax help association",782121,Assam Circle,Dibrugarh Region,Nagaon Division,"Bhuragaon S.O, Baralimari B.O, Dungarpar B.O",N/A,N/A,5.0,1.0,"Hospital Rd, KHARUPETIA, Mangaldoi, Assam 784115",782121,26.4366697,92.0332774,ChIJyY3cYFUdWzcRlWO2oIr3G7A,https://www.google.com/maps/place/?q=place_id:ChIJyY3cYFUdWzcRlWO2oIr3G7A,part_359,2026-09-20 20:52:32,16482
BB Associates,Business and Audit Services,Tax consultant,Tax consultant,782121,Assam Circle,Dibrugarh Region,Nagaon Division,"Bhuragaon S.O, Baralimari B.O, Dungarpar B.O",N/A,N/A,5.0,,"2nd floor, Gohain building, Bhetapara, Guwahati, Assam 781029",Bhetapara,26.1140544,91.7876692,ChIJT25wIQBfWjcRN_PM16NG3G4,https://www.google.com/maps/place/?q=place_id:ChIJT25wIQBfWjcRN_PM16NG3G4,part_359,2026-09-20 20:52:33,16483
ABIM TAX CONSULTANCY,Business and Audit Services,Tax preparation service,Tax preparation service,782121,Assam Circle,Dibrugarh Region,Nagaon Division,"Bhuragaon S.O, Baralimari B.O, Dungarpar B.O",+91 70024 74104,N/A,4.0,,"Bypass, Doboka Town, Assam 782440",782121,26.1168428,92.8726815,ChIJu7OBKYwRRTcRnJFk_DLO4W4,https://www.google.com/maps/place/?q=place_id:ChIJu7OBKYwRRTcRnJFk_DLO4W4,part_359,2026-09-20 20:52:33,16484
Chokhani Bothra & Co,Business and Audit Services,Chartered accountant,Chartered accountant,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,,,"Landmark- Bimal Iron Store, Haibargaon, Nagaon, Assam 782001","Haibargaon, Fauzdaripatty",26.3442442,92.6811275,ChIJWWOVKwgnRTcRia7iRGXaQAM,https://www.google.com/maps/place/?q=place_id:ChIJWWOVKwgnRTcRia7iRGXaQAM,part_359,2026-09-20 20:53:09,18683
CA Gobinda Majumdar,Business and Audit Services,Certified public accountant,Certified public accountant,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 98641 07517,N/A,4.9,,"Bazar, Bhaskar Nargar, 4th Ln, near Lalganesh, Kalapahar Colony, Colony, Guwahati, Assam 781018","Kalapahar Colony, Gopinath Nagar, Colony, Kala Pahar",26.1504327,91.73864929999999,ChIJfQed-PlbWjcRw3cekWrvnhQ,https://www.google.com/maps/place/?q=place_id:ChIJfQed-PlbWjcRw3cekWrvnhQ,part_359,2026-09-20 20:53:11,18684
Manoj Nahata & Associates,Business and Audit Services,Chartered accountant,Chartered accountant,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 94350 41256,https://camna.in/,,,"#502, Shradhanjali Complex, 5th Floor Old Kelvin Cinema Campus, SRCB Rd, Fancy Bazaar, Guwahati, Assam 781001",Fancy Bazaar,26.178818099999997,91.742286,ChIJuV2IR4RbWjcR01XNwTDZuy8,https://www.google.com/maps/place/?q=place_id:ChIJuV2IR4RbWjcR01XNwTDZuy8,part_359,2026-09-20 20:53:11,18685
ACCOUNTING SOLUTIONS,Business and Audit Services,Tax consultant,Tax consultant,782124,Assam Circle,Dibrugarh Region,Nagaon Division,"Juria S.O, Alitangani B.O, Chitalmari Beel B.O",+91 70027 91078,N/A,5.0,3.0,"Kalibari, near by V Mart, Panigaon Chariyali, Panigaon, Nagaon, Assam 782003","Panigaon Chariyali, Panigaon",26.353357799999998,92.7002457,ChIJ476-LP8hRTcRh9b0LMHfvWk,https://www.google.com/maps/place/?q=place_id:ChIJ476-LP8hRTcRh9b0LMHfvWk,part_359,2026-09-20 20:54:20,20588
Customer Service Point,Business and Audit Services,Chartered accountant,Chartered accountant,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 88761 17484,N/A,,,"Diphu Rd, Doboka Town, Assam 782440",782126,26.113030199999997,92.8681632,ChIJKfKaeawRRTcRrBi-uVqEGTE,https://www.google.com/maps/place/?q=place_id:ChIJKfKaeawRRTcRrBi-uVqEGTE,part_359,2026-09-20 20:55:29,22265
AB ASSOCIATES,Business and Audit Services,Tax consultant,Tax consultant,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 70021 32590,N/A,5.0,4.0,"New bb market, Near, MC VLUB, Nazira, Assam 785685",782126,26.9020299,94.7222798,ChIJYZJayDQ5RzcRiH2v9QIaQpc,https://www.google.com/maps/place/?q=place_id:ChIJYZJayDQ5RzcRiH2v9QIaQpc,part_359,2026-09-20 20:55:30,22266
Rohit Baishya & Co,Business and Audit Services,Certified public accountant,Certified public accountant,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 70024 00742,N/A,5.0,2.0,"GX7H+44J, Golaghat, Assam 785621",782126,26.512833,93.9777728,ChIJd0s6YwCPRjcRMjplwvqrSQg,https://www.google.com/maps/place/?q=place_id:ChIJd0s6YwCPRjcRMjplwvqrSQg,part_359,2026-09-20 20:55:30,22267
