business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ditsvision - Pahasu CCTV Camera,CCTV Installation and Security System,Security system supplier,Security system supplier,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 76782 69904,https://www.ditsvisin.in/,5.0,,"Main Somna Road, near Munshi Khan ki Mandi, Pahasu, Uttar Pradesh 203396",782103,28.1690351,78.06345739999999,ChIJUchPcQBTCzkRoCAoUIj-GYY,https://www.google.com/maps/place/?q=place_id:ChIJUchPcQBTCzkRoCAoUIj-GYY,part_359,2026-09-20 20:49:36,4221
CCTV installation services,CCTV Installation and Security System,Camera store,Camera store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,,,"Lalganesh Mandir Rd, Near Kali Mandir, Lal Ganesh, Guwahati, Assam 781034","Near Kali Mandir, Lal Ganesh",26.1407088,91.74416029999999,ChIJcQzRYbpbWjcREQO8uUP-sDw,https://www.google.com/maps/place/?q=place_id:ChIJcQzRYbpbWjcREQO8uUP-sDw,part_359,2026-09-20 20:49:36,4222
Active Infotech,CCTV Installation and Security System,Corporate office,Corporate office,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,http://www.activeinfotech.in/,4.7,,"9M2R+XJV, RD Road, Kenyapatty, Kenyanpatty, Nagaon, Assam 782001","Kenyapatty, Kenyanpatty",26.352459099999997,92.69162419999999,ChIJSaPadwAnRTcRN-p_IqqBJXo,https://www.google.com/maps/place/?q=place_id:ChIJSaPadwAnRTcRN-p_IqqBJXo,part_359,2026-09-20 20:49:36,4223
R K Tech Enterprise,CCTV Installation and Security System,Security system installation service,"Security system installation service, Camera store, Computer accessories store, Computer service, Security system supplier, Wholesaler",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 87230 89402,N/A,5.0,,"Q677+3C9, Rai Bahadur Ln, near PATANJALI STORE, NIRMAL CHARIALI, New Colony, Dulia Gaon, Jorhat, Assam 785001","NIRMAL CHARIALI, New Colony",26.7619756,94.21321909999999,ChIJi_T2LXbDRjcRZxddOtc-qrE,https://www.google.com/maps/place/?q=place_id:ChIJi_T2LXbDRjcRZxddOtc-qrE,part_359,2026-09-20 20:49:36,4224
Mars Solution,CCTV Installation and Security System,Security system supplier,Security system supplier,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 97069 75508,https://marssolution.in/,4.8,,"1st Floor House No. 21, near Darandha Masjid, Dwarandha, Six Mile, Guwahati, Assam 781022","Dwarandha, Six Mile",26.1326546,91.8120582,ChIJJ8QAigxZWjcRvbboHPMPPlk,https://www.google.com/maps/place/?q=place_id:ChIJJ8QAigxZWjcRvbboHPMPPlk,part_359,2026-09-20 20:49:36,4225
BORUAH CCTV SOLUTIONS,CCTV Installation and Security System,Security system supplier,"Security system supplier, Security system installation service",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 70026 19467,https://boruahcctvsolution.wixsite.com/boruahcctvsolution-1,4.8,,"Ground floor, Rahul complex, Bhola Baba Path, Six Mile, Guwahati, Assam 781022",Six Mile,26.1318408,91.8068436,ChIJP_Zz3PpZWjcRnTfkq-9zPbU,https://www.google.com/maps/place/?q=place_id:ChIJP_Zz3PpZWjcRnTfkq-9zPbU,part_359,2026-09-20 20:49:36,4226
Neophonic IT Solution,CCTV Installation and Security System,Security system installation service,"Security system installation service, Fire alarm supplier, Metal detecting equipment supplier, Office equipment repair service, Electronics wholesaler, Security system supplier",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 88129 11298,N/A,4.4,,"Shop No. 9, City Point Building Assam Trunk Road, ASTC Headoffice, beside Shree Leather, Paltan Bazaar, Guwahati, Assam 781008","PWD Colony, Paltan Bazaar",26.1806742,91.750098,ChIJ8XFpPSlaWjcRuS4dpP0Fj2A,https://www.google.com/maps/place/?q=place_id:ChIJ8XFpPSlaWjcRuS4dpP0Fj2A,part_359,2026-09-20 20:49:36,4227
Eastern Networks,CCTV Installation and Security System,Computer security service,Computer security service,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60092 80004,http://www.easternnetworks.in/,4.9,,"H. No. 23, Bakulban Path, Hockey Stadium Rd, opp. Postal Training Centre, Lokhra, Sawkuchi, Guwahati, Assam 781040","Lokhra, Sawkuchi",26.1171576,91.76686169999999,ChIJKQL6BWNZWjcRNxGb0fPGfXY,https://www.google.com/maps/place/?q=place_id:ChIJKQL6BWNZWjcRNxGb0fPGfXY,part_359,2026-09-20 20:49:36,4228
DCX Security Wizards,CCTV Installation and Security System,Security system installation service,"Security system installation service, Burglar alarm store, Fire alarm supplier, Security system supplier",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99717 95961,http://www.dcxsecuritywizards.com/,4.8,,"11/39, New Sita Nagar, Sita Nagar, Rambagh, Agra, Uttar Pradesh 282006","New Sita Nagar, Sita Nagar, Rambagh",27.201825,78.041412,ChIJAVFzfwOjdDkRepj6jEfKgE4,https://www.google.com/maps/place/?q=place_id:ChIJAVFzfwOjdDkRepj6jEfKgE4,part_359,2026-09-20 20:49:36,4229
AG SECURITY SOLUTION (CCTV SERVICE IN AGRA),CCTV Installation and Security System,Security system supplier,"Security system supplier, Electronics store",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 81262 34532,N/A,4.9,,"Block c1, C 1, Dahtaura, Shastripuram, Agra, Uttar Pradesh 282007","C 1, Dahtaura, Shastripuram",27.194079499999997,77.9305548,ChIJ49Ou3-R3dDkRHwePZgqPSH4,https://www.google.com/maps/place/?q=place_id:ChIJ49Ou3-R3dDkRHwePZgqPSH4,part_359,2026-09-20 20:49:36,4230
