business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SR Shoeland,Footwear and Shoe Store,Shoe store,Shoe store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 87610 37893,N/A,4.9,,"Bebejia chariali, near vishnu mandir, Assam 782142",782103,26.301195,92.6231869,ChIJA8sNbZMnRTcRAZzRD7P6Wzs,https://www.google.com/maps/place/?q=place_id:ChIJA8sNbZMnRTcRAZzRD7P6Wzs,part_359,2026-09-20 20:49:17,1174
NEW POPULAR SHOE STORE,Footwear and Shoe Store,Shoe store,Shoe store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 98592 61984,N/A,5.0,,"Purona Chariali, Raha Gaon, Garmari, Assam 782103",782103,26.2279634,92.5191689,ChIJW_zn8MctRTcRTlBnDB-NpVU,https://www.google.com/maps/place/?q=place_id:ChIJW_zn8MctRTcRTlBnDB-NpVU,part_359,2026-09-20 20:49:17,1175
Shoe World Mission,Footwear and Shoe Store,Shoe store,Shoe store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.5,,"Mission Market, Mission Plaza, NH 37, Nagaon, Assam 782001",Professors Colony,26.350676099999998,92.68576209999999,ChIJneO2SPEnRTcR3NdGJhFtBOk,https://www.google.com/maps/place/?q=place_id:ChIJneO2SPEnRTcR3NdGJhFtBOk,part_359,2026-09-20 20:49:17,1176
Heaven Footwear & clothing,Footwear and Shoe Store,Shoe store,Shoe store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60031 85403,N/A,,,"Raha meat market, Rajagaon, Dighaldari, Garmari, Assam 782103",Rajagaon,26.233417199999998,92.5182177,ChIJX1e8TrstRTcR93gcJGvWt9M,https://www.google.com/maps/place/?q=place_id:ChIJX1e8TrstRTcR93gcJGvWt9M,part_359,2026-09-20 20:49:17,1177
Paul Shoe Center,Footwear and Shoe Store,Shoe store,Shoe store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 88762 28227,N/A,5.0,,"Morigaon Rd, opposite Barwari Durga Mandir, Jagiroad, Assam 782410",782103,26.122416299999998,92.198973,ChIJ_TUkiN7DWjcRJ-SIEtRiRBg,https://www.google.com/maps/place/?q=place_id:ChIJ_TUkiN7DWjcRJ-SIEtRiRBg,part_359,2026-09-20 20:49:17,1178
Classic footwear,Footwear and Shoe Store,Shoe store,Shoe store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 69004 03635,N/A,,,"Raha, new chariali, Garmari, Assam 782103",Raha,26.2309558,92.51870579999999,ChIJP_UMDp4tRTcRD-mikkJrQdg,https://www.google.com/maps/place/?q=place_id:ChIJP_UMDp4tRTcRD-mikkJrQdg,part_359,2026-09-20 20:49:17,1179
Mussabir Shoe Store,Footwear and Shoe Store,Shoe store,Shoe store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 79079 74262,N/A,5.0,,"Karatipam, Assam 782105",782103,26.2772705,92.1889649,ChIJzw8pDe_dWjcRaoU68vwZ9dg,https://www.google.com/maps/place/?q=place_id:ChIJzw8pDe_dWjcRaoU68vwZ9dg,part_359,2026-09-20 20:49:17,1180
Shyamkanu Shoe House,Footwear and Shoe Store,Shoe store,Shoe store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 75768 60150,N/A,,,"Barapujia, Assam 782103",782103,26.2691233,92.4992044,ChIJTd-M15UtRTcR9tpKM8SGcBI,https://www.google.com/maps/place/?q=place_id:ChIJTd-M15UtRTcR9tpKM8SGcBI,part_359,2026-09-20 20:49:17,1181
Saha Shoe Centre,Footwear and Shoe Store,Shoe store,Shoe store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 88226 22969,N/A,3.9,,"Morigaon Rd, Jagiroad, Assam 782413",782103,26.1232942,92.1991481,ChIJi9KHy97DWjcR3vnwfQFBHVk,https://www.google.com/maps/place/?q=place_id:ChIJi9KHy97DWjcR3vnwfQFBHVk,part_359,2026-09-20 20:49:17,1182
PICK N KICK,Footwear and Shoe Store,Shoe store,Shoe store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 84038 69048,N/A,4.8,,"783R+J3M PICK N KICK, Amal Deka Path, Morigaon, Assam 782105",782103,26.254092699999998,92.3401714,ChIJrYJjgxzRWjcRkLezDrf3mPg,https://www.google.com/maps/place/?q=place_id:ChIJrYJjgxzRWjcRkLezDrf3mPg,part_359,2026-09-20 20:49:17,1183
