business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"HARSHITA ENTERPRISES - Best Organic Vegetables, Rice Exporter cum Supplier from Assam",Fruit and Vegetable Wholesaler,Exporter,Exporter,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60016 26368,http://www.the-harshitaenterprises.com/,5.0,,"2 No Gadarbori, near Madhab Mandir, Niz Hatichung, Jamuguri, Assam 782142",782103,26.313476599999998,92.6082801,ChIJSwRXGxQpRTcRGH4d8mE5NjY,https://www.google.com/maps/place/?q=place_id:ChIJSwRXGxQpRTcRGH4d8mE5NjY,part_359,2026-09-20 20:49:12,245
MyChoice - Wholesale Vegetables and Fruits Doorstep Delivery in Guwahati,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 93871 68367,http://mychoicebusiness.in/,5.0,,"Ajanta Path, Hatigaon Chariali, Beltola Tiniali, Guwahati, Assam 781028","Hatigaon Chariali, Beltola Tiniali",26.128818,91.7874823,ChIJK3WX0_tZWjcRnc1YlU_W1jg,https://www.google.com/maps/place/?q=place_id:ChIJK3WX0_tZWjcRnc1YlU_W1jg,part_359,2026-09-20 20:49:12,246
A.P Fruit Company,Fruit and Vegetable Wholesaler,Fruits Wholesaler,Fruits Wholesaler,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 90859 46811,N/A,5.0,,"SRCB Rd, Lakhtokia, Fancy Bazaar, Guwahati, Assam 781001","Lakhtokia, Fancy Bazaar",26.181997799999998,91.73788499999999,ChIJq-hQYJhbWjcRKr3LoN8bz68,https://www.google.com/maps/place/?q=place_id:ChIJq-hQYJhbWjcRKr3LoN8bz68,part_359,2026-09-20 20:49:12,247
Kabarstan Sabji Mandi,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,3.8,,"JQGW+93W, Mahabhairab, Tezpur, Assam 784001",Mahabhairab,26.625978699999997,92.7951926,ChIJeX6n4zToRDcRAY8CzVHPXRI,https://www.google.com/maps/place/?q=place_id:ChIJeX6n4zToRDcRAY8CzVHPXRI,part_359,2026-09-20 20:49:12,248
Bhalukmari Weekly Market (ভালুকমাৰি সাপ্তাহিক বজাৰ),Fruit and Vegetable Wholesaler,Market,Market,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.1,,"7HP2+MWW, Bhalukmari, Kahiguri, Assam 782103",782103,26.2867253,92.5523376,ChIJnbvWpbsuRTcRjOD7jzG22JU,https://www.google.com/maps/place/?q=place_id:ChIJnbvWpbsuRTcRjOD7jzG22JU,part_359,2026-09-20 20:49:12,249
Bhaijan vegetable Shop,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 76360 31773,N/A,3.7,,"Jajori Dhing Road, Market, Jajori, Assam 782142",Jajori,26.3204145,92.56503599999999,ChIJjefbFykpRTcRIiLk_RiXx5M,https://www.google.com/maps/place/?q=place_id:ChIJjefbFykpRTcRIiLk_RiXx5M,part_359,2026-09-20 20:49:12,250
Utpal vegetable,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 98645 86679,N/A,,,"House No-36, PO, Nellie, Jagiroad, Assam 782413",PO,26.0987877,92.31275579999999,ChIJ9_CqD1nJWjcRYVtRjqpXJiI,https://www.google.com/maps/place/?q=place_id:ChIJ9_CqD1nJWjcRYVtRjqpXJiI,part_359,2026-09-20 20:49:12,251
Raha Bazaar,Fruit and Vegetable Wholesaler,Market,Market,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.1,,"6GJ9+7CH, Unnamed Road, Roha, Garmari, Assam 782103",782103,26.2306797,92.5186177,ChIJZSpWct4tRTcRJFPWzqhAJv8,https://www.google.com/maps/place/?q=place_id:ChIJZSpWct4tRTcRJFPWzqhAJv8,part_359,2026-09-20 20:49:12,252
Mamoni Store,Fruit and Vegetable Wholesaler,Produce market,Produce market,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,,,"new market, Nalduba, Dhara Mukh, Assam 782425",new market,26.183290799999998,92.56097229999999,ChIJJfKwNDwxRTcRI-8V4-w96GQ,https://www.google.com/maps/place/?q=place_id:ChIJJfKwNDwxRTcRI-8V4-w96GQ,part_359,2026-09-20 20:49:12,253
Brahmaputra Bazar,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99572 01243,N/A,4.1,,"Beharbari, Lalmati, Guwahati, Assam 781029","Beharbari, Lalmati",26.1114224,91.77703869999999,ChIJVW_QFkNfWjcR66EhdfTDDzk,https://www.google.com/maps/place/?q=place_id:ChIJVW_QFkNfWjcR66EhdfTDDzk,part_359,2026-09-20 20:49:12,254
