business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
E HUB,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Electronics wholesaler",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 87210 92143,N/A,4.7,,"MONI MARKET, PETROL PUMP ROAD, NATUN CHARIALI, Roha, Garmari, Assam 782103",NATUN CHARIALI,26.231550199999997,92.5175884,ChIJOyim5l0tRTcRrkmLyoL-68U,https://www.google.com/maps/place/?q=place_id:ChIJOyim5l0tRTcRrkmLyoL-68U,part_359,2026-09-20 20:49:36,4062
S.B MOBILE ACCESSORIES,Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60027 15142,https://mybillbook.in/store/shuvam_biswas,4.8,,"Panigaon Kalibari, Netaji Rd, Panigaon Chariyali, Panigaon, Nagaon, Assam 782001","Panigaon Chariyali, Panigaon",26.351596699999998,92.6978005,ChIJ8SpyLk8nRTcRWha3qmAg8jk,https://www.google.com/maps/place/?q=place_id:ChIJ8SpyLk8nRTcRWha3qmAg8jk,part_359,2026-09-20 20:49:36,4063
KDM MOBILE ACCESSORIES - GUWAHATI,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Battery Wholesaler, Repair service",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60033 44284,https://kdmindia.in/,5.0,,"1st Floor, Talukdar Market, Shop No, 101-102, SS Rd, Fancy Bazaar, Guwahati, Assam 781001","Lakhtokia, Fancy Bazaar",26.181273599999997,91.74233749999999,ChIJy4R4Cl1bWjcRkdW06MQdv1A,https://www.google.com/maps/place/?q=place_id:ChIJy4R4Cl1bWjcRkdW06MQdv1A,part_359,2026-09-20 20:49:36,4064
Star & Company | Mobile Accessories Wholesale Shop,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Computer accessories store, Wholesaler",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 96413 75655,https://www.starandcompany.in/,4.9,,"Hotel Raj Biraj Building, Shop No.A4, 1st Floor ,Ghosh Brothers building ,Bidhan Market, Rishi Aurobindo Rd, Hakim Para, Siliguri, West Bengal 734001","Ward 12, Hakim Para",26.716221899999997,88.42704359999999,ChIJU0YUv2xB5DkRx9xgyhd3UvU,https://www.google.com/maps/place/?q=place_id:ChIJU0YUv2xB5DkRx9xgyhd3UvU,part_359,2026-09-20 20:49:36,4065
Holsal Cover,Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 80996 85192,N/A,5.0,,"01, Natun Bajar, Jagiroad, Assam 782410",782103,26.135272099999998,92.2056837,ChIJEcNAyGjDWjcRaJD_t8oe9Hc,https://www.google.com/maps/place/?q=place_id:ChIJEcNAyGjDWjcRaJD_t8oe9Hc,part_359,2026-09-20 20:49:36,4066
A.P. Telecom,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 98640 16999,N/A,4.8,,"DC Complex, SS Rd, Lakhtokia, Pan Bazaar, Guwahati, Assam 781001","Lakhtokia, Pan Bazaar",26.182083,91.744205,ChIJkUhG1y9aWjcRraS1gqXjdvk,https://www.google.com/maps/place/?q=place_id:ChIJkUhG1y9aWjcRraS1gqXjdvk,part_359,2026-09-20 20:49:36,4067
Amir Store,Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 93623 57697,N/A,5.0,,"Autolabori, Mohmari Pather, Assam 782127",782103,26.4081714,92.2989173,ChIJaVEBEuQnWzcREyf_hpZc38Q,https://www.google.com/maps/place/?q=place_id:ChIJaVEBEuQnWzcREyf_hpZc38Q,part_359,2026-09-20 20:49:36,4068
JM Electronics GS,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 97060 39300,https://www.instagram.com/jmtech.store?igsh=MWEweGhpOTJsaHl0cQ==,4.4,,"Banabasu Complex, GS Rd, opp. Bora Service, South Sarania, Ulubari, Guwahati, Assam 781007","South Sarania, Ulubari",26.1701807,91.762642,ChIJk_Gs2GZZWjcR6Ak2lBVF3BE,https://www.google.com/maps/place/?q=place_id:ChIJk_Gs2GZZWjcR6Ak2lBVF3BE,part_359,2026-09-20 20:49:36,4069
Maya Computer & Enterprise,Mobile Accessories Wholesaler,Computer store,"Computer store, Household goods wholesaler",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99540 91670,N/A,4.7,,"Niz Dandua-Morigaon Rd, Niz Dandua, Assam 782104",782103,26.2597424,92.38403,ChIJPS615tTTWjcRGrJhOXRpOV0,https://www.google.com/maps/place/?q=place_id:ChIJPS615tTTWjcRGrJhOXRpOV0,part_359,2026-09-20 20:49:36,4070
Matrix The Phone World,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 98082 17343,http://www.matrixphones.in/,5.0,,"Gar-Ali, Jorhat, Assam 785001",Gar-Ali,26.7570989,94.2150138,ChIJl96xItzDRjcRyFfb8Bqq298,https://www.google.com/maps/place/?q=place_id:ChIJl96xItzDRjcRyFfb8Bqq298,part_359,2026-09-20 20:49:36,4071
