business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Deka Welding Workshop,Steel Fabrication Workshop,Steel industry,Steel industry,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,,,"6GMF+33H, Raha Rev. Town, Assam 782103",782103,26.2326829,92.5227285,ChIJ_Wa60cEtRTcRqIeplQdFzUE,https://www.google.com/maps/place/?q=place_id:ChIJ_Wa60cEtRTcRqIeplQdFzUE,part_359,2026-09-20 20:49:40,4698
Hira Welding Workshop,Steel Fabrication Workshop,Steel fabricator,Steel fabricator,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 98545 59072,N/A,4.8,4.0,"NH 27, Phulaguri, Assam 782103",782103,26.262401399999998,92.58197179999999,ChIJ8ymGAY8vRTcRrky8NEftSY4,https://www.google.com/maps/place/?q=place_id:ChIJ8ymGAY8vRTcRrky8NEftSY4,part_359,2026-09-20 20:49:40,4699
SARMA FABRICATION,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 84740 78879,http://sarmafabrication.in/,5.0,6.0,"37, Lokhra Rd, Sarusajai, Guwahati, Assam 781040",Sarusajai,26.108788399999998,91.7505616,ChIJz7YhvaVeWjcRvaXXxJhwqik,https://www.google.com/maps/place/?q=place_id:ChIJz7YhvaVeWjcRvaXXxJhwqik,part_359,2026-09-20 20:49:40,4700
S S steel fabrication,Steel Fabrication Workshop,Iron works,Iron works,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 80996 19887,N/A,4.4,7.0,"Bishnujyoti Path, Hatigaon, Guwahati, Assam 781038",Hatigaon,26.1319642,91.7847278,ChIJiZtGGaNZWjcRHbq12EOi0Fk,https://www.google.com/maps/place/?q=place_id:ChIJiZtGGaNZWjcRHbq12EOi0Fk,part_359,2026-09-20 20:49:40,4701
Bell Metal Industry,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 98644 51621,N/A,4.5,19.0,"Sarthebari, Assam 781307",782103,26.369128699999997,91.2219071,ChIJPSl0d4gqWjcR8gzLniQz3KQ,https://www.google.com/maps/place/?q=place_id:ChIJPSl0d4gqWjcR8gzLniQz3KQ,part_359,2026-09-20 20:49:40,4702
A-s fabrication welding work l fabrication work in Telangana,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Fabrication Engineer",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 93812 89311,https://asfabricationsworks.in/,4.9,235.0,"19-145/b, asaf Village, Venkatapuram, Alwal, Secunderabad, Telangana 500015","Venkatapuram, Alwal",17.496492,78.506807,ChIJST4bXOqbyzsR8wsYiL0aCWs,https://www.google.com/maps/place/?q=place_id:ChIJST4bXOqbyzsR8wsYiL0aCWs,part_359,2026-09-20 20:49:41,4703
SA fabrication welding works,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Fabrication Engineer, Iron works, Metal supplier, Metal workshop, Welder, Welding supply store",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 90525 30347,N/A,4.6,53.0,"babu khan line rajeev nagar, Shilpa Layout Rd, opposite danish heights, Shilpa layot, Gachibowli, Hyderabad, Telangana 500032","Shilpa layot, Gachibowli",17.440323499999998,78.36675989999999,ChIJm961uMOTyzsRQCDUfFlRFis,https://www.google.com/maps/place/?q=place_id:ChIJm961uMOTyzsRQCDUfFlRFis,part_359,2026-09-20 20:49:41,4704
INDIAN STEEL WORKS,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Iron works, Metal fabricator, Steelwork design service, Welder",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 82796 11239,https://youtube.com/@indiansteelwork?si=zOLwTnJP0R7c6WuT,5.0,21.0,"near Bank of India, Tappal, Uttar Pradesh 202165",782103,28.0416162,77.5831,ChIJ9TW8rnFLczkRHLSW-TQlr3A,https://www.google.com/maps/place/?q=place_id:ChIJ9TW8rnFLczkRHLSW-TQlr3A,part_359,2026-09-20 20:49:41,4705
R K ENGINEERING WORKS,Steel Fabrication Workshop,Steel construction company,"Steel construction company, Fabrication Engineer",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 97067 54352,http://rkstructure.com/,5.0,6.0,"Lokhra Rd, near State Bank Of India, Jyotikuchi, Guwahati, Assam 781040",Jyotikuchi,26.1296519,91.73717479999999,ChIJV6Q4d_RbWjcR3ZM93iLvDZc,https://www.google.com/maps/place/?q=place_id:ChIJV6Q4d_RbWjcR3ZM93iLvDZc,part_359,2026-09-20 20:49:41,4706
AS Fabrication Welding Works,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Fabrication Engineer, Fence contractor, Iron works, Roofing contractor, Stair contractor, Steel construction company, Metal fabricator, Welder",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,https://asfabricationworks.in/,4.9,197.0,"Boduppal Colony Rd, Shop, Street No. 2, Jyothi Nagar Colony, Boduppal, Hyderabad, Telangana 500092","Sai Bhavani Nagar, Jyothi Nagar Colony, Boduppal",17.4196682,78.5764137,ChIJTYpBjBaXyzsR-AtzC_F0K9c,https://www.google.com/maps/place/?q=place_id:ChIJTYpBjBaXyzsR-AtzC_F0K9c,part_359,2026-09-20 20:49:41,4707
L R steel,Steel Fabrication Workshop,Roofing supply store,Roofing supply store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 94350 61026,N/A,4.0,68.0,"Old AT Rd, Haibargaon, Nagaon, Assam 782002",Haibargaon,26.3511615,92.6711208,ChIJ_5P69xwnRTcRbpePtt1T-20,https://www.google.com/maps/place/?q=place_id:ChIJ_5P69xwnRTcRbpePtt1T-20,part_359,2026-09-20 20:49:41,4708
Assam Steel Supply,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Fabrication Engineer, Iron & Steel Store, Metal fabricator, Steel construction company, Steel distributor",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 94351 49364,N/A,5.0,1.0,"Vigyan Path, Boragaon, Guwahati, Assam 781011",Boragaon,26.1150977,91.68416719999999,ChIJM8w_CSFdWjcRkiTuQIo5vQA,https://www.google.com/maps/place/?q=place_id:ChIJM8w_CSFdWjcRkiTuQIo5vQA,part_359,2026-09-20 20:49:41,4709
MAA FABRICATE (Welding Workshop),Steel Fabrication Workshop,Manufacturer,Manufacturer,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",N/A,https://www.facebook.com/profile.php?id=100050397821249,5.0,1.0,"56VW+34Q, Kumoi Gaon, Kumoi Pahar, Assam 782411",782104,26.1927094,92.24535089999999,ChIJfYqgNwDFWjcREnX9ccu3joA,https://www.google.com/maps/place/?q=place_id:ChIJfYqgNwDFWjcREnX9ccu3joA,part_359,2026-09-20 20:50:13,8195
ADP Group,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Metal workshop, Metal fabricator, Welder",782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",N/A,http://adp-group0.business.site/,5.0,7.0,"Barkhal, Sarumati Parbat, Assam 782413",782104,26.1253331,92.28914909999999,ChIJs3_eezbFWjcRpuQYc6OfwIg,https://www.google.com/maps/place/?q=place_id:ChIJs3_eezbFWjcRpuQYc6OfwIg,part_359,2026-09-20 20:50:13,8196
A K Fabrication,Steel Fabrication Workshop,Iron works,Iron works,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 80117 59883,N/A,4.9,10.0,"Masjid Path, Sijubari, Hatigaon, Guwahati, Assam 781038","Sijubari, Hatigaon",26.1234967,91.78190169999999,ChIJRzlKfEpZWjcRAFBKsoRQThM,https://www.google.com/maps/place/?q=place_id:ChIJRzlKfEpZWjcRAFBKsoRQThM,part_359,2026-09-20 20:50:14,8197
Fancy Steel Works Jorhat,Steel Fabrication Workshop,Steel distributor,"Steel distributor, Aluminum window",782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 60010 17967,N/A,4.8,,"Borpool, Kenduguri, Jorhat, Assam 785001",Borpool,26.762250899999998,94.216674,ChIJce2VWP_DRjcRCbQGDq0tJZ4,https://www.google.com/maps/place/?q=place_id:ChIJce2VWP_DRjcRCbQGDq0tJZ4,part_359,2026-09-20 20:50:14,8198
S P STEEL FABRICATION,Steel Fabrication Workshop,Mechanical engineer,Mechanical engineer,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 94012 92281,N/A,1.0,,"EAST, Banipur, Dibrugarh, Assam 786003",Banipur,27.4644396,94.9547843,ChIJm20YJieZQDcR4CpVfVlx_Ss,https://www.google.com/maps/place/?q=place_id:ChIJm20YJieZQDcR4CpVfVlx_Ss,part_359,2026-09-20 20:50:14,8199
Structro Infra Tech,Steel Fabrication Workshop,Steel construction company,"Steel construction company, Design agency",782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 96780 27684,https://structroinfratech.com/,5.0,,"1st Floor, Silver Square, GS Rd, above Zudio, Ananda Nagar, Christian Basti, Guwahati, Assam 781005","Ananda Nagar, Christian Basti",26.1576365,91.7756357,ChIJw8jSOgBZWjcRTOjwMdJ030U,https://www.google.com/maps/place/?q=place_id:ChIJw8jSOgBZWjcRTOjwMdJ030U,part_359,2026-09-20 20:50:14,8200
UNITECH STRUCTURAL WORKS,Steel Fabrication Workshop,Manufacturer,Manufacturer,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 80 4581 5784,https://www.unitechstructure.com/,4.8,,"1st Floor, Ideal Towers, Block-A, Diamond Harbour Rd, Naptani Bagan, Kidderpore, Kolkata, West Bengal 700023","Naptani Bagan, Kidderpore",22.5316848,88.32670619999999,ChIJvzNIA1l3AjoRNKQaDhgPuYc,https://www.google.com/maps/place/?q=place_id:ChIJvzNIA1l3AjoRNKQaDhgPuYc,part_359,2026-09-20 20:50:14,8201
Maa Steel Fabrication,Steel Fabrication Workshop,Electronics repair shop,Electronics repair shop,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 90858 19931,N/A,,,"Assam Oil, Sonkuchi, Bahmura, Assam 781314",Sonkuchi,26.3390301,90.9999891,ChIJ21bCPjOdWTcR7hZaj5_WVC0,https://www.google.com/maps/place/?q=place_id:ChIJ21bCPjOdWTcR7hZaj5_WVC0,part_359,2026-09-20 20:50:14,8202
ASSAM TIN MANUFACTURING COMPANY PRIVATE LIMITED,Steel Fabrication Workshop,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 84535 60090,N/A,3.8,,"114, Maniram Dewan Rd, Sector 2, Krishna Nagar, Noonmati, Guwahati, Assam 781020","Sector 2, Krishna Nagar, Noonmati",26.1825728,91.7998796,ChIJkUxvzFFYWjcRmumhLp3NyGo,https://www.google.com/maps/place/?q=place_id:ChIJkUxvzFFYWjcRmumhLp3NyGo,part_359,2026-09-20 20:50:14,8203
