business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dr.Baruah's PET CLINIC,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60016 44998,N/A,4.5,,"ADP Rd, near Lovers' Bridge, Nagaon, Assam 782001",782103,26.3589162,92.686224,ChIJ61EOJFQnRTcRYWTSN0ENSS8,https://www.google.com/maps/place/?q=place_id:ChIJ61EOJFQnRTcRYWTSN0ENSS8,part_359,2026-09-20 20:49:21,1873
Brahmingaon veterinary hospital,Veterinary Clinic and Pet Hospital,Veterinary pharmacy,Veterinary pharmacy,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.0,,"8J82+X2P, Brahmingaon Rd, Nagaon, Samua Gaon, Assam 782142",782103,26.317463399999998,92.60008859999999,ChIJ-fx0jL8oRTcROFVnURYJYxo,https://www.google.com/maps/place/?q=place_id:ChIJ-fx0jL8oRTcROFVnURYJYxo,part_359,2026-09-20 20:49:21,1874
Veterinary PHC (new building),Veterinary Clinic and Pet Hospital,Emergency veterinarian service,Emergency veterinarian service,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.0,,"9FHX+RRG, Katah Guri Pam, Assam 782123",782103,26.3796894,92.5004826,ChIJo4sY6O4rRTcRUWD63n-QTA4,https://www.google.com/maps/place/?q=place_id:ChIJo4sY6O4rRTcRUWD63n-QTA4,part_359,2026-09-20 20:49:21,1875
TENDERPAWS VET CLINIC,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60268 25530,N/A,4.9,,"H.NO-20, RG BARUAH ROAD, Hriday Ranjan Path, Zoo Road Tiniali, Guwahati, Assam 781003","Zoo Road Tiniali, Zoo Tiniali",26.1754672,91.7759016,ChIJl9oG8s9ZWjcRW-p1X7JnEHs,https://www.google.com/maps/place/?q=place_id:ChIJl9oG8s9ZWjcRW-p1X7JnEHs,part_359,2026-09-20 20:49:21,1876
VETMATE ANIMAL HEALTHCARE AND DIAGNOSTICS,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 69011 18148,https://vetmate.in/,4.9,,"Suvantik Batertal, Lokkhi Bazar Rd, Sribhumi, Assam 788710",782103,24.8731241,92.3499221,ChIJqekM-1nnI48RgTzWw4n6fsc,https://www.google.com/maps/place/?q=place_id:ChIJqekM-1nnI48RgTzWw4n6fsc,part_359,2026-09-20 20:49:21,1877
Veterinary hospital,Veterinary Clinic and Pet Hospital,Government office,Government office,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,2.8,,"8MWM+P7V, Haibargaon, Fauzdaripatty, Nagaon, Assam 782001","Haibargaon, Fauzdaripatty",26.346862599999998,92.6831564,ChIJ58IVVN8mRTcRKWFZsT343-4,https://www.google.com/maps/place/?q=place_id:ChIJ58IVVN8mRTcRKWFZsT343-4,part_359,2026-09-20 20:49:21,1878
Emergency Car Booking Facility,Veterinary Clinic and Pet Hospital,Emergency veterinarian service,Emergency veterinarian service,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,,,"9F9H+VGR, Rangadoria, Assam 782106",782103,26.3697463,92.4787547,ChIJYVuFprQrRTcRtix_iqT3EQk,https://www.google.com/maps/place/?q=place_id:ChIJYVuFprQrRTcRtix_iqT3EQk,part_359,2026-09-20 20:49:21,1879
Tarini Vet Clinic,Veterinary Clinic and Pet Hospital,Pet store,Pet store,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 78969 29440,N/A,4.8,,"Hatipilkhana Rd, opp. Goswami dental clinic, Mahabhairab, Tezpur, Assam 784001",Mahabhairab,26.627540099999997,92.7926624,ChIJh586_6npRDcRvnexUdpvgIs,https://www.google.com/maps/place/?q=place_id:ChIJh586_6npRDcRvnexUdpvgIs,part_359,2026-09-20 20:49:21,1880
Pet n vet clinic,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,3.8,,"26, Geeta Nagar Rd, near State Bank of India Niloy, Sahib Tila, Geetanagar, Guwahati, Assam 781024","Sahib Tila, Geetanagar",26.1728752,91.7829909,ChIJV6rUtT9ZWjcREBcoIIAo8GU,https://www.google.com/maps/place/?q=place_id:ChIJV6rUtT9ZWjcREBcoIIAo8GU,part_359,2026-09-20 20:49:21,1881
VET PJB Pet Clinic,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 84530 19906,http://www.vetpjb.com/,4.0,,"Ground floor, VET PJB Pet Clinic, RG Baruah Rd, near New Momo Ghar, opposite Commerce College, Barua Road, Chandmari, Guwahati, Assam 781003","Barua Road, Chandmari",26.179691299999998,91.7752498,ChIJ90njhiZZWjcReMLB2EL5cMY,https://www.google.com/maps/place/?q=place_id:ChIJ90njhiZZWjcReMLB2EL5cMY,part_359,2026-09-20 20:49:21,1882
