business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shree Niwas Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 80113 71194,N/A,3.7,19.0,"beside NH-27 Highway, Jorapukhuri, Assam 782442",782103,25.9805831,92.9363844,ChIJ9YfZamJtRTcRP5rDekMR6ZI,https://www.google.com/maps/place/?q=place_id:ChIJ9YfZamJtRTcRP5rDekMR6ZI,part_359,2026-09-20 20:49:40,4884
IMA COLD STORAGE & GENERAL MILLS,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 86508 49708,N/A,4.8,,"ROAD, Girora, Khanpur, Uttar Pradesh 203405",782103,28.544358499999998,78.0716894,ChIJbaPivXpnCzkRDhWa2guCDgs,https://www.google.com/maps/place/?q=place_id:ChIJbaPivXpnCzkRDhWa2guCDgs,part_359,2026-09-20 20:49:41,4885
Mahabir Cold Storage Pvt Ltd,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99575 97709,http://www.mahabircoldstorage.com/,4.3,,"Gandhi Park Road, Jyoti Nagar, Tinsukia, Assam 786125",Jyoti Nagar,27.4781756,95.36292209999999,ChIJu5POKO5qPzcRsbK43tmuOUQ,https://www.google.com/maps/place/?q=place_id:ChIJu5POKO5qPzcRsbK43tmuOUQ,part_359,2026-09-20 20:49:41,4886
DS Cold Warehouse,Warehouse and Cold Storage,Storage facility,Storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99030 43069,N/A,4.2,,"New Airport Rd, Borjhar, Guwahati, Mirzapur, Assam 781017",Borjhar,26.1207326,91.6024571,ChIJz9-CHFJDWjcR1ZDkxPoDbyI,https://www.google.com/maps/place/?q=place_id:ChIJz9-CHFJDWjcR1ZDkxPoDbyI,part_359,2026-09-20 20:49:41,4887
Coldman Logistics,Warehouse and Cold Storage,Warehouse,Warehouse,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 22 2264 1355,http://www.coldman.in/,4.2,,"Uparhalli Village, Rampur- Mouza, Guwahati, Assam 781122",782103,26.106987999999998,91.51689619999999,ChIJ27eag_w_WjcRHEEpBupnILk,https://www.google.com/maps/place/?q=place_id:ChIJ27eag_w_WjcRHEEpBupnILk,part_359,2026-09-20 20:49:41,4888
Integrated Cold Chain Project of M/s Global Entrade,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 70860 63556,N/A,4.3,,"Village: Tetulia Sonapur, Dist, Bhogpur, Assam 782403",782103,26.120590699999997,92.046877,ChIJw7Va9R_sWjcRPXIZbuPkJhY,https://www.google.com/maps/place/?q=place_id:ChIJw7Va9R_sWjcRPXIZbuPkJhY,part_359,2026-09-20 20:49:41,4889
Krishna Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 98640 95359,N/A,4.0,,"Old IIT Road, Vill. - Gauripur, Mouza - Sila Sundarighopa, North, Guwahati, Assam 781101",782103,26.2133874,91.7082307,ChIJGWJOXYRaWjcR6H7SDDky1Dk,https://www.google.com/maps/place/?q=place_id:ChIJGWJOXYRaWjcR6H7SDDky1Dk,part_359,2026-09-20 20:49:41,4890
Eden Cold Storage Pvt. Ltd.,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Warehouse",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,3.8,28.0,"4R86+MF5, Zawhar Nagar, NH 37, Resham Nagar, Khanapara, Guwahati, Assam 781022","Resham Nagar, Khanapara",26.1166381,91.8112282,ChIJz6wSODZfWjcRnoFw3_m2jbM,https://www.google.com/maps/place/?q=place_id:ChIJz6wSODZfWjcRnoFw3_m2jbM,part_359,2026-09-20 20:49:42,4891
KAY DEE COLD STORAGE PVT LTD,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 94350 71215,http://www.swamienterprises.co.in/,3.6,15.0,"Ramnagar, Part - III, Tarapur, Silchar, Assam 788003","Part - III, Tarapur",24.8309066,92.75022249999999,ChIJixW_hKc1TjcRAl5SFjB4IPk,https://www.google.com/maps/place/?q=place_id:ChIJixW_hKc1TjcRAl5SFjB4IPk,part_359,2026-09-20 20:49:42,4892
Bhola Barman Cold storage LLP,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 97068 44579,N/A,5.0,21.0,"KATAJHAR PATHAR PWD ROAD, state Highway, Barpeta Road, Assam 781315",782103,26.533406,90.9721993,ChIJdxLcz6t1WTcRLLULqQGLrG8,https://www.google.com/maps/place/?q=place_id:ChIJdxLcz6t1WTcRLLULqQGLrG8,part_359,2026-09-20 20:49:42,4893
Sharda cold storage ms ware house,Warehouse and Cold Storage,Warehouse,Warehouse,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.5,8.0,"M59P+V62, Bareh, Madhya Pradesh 476111",782103,26.6696335,78.1855166,ChIJvdRAicandjkRBZmGCFWhOMw,https://www.google.com/maps/place/?q=place_id:ChIJvdRAicandjkRBZmGCFWhOMw,part_359,2026-09-20 20:49:42,4894
Ganpati Cold Ware House Pvt Ltd,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,3.7,20.0,"726V+FM3, NH 509, Poiya, Uttar Pradesh 283126",782103,27.261135499999998,78.0441585,ChIJ1bSBv0l6dDkRHTjukAJ8mjM,https://www.google.com/maps/place/?q=place_id:ChIJ1bSBv0l6dDkRHTjukAJ8mjM,part_359,2026-09-20 20:49:42,4895
Dey's Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,2.9,18.0,"R9HC+W29, Nagkapan, Assam 788781",782103,24.829794399999997,92.37010819999999,ChIJJ4VLV_jTUTcRmRkI8yPzBGM,https://www.google.com/maps/place/?q=place_id:ChIJJ4VLV_jTUTcRmRkI8yPzBGM,part_359,2026-09-20 20:49:42,4896
Ascold,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99543 19345,N/A,5.0,2.0,"Panjabari, Khanapara, Guwahati, Assam 781037","Panjabari, Khanapara",26.1316895,91.81773539999999,ChIJMbfYEcBZWjcRx3jD-K09Gzk,https://www.google.com/maps/place/?q=place_id:ChIJMbfYEcBZWjcRx3jD-K09Gzk,part_359,2026-09-20 20:49:42,4897
Shree Mahakal Cold Storage,Warehouse and Cold Storage,Warehouse,Warehouse,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 94128 60552,N/A,2.5,4.0,"27JQ+23X, Krapal Pura, Uttar Pradesh 283111",782103,27.030123399999997,78.28772459999999,ChIJSbIgU9MVdDkRqxHaIljZsh0,https://www.google.com/maps/place/?q=place_id:ChIJSbIgU9MVdDkRqxHaIljZsh0,part_359,2026-09-20 20:49:42,4898
Shri Gopal Cold Storage,Warehouse and Cold Storage,Warehouse,Warehouse,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 97600 83707,N/A,5.0,3.0,"Holipura Maud Village Chausingi, Bah, Uttar Pradesh 283113",782103,26.891467799999997,78.5072648,ChIJK7BS5AgxdDkRfRFwa4-XvuM,https://www.google.com/maps/place/?q=place_id:ChIJK7BS5AgxdDkRfRFwa4-XvuM,part_359,2026-09-20 20:49:42,4899
India Cold Storage Pvt Ltd,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,3.6,29.0,"92XQ+P36, Wedai, Uttar Pradesh 281306",782103,27.3992953,78.03765279999999,ChIJvWaezvN9dDkRrXjt2O0KPqk,https://www.google.com/maps/place/?q=place_id:ChIJvWaezvN9dDkRrXjt2O0KPqk,part_359,2026-09-20 20:49:42,4900
Badaun cold storage,Warehouse and Cold Storage,Warehouse,"Warehouse, Cold storage facility",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.4,5.0,"Cold Storage, near Power house, Katrabrahmpur, Budaun, Uttar Pradesh 243601",Katrabrahmpur,28.0347998,79.12838909999999,ChIJX6O76utFdTkRPgO4fEofpDI,https://www.google.com/maps/place/?q=place_id:ChIJX6O76utFdTkRPgO4fEofpDI,part_359,2026-09-20 20:49:42,4901
Cold storage warehouse,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.0,2.0,"CR9W+3MG, Devpura 1st St, DM Colony, Devpuri-II, Bulandshahr, Uttar Pradesh 203001","DM Colony, Devpuri-II",28.417688899999998,77.8466957,ChIJL8ZiJemhDDkReuRzbZ077Js,https://www.google.com/maps/place/?q=place_id:ChIJL8ZiJemhDDkReuRzbZ077Js,part_359,2026-09-20 20:49:42,4902
SMILEY ENTERPRISE,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 89181 13981,N/A,5.0,1.0,"NH-37, opp. nezon tube, Paschim Boragaon, Guwahati, Assam 781035",Paschim Boragaon,26.1195843,91.6949479,ChIJJTrpuepdWjcRQ6HJ5s93vDI,https://www.google.com/maps/place/?q=place_id:ChIJJTrpuepdWjcRQ6HJ5s93vDI,part_359,2026-09-20 20:49:42,4903
Jorhat Cold Storage,Warehouse and Cold Storage,Storage facility,Storage facility,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,,,"Q7MJ+RP8, Chenijaan, Assam 785010",782103,26.784533699999997,94.2818231,ChIJmVigQgPdRjcRGbpr4U9_puY,https://www.google.com/maps/place/?q=place_id:ChIJmVigQgPdRjcRGbpr4U9_puY,part_359,2026-09-20 20:49:42,4904
Moirabari Coldstorage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",N/A,N/A,4.0,1.0,"FC38+J4P, Mairabari Town, Assam 782126",782104,26.4540883,92.4153171,ChIJOZRYz64rWzcRkhIjenx3gS8,https://www.google.com/maps/place/?q=place_id:ChIJOZRYz64rWzcRkhIjenx3gS8,part_359,2026-09-20 20:50:15,8231
cold warehouse,Warehouse and Cold Storage,Warehouse,Warehouse,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",N/A,N/A,5.0,1.0,"MWWV+PQP, Dadhara, Ekorani, Bari Chowa Gaon, Assam 785614",782104,26.6968267,93.94446289999999,ChIJCVPxYLGXRjcRudT48n7EDaA,https://www.google.com/maps/place/?q=place_id:ChIJCVPxYLGXRjcRudT48n7EDaA,part_359,2026-09-20 20:50:15,8232
Bezera cold storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",N/A,N/A,5.0,1.0,"1st floor, Purna Ashis Bezera Chowk, Bezera, North Guwahati road, Guwahati, Assam 781121",782104,26.346854399999998,91.7793999,ChIJA4KpnrhVWjcR-uMwu6Ajbxo,https://www.google.com/maps/place/?q=place_id:ChIJA4KpnrhVWjcR-uMwu6Ajbxo,part_359,2026-09-20 20:50:15,8233
GG cold storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",N/A,N/A,5.0,2.0,"NPS Rd, AHOM GAON, Guwahati, Assam 781040",AHOM GAON,26.118132499999998,91.73966329999999,ChIJoTUF5rVdWjcR6cNMcsksULg,https://www.google.com/maps/place/?q=place_id:ChIJoTUF5rVdWjcR6cNMcsksULg,part_359,2026-09-20 20:50:15,8234
Karnitara Cold StoragePvt. Ltd.,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 99549 19644,N/A,3.8,4.0,"F9PP+F6C, Tinsukia, Assam 786146",782104,27.486186699999998,95.38552,ChIJPVo60NBqPzcREJiqAj_utTM,https://www.google.com/maps/place/?q=place_id:ChIJPVo60NBqPzcREJiqAj_utTM,part_359,2026-09-20 20:50:16,8235
S.D. COLD STORAGE,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 95939 89598,N/A,4.7,75.0,"BHANGNI PART-II, SASTHIA, Dinhata, West Bengal 736135","BHANGNI PART-II, SASTHIA",26.1376708,89.4823404,ChIJB44er5zl4jkRq5DUWPxHiY4,https://www.google.com/maps/place/?q=place_id:ChIJB44er5zl4jkRq5DUWPxHiY4,part_359,2026-09-20 20:50:16,8236
Central Warehouse Maligaon,Warehouse and Cold Storage,Warehouse,Warehouse,782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",+91 98899 78798,N/A,4.1,70.0,"central warehousing complex, Assam Trunk Rd, Maligaon, Guwahati, Assam 781011",Maligaon,26.1598108,91.70238979999999,ChIJK4ue7BBbWjcRoNzjh4Jnsco,https://www.google.com/maps/place/?q=place_id:ChIJK4ue7BBbWjcRoNzjh4Jnsco,part_359,2026-09-20 20:50:50,9746
V. K. Cold Storage And Allied Industries,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782106,Assam Circle,Dibrugarh Region,Nagaon Division,"Charaibahi S.O, Alikuchi B.O, Barchala B.O",N/A,N/A,4.4,29.0,"Village Rujha Kalan, Powayan Rd, Khutar, Uttar Pradesh 242405",782106,28.1875413,80.24930289999999,ChIJ_2qXkyh7nzkRPBa3HUHFILA,https://www.google.com/maps/place/?q=place_id:ChIJ_2qXkyh7nzkRPBa3HUHFILA,part_359,2026-09-20 20:51:25,11240
Shree Om Cold Storage,Warehouse and Cold Storage,Warehouse,Warehouse,782106,Assam Circle,Dibrugarh Region,Nagaon Division,"Charaibahi S.O, Alikuchi B.O, Barchala B.O",N/A,N/A,4.7,3.0,"X7H6+JR5, SH 51, Jasaura, Shakarpuri, Uttar Pradesh 244231",782106,28.979024499999998,78.262112,ChIJj2kqhyafCzkRmp70IZ9H5LU,https://www.google.com/maps/place/?q=place_id:ChIJj2kqhyafCzkRmp70IZ9H5LU,part_359,2026-09-20 20:51:25,11241
Khan Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",N/A,N/A,4.1,19.0,"SH 51, Uttar Pradesh 244241",782120,28.7403162,78.2806329,ChIJdz7gy7lyCzkROSJMZl9RPug,https://www.google.com/maps/place/?q=place_id:ChIJdz7gy7lyCzkROSJMZl9RPug,part_359,2026-09-20 20:52:00,14651
cold storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 81277 71113,N/A,4.3,13.0,"CJMC+VMJ, Bhagwantpura, Uttar Pradesh 284127",782120,25.4347086,78.6216333,ChIJH7Ad36J3dzkR3uGB1H2i3pI,https://www.google.com/maps/place/?q=place_id:ChIJH7Ad36J3dzkR3uGB1H2i3pI,part_359,2026-09-20 20:52:00,14652
Atlanta Trading co.,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",N/A,http://www.atlantatradingco.in/,4.1,9.0,"56, Elliot Rd, near Mukhtar Tower, Taltala, Kolkata, West Bengal 700016",Taltala,22.5511378,88.3583464,ChIJU1DgKu13AjoR5Q8ETOGNzeQ,https://www.google.com/maps/place/?q=place_id:ChIJU1DgKu13AjoR5Q8ETOGNzeQ,part_359,2026-09-20 20:52:01,14653
Barak Cold Storage,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Food Processing Company, Food products supplier, Packaging company, Self-storage facility, Storage facility, Warehouse",782121,Assam Circle,Dibrugarh Region,Nagaon Division,"Bhuragaon S.O, Baralimari B.O, Dungarpar B.O",N/A,http://barakcoldstorage.com/,4.2,12.0,"VG89+8J8, Malua, Badarpur, Assam 788806",782121,24.8657851,92.5190678,ChIJqZ64sTgrTjcR01LMECiD1C0,https://www.google.com/maps/place/?q=place_id:ChIJqZ64sTgrTjcR01LMECiD1C0,part_359,2026-09-20 20:52:37,16592
Coldrush Logistics Pvt Ltd,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782121,Assam Circle,Dibrugarh Region,Nagaon Division,"Bhuragaon S.O, Baralimari B.O, Dungarpar B.O",+91 22 4002 0499,https://coldrushlogistics.com/,5.0,2.0,"4Q6C+W6H, Beltala, Lokhra Rd, Beharbari, Lalmati, Guwahati, Assam 781040","Beharbari, Lalmati",26.1123108,91.77059709999999,ChIJ0ZxbTU9fWjcRYvcL-6mHy10,https://www.google.com/maps/place/?q=place_id:ChIJ0ZxbTU9fWjcRYvcL-6mHy10,part_359,2026-09-20 20:52:37,16593
"SHRI SHYAM COLD STORAGE, Bijoynagar",Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782121,Assam Circle,Dibrugarh Region,Nagaon Division,"Bhuragaon S.O, Baralimari B.O, Dungarpar B.O",N/A,N/A,3.9,16.0,"4G4C+PC9, Industry Area, Sarpara, Bijoynagar, Guwahati, Assam 781122",782121,26.106778799999997,91.521118,ChIJVaUSeaBAWjcRPdls5kJwjTk,https://www.google.com/maps/place/?q=place_id:ChIJVaUSeaBAWjcRPdls5kJwjTk,part_359,2026-09-20 20:52:38,16594
Dey’s Cold Storage Pvt. Ltd.,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,3.9,,"Ward Number-I, P.O, Silchar Road, &, Dist, Hailakandi, Assam 788151",Sudorshonpur,24.677138199999998,92.56900449999999,ChIJJy1ihbwlTjcR4JsewFWOPHg,https://www.google.com/maps/place/?q=place_id:ChIJJy1ihbwlTjcR4JsewFWOPHg,part_359,2026-09-20 20:53:13,18754
