business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kamakhya Bhandar,Gifting,Gift shop,Gift shop,782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",+91 84866 83269,N/A,5.0,1.0,"Morigaon, Assam 782105",782105,26.2516042,92.340228,ChIJ30Hgn2TRWjcRwmf_WNkqyCU,https://www.google.com/maps/place/?q=place_id:ChIJ30Hgn2TRWjcRwmf_WNkqyCU,part_359,2026-09-20 20:50:41
Humashree Electronics and Gifts,Gifting,Gift shop,Gift shop,782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",+91 70021 74564,N/A,5.0,1.0,"Shiv Mandir, Jagiroad, Assam 782413",782105,26.1216147,92.2004035,ChIJ639_agDDWjcRKv2ywlvxZY4,https://www.google.com/maps/place/?q=place_id:ChIJ639_agDDWjcRKv2ywlvxZY4,part_359,2026-09-20 20:50:41
ARIF STORE,Gifting,Gift shop,Gift shop,782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",N/A,N/A,5.0,1.0,"NAGAON, Udari, Assam 782105",782105,26.2827016,92.3019999,ChIJNde95K_bWjcRfgDMd9RjXxA,https://www.google.com/maps/place/?q=place_id:ChIJNde95K_bWjcRfgDMd9RjXxA,part_359,2026-09-20 20:50:41
Jakir Store,Gifting,Gift shop,Gift shop,782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",+91 60023 79427,N/A,,,"254, Morigaon Road, Titatala, Assam 782104",782105,26.3697484,92.33857309999999,ChIJGbkupDvXWjcRB8NUfp9wKa0,https://www.google.com/maps/place/?q=place_id:ChIJGbkupDvXWjcRB8NUfp9wKa0,part_359,2026-09-20 20:50:41
Mokibur Store,Gifting,Gift shop,Gift shop,782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",+91 86388 49715,N/A,,,"223 Goraimari, Goraimari To Morigaon Road, Bowalguri, Assam 782104",782105,26.3494466,92.34979369999999,ChIJtaI4IVXXWjcR1yoUUuGATP0,https://www.google.com/maps/place/?q=place_id:ChIJtaI4IVXXWjcR1yoUUuGATP0,part_359,2026-09-20 20:50:41
Wahidur Rahman Store,Gifting,Gift shop,Gift shop,782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",+91 90896 53298,N/A,,,"213 Gorimari, Gorimari To Morigaon Road, Kacharibori, Assam 782104",782105,26.3487394,92.3506736,ChIJ9co6_n3XWjcRIP-u8JKqKqg,https://www.google.com/maps/place/?q=place_id:ChIJ9co6_n3XWjcRIP-u8JKqKqg,part_359,2026-09-20 20:50:41
DISCOUNT DESTINATION,Gifting,Gift shop,Gift shop,782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",N/A,N/A,5.0,,"8VC3+6HM, Hatidhura, Talowagaon, Assam 783332",782105,26.3205852,89.8539235,ChIJFTc6cQCF4jkRnwtNugG4k8I,https://www.google.com/maps/place/?q=place_id:ChIJFTc6cQCF4jkRnwtNugG4k8I,part_359,2026-09-20 20:50:41
Crafthouse (fiza),Gifting,Gift shop,Gift shop,782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",+91 60025 37818,https://www.instagram.com/crafthouse289?igsh=MTA0d24zd201d2Z0Mw==,4.5,,"Maligaon Gate No. 1, Maligaon Chariali, Maligaon, Guwahati, Assam 781011","Maligaon Chariali, Maligaon",26.1589286,91.6977193,ChIJHYu7YwBbWjcRfQ_RnKe-5Kc,https://www.google.com/maps/place/?q=place_id:ChIJHYu7YwBbWjcRfQ_RnKe-5Kc,part_359,2026-09-20 20:50:41
City Gift House,Gifting,Gift shop,"Gift shop, Souvenir store",782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",+91 70028 54742,N/A,4.5,,"Ward No 3, LNB Rd, Mangaldoi, Kowar Para, Assam 784125",782105,26.4393818,92.03083869999999,ChIJcWfFEc8dWzcRk87LpvER9co,https://www.google.com/maps/place/?q=place_id:ChIJcWfFEc8dWzcRk87LpvER9co,part_359,2026-09-20 20:50:41
GIFT HOUSE MORIGAON,Gifting,Cosmetics store,Cosmetics store,782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",N/A,N/A,,,"782R+HVH, Morigaon, Assam 782105",782105,26.2514289,92.34224189999999,ChIJn_x7XgDRWjcRh7HMUBvQztw,https://www.google.com/maps/place/?q=place_id:ChIJn_x7XgDRWjcRh7HMUBvQztw,part_359,2026-09-20 20:50:42
