business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SANTOSH IMITATION JEWELLERY,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 70028 98840,N/A,5.0,,"BAROHOLIA, Padmapati Rd, near SANI MANDIR, P O, Tezpur, Assam 784001","P O, Mahabhairab",26.634933699999998,92.7949093,ChIJ97KT-MPpRDcRJD0DkB3JPS8,https://www.google.com/maps/place/?q=place_id:ChIJ97KT-MPpRDcRJD0DkB3JPS8,part_359,2026-09-20 20:51:35
Mofizul imitation jewellery,Artificial Jewellery and Accessories,Customs warehouse,Customs warehouse,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 99577 46341,N/A,,,"Gerua Ati, Assam 782125",782120,26.442282199999998,92.80046639999999,ChIJuyZbET_hRDcR7oq6cIcMbVo,https://www.google.com/maps/place/?q=place_id:ChIJuyZbET_hRDcR7oq6cIcMbVo,part_359,2026-09-20 20:51:35
K.P.P SHOP,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Wholesale jeweler",782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 97076 99073,N/A,5.0,,"SC Rd, Mahabhairab, Tezpur, Assam 784001",Mahabhairab,26.624260699999997,92.7984038,ChIJy6L1CsDpRDcRMM3hKY3W0lU,https://www.google.com/maps/place/?q=place_id:ChIJy6L1CsDpRDcRMM3hKY3W0lU,part_359,2026-09-20 20:51:35
"Fashion Signature | Artificial Jewellery, Online Jewellery, All Over India Delivery",Artificial Jewellery and Accessories,Jewelry store,Jewelry store,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 95191 52743,http://www.thefashionsignature.com/,5.0,,"CK. 6/13, Gola Gali, Patthar Kothi, Govindpura, Varanasi, Domari, Uttar Pradesh 221001","Patthar Kothi, Govindpura",25.313704299999998,83.0144744,ChIJWSxjCpovjjkRZY3JRgdB_CM,https://www.google.com/maps/place/?q=place_id:ChIJWSxjCpovjjkRZY3JRgdB_CM,part_359,2026-09-20 20:51:35
Shree Creation | Best Artificial Jewellery Showroom | Artificial Jewellery Showroom | Best Artificial Diamond Jewellery,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 88878 52733,https://taplink.cc/shreecreation,5.0,,"128E, 24/02, Clive Rd, Civil Lines, Prayagraj, Uttar Pradesh 211001",Civil Lines,25.4520104,81.83086639999999,ChIJKeQbLxjLmjkRkY94wVWUnNY,https://www.google.com/maps/place/?q=place_id:ChIJKeQbLxjLmjkRkY94wVWUnNY,part_359,2026-09-20 20:51:35
J W Gold,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Jeweler, Jewelry designer, Jewelry equipment supplier, Jewelry Exporter, Jewelry manufacturer, Wholesale jeweler, Wholesaler",782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 87210 72586,http://jwgold.in/,4.7,,"Shop No G1A, Shardhanjali Complex, Kelvin Cinema, Old, SRCB Rd, near Lohia Pharmacy, Near Railway Gate No.3, Fancy Bazaar, Guwahati, Assam 781001","Near Railway Gate No.3, Fancy Bazaar",26.1788901,91.7423766,ChIJJ1vsIstbWjcRh1zSeH5EyVY,https://www.google.com/maps/place/?q=place_id:ChIJJ1vsIstbWjcRh1zSeH5EyVY,part_359,2026-09-20 20:51:35
Aparajita's Jewellery,Artificial Jewellery and Accessories,Boutique,Boutique,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 98648 23047,N/A,4.7,,"Kanaklata Path, near Gagan Commercial, Rukmini Gaon, Guwahati, Assam 781006",Rukmini Gaon,26.136324,91.80440949999999,ChIJ3XKbiM9YWjcR4CT56mw-2xI,https://www.google.com/maps/place/?q=place_id:ChIJ3XKbiM9YWjcR4CT56mw-2xI,part_359,2026-09-20 20:51:35
Angana,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Jeweler, Jewelry designer, Jewelry Exporter, Jewelry manufacturer",782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 75788 15221,http://www.angana-jewellery.com/,4.7,,"202, GNB Rd, near YAMAHA showroom, Silpukhuri, Krishna Nagar, Silphukuri, Guwahati, Assam 781003","Silpukhuri, Krishna Nagar, Silphukuri",26.184576,91.7654761,ChIJwzTieZBZWjcRein4jjEyRLE,https://www.google.com/maps/place/?q=place_id:ChIJwzTieZBZWjcRein4jjEyRLE,part_359,2026-09-20 20:51:35
KESAHOON TEZPUR,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Jeweler, Jewelry designer",782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",N/A,N/A,4.1,,"JQCW+WHC, Anuwar Cinema Hall, Ground Floor, Main Road, near TRENDS, Tezpur, Assam 784001",Mahabhairab,26.6223195,92.7963841,ChIJV8NIN2_pRDcRtb_DW8Sfbhg,https://www.google.com/maps/place/?q=place_id:ChIJV8NIN2_pRDcRtb_DW8Sfbhg,part_359,2026-09-20 20:51:36
Doogdoogi (DUGDUGI) Assamese jewellery TEZPUR,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 80999 93203,N/A,5.0,,"JQGW+XQV, Mahabhairab, Tezpur, Assam 784001",Mahabhairab,26.627544699999998,92.7969672,ChIJnyQ0QQDpRDcRJx_x1nCe7ss,https://www.google.com/maps/place/?q=place_id:ChIJnyQ0QQDpRDcRJx_x1nCe7ss,part_359,2026-09-20 20:51:36
