business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
#12 art of hair family salon,Salon,Beauty Parlour,Beauty Parlour,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 76358 26998,https://book.heygoldie.com/12-ART-OF-HAIR-FAMILY-SALON,5.0,,"Baruwati chariyali, near by uluwani police station, Ouguri, Assam 782137",782120,26.527969199999998,92.9121055,ChIJaVcI8CblRDcRE90-ZIKcGXY,https://www.google.com/maps/place/?q=place_id:ChIJaVcI8CblRDcRE90-ZIKcGXY,part_359,2026-09-20 20:51:47
Aura Salon and Academy,Salon,Beauty Parlour,Beauty Parlour,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",N/A,N/A,4.6,,"Amoni, Assam 782138",782120,26.4563281,92.9149601,ChIJDyPb7I_jRDcRkjp4quwBO7c,https://www.google.com/maps/place/?q=place_id:ChIJDyPb7I_jRDcRkjp4quwBO7c,part_359,2026-09-20 20:51:47
ZG Saloon,Salon,Nail salon,Nail salon,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 90374 76275,N/A,5.0,,"Pachim Sualani, No.2 Bhatiakhali, Assam 782120",782120,26.496322199999998,92.8525834,ChIJwy81PVnnRDcRgctJ73oeloo,https://www.google.com/maps/place/?q=place_id:ChIJwy81PVnnRDcRgctJ73oeloo,part_359,2026-09-20 20:51:47
SHREE SALON & ACADEMY,Salon,Beauty Parlour,Beauty Parlour,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 99570 59066,N/A,4.0,,"Letugaon Satra, Back Road, near Kaliabor College, Kuwaritol, Assam 782137",782120,26.551283599999998,92.928018,ChIJ92mGMZzlRDcRwxaEho2zKUc,https://www.google.com/maps/place/?q=place_id:ChIJ92mGMZzlRDcRwxaEho2zKUc,part_359,2026-09-20 20:51:47
Jun& beauty salon & Academy,Salon,Beauty Parlour,Beauty Parlour,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",N/A,N/A,5.0,,"Bozar Bhuya Market, Kaliyabor, Naltali, Dhanekhowa, Assam 782143","Bozar Bhuya Market, Kaliyabor",26.5494451,92.8949538,ChIJB-mbSrPlRDcR0qLqvdovXmc,https://www.google.com/maps/place/?q=place_id:ChIJB-mbSrPlRDcR0qLqvdovXmc,part_359,2026-09-20 20:51:47
Nijam Salon Shop,Salon,Nail salon,Nail salon,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 93874 97186,N/A,5.0,,"Latani Chapari, Assam 782140",782120,26.4807469,92.8387893,ChIJkWShMQDhRDcRDyzHoanfm_U,https://www.google.com/maps/place/?q=place_id:ChIJkWShMQDhRDcRDyzHoanfm_U,part_359,2026-09-20 20:51:47
ELEGANCE UNISEX SALON & ACADEMY,Salon,Beauty Parlour,Beauty Parlour,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 97061 55958,N/A,4.9,,"opposite Satya Narayan Mandir, near kamrupia namghar, Mahabhairab, Tezpur, Assam 784001",Mahabhairab,26.6235374,92.7991529,ChIJk-qs7KzpRDcRa335hmQ8lvA,https://www.google.com/maps/place/?q=place_id:ChIJk-qs7KzpRDcRa335hmQ8lvA,part_359,2026-09-20 20:51:47
Angelic Family Salon,Salon,Beauty Parlour,"Beauty Parlour, Hairdresser",782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 70028 10878,N/A,4.8,,"Rajkhowa Building, AT Road, near Nightingale Restaurant, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.3496572,92.6791561,ChIJN8YEJ4YnRTcRqcsog1xcBQA,https://www.google.com/maps/place/?q=place_id:ChIJN8YEJ4YnRTcRqcsog1xcBQA,part_359,2026-09-20 20:51:47
Nice Look Spa & Parlour,Salon,Hair removal service,Hair removal service,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",N/A,N/A,5.0,,"GV94+RMX, SH 3, Pachim Sualani, Assam 782120",782120,26.519629799999997,92.85677559999999,ChIJ91pNm8DnRDcRlzy2o5ZzJVU,https://www.google.com/maps/place/?q=place_id:ChIJ91pNm8DnRDcRlzy2o5ZzJVU,part_359,2026-09-20 20:51:47
Like Me Beauty Salon,Salon,Beauty Parlour,"Beauty Parlour, Hair salon",782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 70197 84292,N/A,5.0,,"Bengena Ati Chariali, Opp. ME School, Bengena Ati, Kaliabor, Assam 782140",Bengena Ati,26.5213036,92.9140195,ChIJKUkxqg3lRDcRPMKSAJzYRF4,https://www.google.com/maps/place/?q=place_id:ChIJKUkxqg3lRDcRPMKSAJzYRF4,part_359,2026-09-20 20:51:47
