business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Phukon Commerical Complex,Commercial Complex,Business center,Business center,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 70850 55691,N/A,,,"ADP Rd, opp. Bank of India, Natun Bazaar, Nagaon, Assam 782001",Natun Bazaar,26.3555539,92.6894009,ChIJxQthp0onRTcRAsNOTKLAV20,https://www.google.com/maps/place/?q=place_id:ChIJxQthp0onRTcRAsNOTKLAV20,part_359,2026-09-20 20:53:15
Afsha Shoping Complex,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,,,"CG53+VJ4, Lalana Bari, Assam 782123",782122,26.4097951,92.50408589999999,ChIJzaKDPgDVRDcRWAbmQlfanWg,https://www.google.com/maps/place/?q=place_id:ChIJzaKDPgDVRDcRWAbmQlfanWg,part_359,2026-09-20 20:53:15
Nuvama Wealth,Commercial Complex,Investment service,"Investment service, Stock broker",782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,https://forms.gle/nxV2xaj2CD3jBUAG7,4.8,,"Room No : 13, Front of Adani Gas, Mamtaz Building, Ground Floor ,Near Bharat Petroleum Station, Jamtola, Nagaon pin 782122, Nagaon, Assam 782122",782122,26.4284055,92.5445544,ChIJwzNXlJ7XRDcRMfdUm-RsJtI,https://www.google.com/maps/place/?q=place_id:ChIJwzNXlJ7XRDcRMfdUm-RsJtI,part_359,2026-09-20 20:53:15
Monir Market,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.0,,"CGQ6+V3G, Dhupa Guri Kachari Gaon, Assam 782123",782122,26.4396858,92.51019959999999,ChIJU8LeqfDVRDcRguF9Nkba_to,https://www.google.com/maps/place/?q=place_id:ChIJU8LeqfDVRDcRguF9Nkba_to,part_359,2026-09-20 20:53:15
Haji Enterprise,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 97332 65824,N/A,4.1,,"Mahguri Gaon, Assam 782124",782122,26.4179265,92.6130472,ChIJDzR6IPPXRDcRjywSq-2h1LY,https://www.google.com/maps/place/?q=place_id:ChIJDzR6IPPXRDcRjywSq-2h1LY,part_359,2026-09-20 20:53:15
Dagaon New Bazar,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.0,,"CJR6+HRF, Alitangoni - Dhagaon Rd, Da-Gaon, Assam 782124",782122,26.4414396,92.61205319999999,ChIJlw0PaILXRDcRRO8khW9cwco,https://www.google.com/maps/place/?q=place_id:ChIJlw0PaILXRDcRRO8khW9cwco,part_359,2026-09-20 20:53:15
Royal Aawas Nagaon,Commercial Complex,Apartment building,Apartment building,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 75778 80002,http://royalaawas.in/,4.5,,"Assam Trunk Rd, Uria Gaon, Bhutai Gaon, Assam 782003",782122,26.344783399999997,92.7370626,ChIJTaS3cDAhRTcRe2rmd9sjaNA,https://www.google.com/maps/place/?q=place_id:ChIJTaS3cDAhRTcRe2rmd9sjaNA,part_359,2026-09-20 20:53:15
LUTFUR ENTERPRISE,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.8,,"Singari Madrassa JURIA, Mahguri Gaon, Gendhua Pathar, Assam 782124",782122,26.411935,92.6110951,ChIJt_kclcvXRDcRcj9vFwBcHnQ,https://www.google.com/maps/place/?q=place_id:ChIJt_kclcvXRDcRcj9vFwBcHnQ,part_359,2026-09-20 20:53:15
AB Shop center,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,5.0,,"Balikatia, Upar Dumdumia, Assam 782122",782122,26.4725652,92.56412209999999,ChIJz__zrGbXRDcRE66jMf5xXzc,https://www.google.com/maps/place/?q=place_id:ChIJz__zrGbXRDcRE66jMf5xXzc,part_359,2026-09-20 20:53:15
Zakaria Digital Computer,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.2,,"Balikatia, Garia Kawai Mari, Assam 782122",782122,26.4698909,92.57302969999999,ChIJu_w1tN3WRDcRlA6gi4iw-6I,https://www.google.com/maps/place/?q=place_id:ChIJu_w1tN3WRDcRlA6gi4iw-6I,part_359,2026-09-20 20:53:15
M/S Chowdhury Enterprise,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.5,,"CJJ6+X4V, Dagaon kandhulimari, Road, Furhani-Ati, Assam 782124",782122,26.4324816,92.6103021,ChIJs5hK04jXRDcRLdeFLRzBp3E,https://www.google.com/maps/place/?q=place_id:ChIJs5hK04jXRDcRLdeFLRzBp3E,part_359,2026-09-20 20:53:15
Raj Electronics,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,3.5,,"9HWJ+V7V, AT Road, Nagaon , Opposite Manalisha, Assam 782122",782122,26.397242199999997,92.58068039999999,ChIJ6QfpEqTXRDcRtVMgPSHJGys,https://www.google.com/maps/place/?q=place_id:ChIJ6QfpEqTXRDcRtVMgPSHJGys,part_359,2026-09-20 20:53:15
Lovely Enterprise,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,,,"CGJQ+4QG, Kadamoni, Batadraba Barhisa, SH-47, Nagaon, Assam 782122",782122,26.4303028,92.5394518,ChIJzQLNYwjVRDcRYUDQBxUD8ww,https://www.google.com/maps/place/?q=place_id:ChIJzQLNYwjVRDcRYUDQBxUD8ww,part_359,2026-09-20 20:53:15
Rakib Feed Centre,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,5.0,,"Nagaon Alitangani, jamuguri road, Nagaon, Assam 782124",782122,26.4195353,92.58371799999999,ChIJY6brulLXRDcRGPwIPP1Djf8,https://www.google.com/maps/place/?q=place_id:ChIJY6brulLXRDcRGPwIPP1Djf8,part_359,2026-09-20 20:53:15
Choudhury Enterprise,Commercial Complex,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,,,"CGPH+3F2, Kadamani Gaon, Dhupa Guri Gaon, Assam 782123",782122,26.4351316,92.5286428,ChIJJ612c5jVRDcRzDRZDu_QzSw,https://www.google.com/maps/place/?q=place_id:ChIJJ612c5jVRDcRzDRZDu_QzSw,part_359,2026-09-20 20:53:15
