business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MPJ JEWELLERS,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 3672 232 046,https://www.mpjjewellers.com/,4.8,,"A T ROAD, beside Aditya Sweet Shop, Kenyapatty, Nagaon, Assam 782001",Kenyapatty,26.353158699999998,92.6878907,ChIJq4IW8eEhRTcRaVgCq6nYiJc,https://www.google.com/maps/place/?q=place_id:ChIJq4IW8eEhRTcRaVgCq6nYiJc,part_359,2026-09-20 20:52:46
Bipasha Gems & Jewellery,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 91010 72455,N/A,4.8,,"ADP Rd, Christianpatty, Nagaon, Assam 782001",Christianpatty,26.3515761,92.68889589999999,ChIJ97i_6IgnRTcRRN8fCW8g4XQ,https://www.google.com/maps/place/?q=place_id:ChIJ97i_6IgnRTcRRN8fCW8g4XQ,part_359,2026-09-20 20:52:46
SAHIBA GEMS & JEWELLERS,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 70023 31145,N/A,4.4,,"Old AT Rd, below Bank of Baroda, Haibargaon, Nagaon, Senchowa, Assam 782001",Haibargaon,26.3235606,92.6608704,ChIJC4SC39QnRTcRLYYxUtWwYpc,https://www.google.com/maps/place/?q=place_id:ChIJC4SC39QnRTcRLYYxUtWwYpc,part_359,2026-09-20 20:52:46
S P GEMS & JEWELLERS,Gold and Diamond Jewellery Showroom,Costume jewelry shop,"Costume jewelry shop, Jeweler",782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.7,,"Jagarnath, opp. Jagganath Mandir Road, Professors Colony, Nagaon, Assam 782001",Professors Colony,26.3525398,92.6884865,ChIJR6hqAiYnRTcRY-_UvtfXPpA,https://www.google.com/maps/place/?q=place_id:ChIJR6hqAiYnRTcRY-_UvtfXPpA,part_359,2026-09-20 20:52:46
SUMA JEWELLERS,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 98543 20980,N/A,5.0,,"Dimoruguri, Check gate, Nagaon, Assam 782003",Check gate,26.3510833,92.71136539999999,ChIJu_TdriAhRTcRNhoWHd3_YHk,https://www.google.com/maps/place/?q=place_id:ChIJu_TdriAhRTcRNhoWHd3_YHk,part_359,2026-09-20 20:52:46
Hari Om Jewellers,Gold and Diamond Jewellery Showroom,Jeweler,Jeweler,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,3.7,,"At road, opposite Tulip's restaurant, Christianpatty, marwaripatty, Nagaon, Assam 782001","Christianpatty, marwaripatty",26.352046299999998,92.69016239999999,ChIJi3_oxCgnRTcRyB1OIFsapAw,https://www.google.com/maps/place/?q=place_id:ChIJi3_oxCgnRTcRyB1OIFsapAw,part_359,2026-09-20 20:52:46
New Hooghly Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 87238 28471,N/A,5.0,,"MD Rd, near Sadar Thana, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.3467423,92.6872786,ChIJEXiK1c4nRTcR4tSzuu_x-5g,https://www.google.com/maps/place/?q=place_id:ChIJEXiK1c4nRTcR4tSzuu_x-5g,part_359,2026-09-20 20:52:46
Aftab jewellery's,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 60266 20219,N/A,5.0,,"8MW7+587, Haibargaon, Nagaon, Assam 782002",Haibargaon,26.3454233,92.6632884,ChIJL9L9MQcnRTcRhJ74UrV0gzI,https://www.google.com/maps/place/?q=place_id:ChIJL9L9MQcnRTcRhJ74UrV0gzI,part_359,2026-09-20 20:52:46
KISNA Diamond Jewellery,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 70021 11126,N/A,5.0,,"WW9X+6QH, Shillong Rd, near UCO Bank, Lanka, Assam 782446",782122,25.9180545,92.9494824,ChIJa2n7KgBzRTcRLGt-v8fhmk8,https://www.google.com/maps/place/?q=place_id:ChIJa2n7KgBzRTcRLGt-v8fhmk8,part_359,2026-09-20 20:52:47
"Kisna Diamond & Gold Jewellery - Assam, Guwahati",Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler, Jewelry buyer, Jewelry designer, Jewelry Exporter, Jewelry manufacturer, Jewelry repair service",782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 70024 43953,https://kisna.com/?utm_source=gmb&utm_medium=organic&utm_campaign=assam&utm_id=google&utm_term=guwahati,4.9,,"House No.70, S.C. Road, Athgaon, Guwahati, Assam 781009",Athgaon,26.1713687,91.73799129999999,ChIJZzzEXw5bWjcR8EcC-3OmJUw,https://www.google.com/maps/place/?q=place_id:ChIJZzzEXw5bWjcR8EcC-3OmJUw,part_359,2026-09-20 20:52:48
