business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
1- India Family Mart,Malls,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 1800 121 848 484,http://1indiafamilymart.com/,3.7,148.0,"8MXC+3XQ, AT Rd, Haibargaon, Khutikatia, Nagaon, Assam 782001",Haibargaon,26.3477106,92.6724807,ChIJ52eaGLAnRTcRHf4uXHx9YX0,https://www.google.com/maps/place/?q=place_id:ChIJ52eaGLAnRTcRHf4uXHx9YX0,part_359,2026-09-20 20:53:15
V2 Retail - Panigaon,Malls,Clothing store,"Clothing store, Children's clothing store, Clothing Accessories Store, Formal Clothing Store, Men's clothing store, Outlet mall, Tuxedo shop, Women's clothing store, Youth clothing store",782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 81309 07705,https://v2retail.com/,3.0,26.0,"A.T. ROAD, PANIGAON CHARIALI, NAGAON, ASSAM. PIN CODE, Nagaon, Assam 782001","Panigaon Chariyali, Panigaon",26.3531159,92.7000106,ChIJNYBI-jAnRTcRlPWzmMQhxrA,https://www.google.com/maps/place/?q=place_id:ChIJNYBI-jAnRTcRlPWzmMQhxrA,part_359,2026-09-20 20:53:15
Borduwa center,Malls,Market,Market,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.3,67.0,"CH92+364, Dhing Rd, Batadraba Saruhisa, Assam 782122",782122,26.4176422,92.5505719,ChIJb24MqGLXRDcROERKeSjHIK4,https://www.google.com/maps/place/?q=place_id:ChIJb24MqGLXRDcROERKeSjHIK4,part_359,2026-09-20 20:53:15
MOUSAC ENTERPRISE,Malls,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,3.5,10.0,"Madhupur, Kadamtal, Nagaon, Assam 782001","Madhupur, Kadamtal",26.330695,92.68042539999999,ChIJI1B4M8ImRTcRsKcHQlhIT4M,https://www.google.com/maps/place/?q=place_id:ChIJI1B4M8ImRTcRsKcHQlhIT4M,part_359,2026-09-20 20:53:15
"Ambience Mall, Vasant Kunj",Malls,Shopping mall,"Shopping mall, Donut shop",782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 81303 50002,http://www.ambiencemalls.com/,4.6,75612.0,"2, Nelson Mandela Marg, Ambience Island, Vasant Kunj II, Vasant Kunj, New Delhi, Delhi 110070","Ambience Island, Vasant Kunj II, Vasant Kunj",28.5414101,77.15513589999999,ChIJ_Tnyzr4dDTkRiya7reO2Oa4,https://www.google.com/maps/place/?q=place_id:ChIJ_Tnyzr4dDTkRiya7reO2Oa4,part_359,2026-09-20 20:53:15
"Phoenix United Mall, Lucknow, U.P.",Malls,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,http://www.phoenixunitedlucknow.com/,4.3,45099.0,"Kanpur Rd, Sector B, Bargawan, Alambagh, Lucknow, Uttar Pradesh 226012","Sector B, Bargawan, Alambagh",26.798402799999998,80.89713789999999,ChIJUQR0xKf-mzkRTw4z9a4oj7M,https://www.google.com/maps/place/?q=place_id:ChIJUQR0xKf-mzkRTw4z9a4oj7M,part_359,2026-09-20 20:53:15
Unity Mall (Ekta Mall),Malls,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.0,77.0,"4P8G+QHQ, AHOM GAON, Guwahati, Assam 781040",AHOM GAON,26.116965699999998,91.7264857,ChIJOyMQRABdWjcRtEUG7wtG1Wc,https://www.google.com/maps/place/?q=place_id:ChIJOyMQRABdWjcRtEUG7wtG1Wc,part_359,2026-09-20 20:53:15
Bandhai commercial complex,Malls,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 91302 18706,N/A,5.0,,"opposite to Apex Bank, Dhing, Assam 782123",782122,26.459366499999998,92.48110969999999,ChIJuX44NgDVRDcR6tBQUFEHcYw,https://www.google.com/maps/place/?q=place_id:ChIJuX44NgDVRDcR6tBQUFEHcYw,part_359,2026-09-20 20:53:16
SBI Market Complex,Malls,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,3.8,,"FF5J+7XF, Dhing, Assam 782123",782122,26.458196599999997,92.482417,ChIJ02okYejURDcRF7_P-Ftbm-g,https://www.google.com/maps/place/?q=place_id:ChIJ02okYejURDcRF7_P-Ftbm-g,part_359,2026-09-20 20:53:16
SAIKIA MARKET,Malls,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.3,,"CF6M+653, Baruati, Bata Bari, Assam 782123",782122,26.410501999999997,92.48291689999999,ChIJf8modCTVRDcRLOEdYArmIFg,https://www.google.com/maps/place/?q=place_id:ChIJf8modCTVRDcRLOEdYArmIFg,part_359,2026-09-20 20:53:16
Rose Market,Malls,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,5.0,,"CJV8+8J8, Da-Gaon, Assam 782124",782122,26.443279099999998,92.6165786,ChIJV86gg3_XRDcRRCzJYSOa5-c,https://www.google.com/maps/place/?q=place_id:ChIJV86gg3_XRDcRRCzJYSOa5-c,part_359,2026-09-20 20:53:16
NR store,Malls,Shopping mall,Shopping mall,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,5.0,,"9HGW+JR4, main road, tiniali, Raidongia, Aibheti Satra, Assam 782002",tiniali,26.376524099999997,92.5970703,ChIJ5-AwtTcpRTcR8aJuxI1Jwfw,https://www.google.com/maps/place/?q=place_id:ChIJ5-AwtTcpRTcR8aJuxI1Jwfw,part_359,2026-09-20 20:53:16
