business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nritya Sangeet Shaili Academy,Music and Dance Academy,Dance school,Dance school,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,5.0,,"MG Rd, Professors Colony, Nagaon, Assam 782001",Professors Colony,26.3518172,92.690657,ChIJrTO-XponRTcRCeSv4yJAx20,https://www.google.com/maps/place/?q=place_id:ChIJrTO-XponRTcRCeSv4yJAx20,part_359,2026-09-20 20:53:05
Modern Dance Academy,Music and Dance Academy,Dance school,Dance school,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 86388 44897,https://skdancestudio.website3.me/,5.0,,"modern Dance Academy, South, RRB Rd, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.3477012,92.6757157,ChIJM83JgWMnRTcRCufWrkWgeX0,https://www.google.com/maps/place/?q=place_id:ChIJM83JgWMnRTcRCufWrkWgeX0,part_359,2026-09-20 20:53:05
BAPPA BASS PRODUCTION / ACADEMY,Music and Dance Academy,Art center,Art center,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 96786 83558,N/A,5.0,,"Haibargaon:Nagaon, Nagaon, Assam 782001",Haibargaon:Nagaon,26.351144599999998,92.6800212,ChIJMyCjllonRTcR7oMzQUUuNe8,https://www.google.com/maps/place/?q=place_id:ChIJMyCjllonRTcR7oMzQUUuNe8,part_359,2026-09-20 20:53:05
Sutradhar Dance Academy,Music and Dance Academy,Dance school,Dance school,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 81349 02730,N/A,4.7,,"9P42+PG5, B.R.road, chaiali, Panigaon, Nagaon, Assam 782003","chaiali, Panigaon",26.3567561,92.7013489,ChIJUTWoshshRTcR2hP2vnmVg-c,https://www.google.com/maps/place/?q=place_id:ChIJUTWoshshRTcR2hP2vnmVg-c,part_359,2026-09-20 20:53:05
CREATION DANCE ACADEMY,Music and Dance Academy,Dance school,Dance school,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 75759 72286,N/A,4.6,,"Amulapatti kolongpar, JB Rd, Nagaon, Assam 782001",782122,26.3610519,92.6880975,ChIJvRDHz-InRTcRG2Vbx2-yn8Y,https://www.google.com/maps/place/?q=place_id:ChIJvRDHz-InRTcRG2Vbx2-yn8Y,part_359,2026-09-20 20:53:05
Rhythm Dance Freak by Manish Setthia 15+years in business,Music and Dance Academy,Dance school,Dance school,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 77109 47340,N/A,5.0,,"2nd floor, Old AT Rd, near Trade India, above Shakti Medicos, Nagaon, Assam 782001",782122,26.352054199999998,92.6783043,ChIJk0uJw2cnRTcRSbSiZRdMeG0,https://www.google.com/maps/place/?q=place_id:ChIJk0uJw2cnRTcRSbSiZRdMeG0,part_359,2026-09-20 20:53:05
Sur Sadhana,Music and Dance Academy,Music school,Music school,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",+91 94012 19239,N/A,4.7,,"New Amolapatty Rd, Nagaon, Assam 782001",782122,26.3536079,92.6939309,ChIJf-b1ECwnRTcRIytxfO1_yXY,https://www.google.com/maps/place/?q=place_id:ChIJf-b1ECwnRTcRIytxfO1_yXY,part_359,2026-09-20 20:53:05
SAHASONS MUSIC ACADEMY,Music and Dance Academy,Music school,Music school,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.7,,"Kharampatty, APDCL Subdivision-3, Assam 782001",782122,26.352563,92.67983799999999,ChIJEyLrD9cnRTcRhk5Ujy8-_Ws,https://www.google.com/maps/place/?q=place_id:ChIJEyLrD9cnRTcRhk5Ujy8-_Ws,part_359,2026-09-20 20:53:05
Motion Dance Academy,Music and Dance Academy,Dance school,Dance school,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,https://www.facebook.com/motionnagaon,5.0,,"MD Rd, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.351573,92.680166,ChIJbVvZZEInRTcRHeAGnBJuUPI,https://www.google.com/maps/place/?q=place_id:ChIJbVvZZEInRTcRHeAGnBJuUPI,part_359,2026-09-20 20:53:05
Geetikanan Sanget Vidalya,Music and Dance Academy,Educational institution,Educational institution,782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O",N/A,N/A,4.6,10.0,"8MXF+JF3, Haibargaon, Khutikatia, Nagaon, Assam 782001",Haibargaon,26.349023199999998,92.67368669999999,ChIJWfipdR4nRTcRXfZl3YOgUuE,https://www.google.com/maps/place/?q=place_id:ChIJWfipdR4nRTcRXfZl3YOgUuE,part_359,2026-09-20 20:53:05
