business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Taher fertilizer,Importers,Fertilizer Store,Fertilizer Store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",N/A,N/A,5.0,4.0,"FC36+VX6, Moirabari, Mairabari Town, Assam 782126",782126,26.4546587,92.4123757,ChIJ79oJhZorWzcRXtarsspxh_4,https://www.google.com/maps/place/?q=place_id:ChIJ79oJhZorWzcRXtarsspxh_4,part_359,2026-09-20 20:55:32
SHARIF UDDIN FERTILIZER,Importers,Fertilizer Store,Fertilizer Store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 93958 21181,N/A,,,"Garukhuti, Arif market, Kathani, Uralkata Pathar, Assam 782126",782126,26.381199199999998,92.4137353,ChIJ5VhZw__VWjcRk2FWAPV19ZY,https://www.google.com/maps/place/?q=place_id:ChIJ5VhZw__VWjcRk2FWAPV19ZY,part_359,2026-09-20 20:55:32
RAIHAN ENTERPRISE,Importers,Fertilizer Store,Fertilizer Store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",N/A,N/A,,,"Buragaon Road, Tatikata Pathar, Moirabari, Assam 782126",782126,26.4535013,92.424577,ChIJgwa2FwArWzcRrv5pLl92TDI,https://www.google.com/maps/place/?q=place_id:ChIJgwa2FwArWzcRrv5pLl92TDI,part_359,2026-09-20 20:55:32
Shahanoor Drug Distributors,Importers,Pharmacy,Pharmacy,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",N/A,N/A,,,"FC4C+47F, Moirabari, Tatikata Pathar, Assam 782126",782126,26.4553034,92.42068119999999,ChIJ571dKqgrWzcRB-vWXdsk27E,https://www.google.com/maps/place/?q=place_id:ChIJ571dKqgrWzcRB-vWXdsk27E,part_359,2026-09-20 20:55:32
M R Drug Distributors,Importers,Pharmacy,Pharmacy,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 60009 24833,N/A,,,"C9F3 M6Q, Datialbori, Assam 782127",782126,26.4246435,92.3534483,ChIJpZS5zYgpWzcRjDA_tPloYxA,https://www.google.com/maps/place/?q=place_id:ChIJpZS5zYgpWzcRjDA_tPloYxA,part_359,2026-09-20 20:55:32
HAJI KRISHI BANDAR,Importers,Fertilizer Store,Fertilizer Store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 93955 70638,N/A,,,"C9MJ GV364, Hahchara Gaon, Assam 782126",C9MJ GV364,26.4336263,92.38161939999999,ChIJTTLrfvgrWzcR_nB7CRxT5ko,https://www.google.com/maps/place/?q=place_id:ChIJTTLrfvgrWzcR_nB7CRxT5ko,part_359,2026-09-20 20:55:32
M/S Fahim Bharatgas Gramin Vitrak,Importers,Gas Agency,Gas Agency,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 93656 88565,N/A,4.9,12.0,"Moirabari, Tatikata Pathar, Assam 782126",782126,26.455392,92.4174518,ChIJEywq_2krWzcRAN3cJmwDIUk,https://www.google.com/maps/place/?q=place_id:ChIJEywq_2krWzcRAN3cJmwDIUk,part_359,2026-09-20 20:55:32
Eliyas Fartilizar,Importers,Fertilizer Store,Fertilizer Store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 84740 06652,N/A,,,"Shop Mo 5, Rd, Doloigaon, Laharighat, Borthal Dolaigaon, Assam 782126",Doloigaon,26.453494199999998,92.3923162,ChIJq9l-0ekrWzcRrjuSgEJGtGg,https://www.google.com/maps/place/?q=place_id:ChIJq9l-0ekrWzcRrjuSgEJGtGg,part_359,2026-09-20 20:55:32
Moirabari Sub Post Office,Importers,Government office,Government office,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",N/A,N/A,5.0,3.0,"FC2C+WRH, Moirabari, Mairabari Town, Assam 782126",782126,26.4517244,92.42208029999999,ChIJmYDBaSgrWzcRAC9yBiXkPYk,https://www.google.com/maps/place/?q=place_id:ChIJmYDBaSgrWzcRAC9yBiXkPYk,part_359,2026-09-20 20:55:32
Zaara Drug Distributors,Importers,Drug store,Drug store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",N/A,N/A,5.0,3.0,"FC49+9GH, Near Gupta rice mill, Moirabari, Tatikata Pathar, Assam 782126",782126,26.455949399999998,92.41885459999999,ChIJO6ajVqgrWzcR7ooP1p9Skic,https://www.google.com/maps/place/?q=place_id:ChIJO6ajVqgrWzcR7ooP1p9Skic,part_359,2026-09-20 20:55:33
