business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ayan Grocery Store,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 98648 70190,N/A,5.0,1.0,"Mela Road, Patekibari, Mairabari Gaon, Assam 782126",782126,26.444494199999998,92.41187579999999,ChIJN2WyPCYrWzcRRNh6GdRcAB8,https://www.google.com/maps/place/?q=place_id:ChIJN2WyPCYrWzcRRNh6GdRcAB8,part_359,2026-09-20 20:55:02
Afridi grocery store 🏪,Supermarket,Indian grocery store,Indian grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",N/A,N/A,5.0,3.0,"CCXC+RH6, Morigaon - Moirabari Rd, Uralkata Pathar, Mairabari Town, Assam 782126",782126,26.449527399999997,92.42138229999999,ChIJo3KxZAArWzcRiqE4I0pojH4,https://www.google.com/maps/place/?q=place_id:ChIJo3KxZAArWzcRiqE4I0pojH4,part_359,2026-09-20 20:55:02
Ladli Store,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 93879 19400,N/A,5.0,1.0,"Larirghat Marjet, Saharigaon To, Moirabari, Lengeribori, Assam 782126",782126,26.4091861,92.4185552,ChIJ_U6rJFkrWzcR5uqcBfOzxAI,https://www.google.com/maps/place/?q=place_id:ChIJ_U6rJFkrWzcR5uqcBfOzxAI,part_359,2026-09-20 20:55:02
Maa Enterprise,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 90850 77190,N/A,5.0,1.0,"Pub Lalipather, Airtel Tower, Panbari, Baligaon, Assam 782126",782126,26.4314944,92.45778759999999,ChIJh4uRuHArWzcR2yqC8kHe2Rw,https://www.google.com/maps/place/?q=place_id:ChIJh4uRuHArWzcR2yqC8kHe2Rw,part_359,2026-09-20 20:55:02
Maa Enterprises,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 60038 41578,N/A,4.5,2.0,"Room Number 2, Lali Pathar, Assam 782123",782126,26.418283199999998,92.45210329999999,ChIJPayv3ZErWzcRHOaF6KM9OAQ,https://www.google.com/maps/place/?q=place_id:ChIJPayv3ZErWzcRHOaF6KM9OAQ,part_359,2026-09-20 20:55:02
Adiba Grocery Store,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 87618 18286,N/A,,,"To, Morigaon Rd, Moirabari, Mairabari Town, Assam 782126",782126,26.454800799999997,92.4222597,ChIJOVyKPsgrWzcRWgCBmV6MOYU,https://www.google.com/maps/place/?q=place_id:ChIJOVyKPsgrWzcRWgCBmV6MOYU,part_359,2026-09-20 20:55:02
MDR STORE,Supermarket,Grocery delivery service,"Grocery delivery service, Computer store, Electrical appliance wholesaler",782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 86386 22507,N/A,5.0,1.0,"Hatimuria, Assam 782126",782126,26.443364499999998,92.4327938,ChIJc1CbH2YrWzcRUQx-0Nwpd98,https://www.google.com/maps/place/?q=place_id:ChIJc1CbH2YrWzcRUQx-0Nwpd98,part_359,2026-09-20 20:55:02
Salam Store,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 80111 72732,N/A,5.0,1.0,"Salam Store, Niz-Dhing, Assam 782126",782126,26.4547331,92.4454385,ChIJz4eO6b4rWzcR0FT6tq26Y1A,https://www.google.com/maps/place/?q=place_id:ChIJz4eO6b4rWzcR0FT6tq26Y1A,part_359,2026-09-20 20:55:02
Ayub Grocery store,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 60011 83129,N/A,,,"Hatimuria, Mairabari Town, Assam 782126",782126,26.4456286,92.4267895,ChIJkWWZZS4rWzcRCgry7HKy_iQ,https://www.google.com/maps/place/?q=place_id:ChIJkWWZZS4rWzcRCgry7HKy_iQ,part_359,2026-09-20 20:55:02
Raihan Store,Supermarket,Grocery store,"Grocery store, General store",782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 84537 21766,N/A,3.5,2.0,"Raihan Store 01, Supar Market, Lengeribori, Assam 782126",782126,26.398871099999997,92.4157367,ChIJi_d1VAArWzcRnPE5eicKSWo,https://www.google.com/maps/place/?q=place_id:ChIJi_d1VAArWzcRnPE5eicKSWo,part_359,2026-09-20 20:55:02
Tabiul Grocery store,Supermarket,General store,General store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 96782 80736,N/A,4.7,3.0,"Durabandhi, Morigaon - Moirabari Rd, Morigaon, Assam 782126",782126,26.433642199999998,92.4133233,ChIJW48VXngrWzcRaOqbUyrBLVE,https://www.google.com/maps/place/?q=place_id:ChIJW48VXngrWzcRaOqbUyrBLVE,part_359,2026-09-20 20:55:02
Faruk Store,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 97783 72573,N/A,,,"Lalirghat Market Sahariagon, To, Morigaon - Moirabari Rd, Morigaon, Lengeribori, Assam 782126",782126,26.411952,92.41968849999999,ChIJeZMh-UgrWzcRZ0P9Cin67IE,https://www.google.com/maps/place/?q=place_id:ChIJeZMh-UgrWzcRZ0P9Cin67IE,part_359,2026-09-20 20:55:02
Hardware,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 69139 24752,N/A,,,"Shalkati Dhing Nagain, Assam 782126",782126,26.429077099999997,92.4391625,ChIJQTrBgCYrWzcR6AYcRzT6myc,https://www.google.com/maps/place/?q=place_id:ChIJQTrBgCYrWzcR6AYcRzT6myc,part_359,2026-09-20 20:55:02
Jiabur Grocery Store,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 60027 58110,N/A,,,"Moirabari, Assam 782126",782126,26.453780899999998,92.4225769,ChIJZflQiYQrWzcRD92XlA2MkQM,https://www.google.com/maps/place/?q=place_id:ChIJZflQiYQrWzcRD92XlA2MkQM,part_359,2026-09-20 20:55:02
Rabbul Pan Store,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 60014 56745,N/A,5.0,2.0,"Saharia Gaon, Lengeribori, Assam 782126",782126,26.408244999999997,92.4189619,ChIJvWS2-U4rWzcRejNWPCtak9Q,https://www.google.com/maps/place/?q=place_id:ChIJvWS2-U4rWzcRejNWPCtak9Q,part_359,2026-09-20 20:55:02
Parbin Grocery Shop,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 91011 15285,N/A,,,"Parbin Grocery Salkati Sariyali, Kathani, Salkati Pathar, Assam 782126",782126,26.4181244,92.43898829999999,ChIJS36Ld4orWzcRLjr18w1K1-o,https://www.google.com/maps/place/?q=place_id:ChIJS36Ld4orWzcRLjr18w1K1-o,part_359,2026-09-20 20:55:02
Zaman Store,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 60007 81429,N/A,5.0,2.0,"Sagunbahi, Moirabari, Assam 782126",782126,26.4215633,92.4196295,ChIJNWGAIRwrWzcR1EcEKlsx-JA,https://www.google.com/maps/place/?q=place_id:ChIJNWGAIRwrWzcR1EcEKlsx-JA,part_359,2026-09-20 20:55:02
Elias Store,Supermarket,Grocery store,Grocery store,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 70021 30168,N/A,,,"To, Morigaon - Moirabari Rd, Market, Lengeribori, Morigaon, Assam 782126",Market,26.410373399999997,92.4074449,ChIJTQn0q0ErWzcRkE1vZShOp0U,https://www.google.com/maps/place/?q=place_id:ChIJTQn0q0ErWzcRkE1vZShOp0U,part_359,2026-09-20 20:55:02
