business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JK Super Cement Authorised Dealer (S.S. ASSOCIATES),Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Building materials supplier, Concrete contractor, Construction Material Wholesaler, Paving materials supplier, Ready mix concrete supplier, Cement Supplier",782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 99274 54710,https://dottt.me/jk-cement-s-s-associates?utm_source=GMB&utm_medium=Dottt&utm_campaign=GMB_Dottt_SearchClicks_Listings_28august24,5.0,,"16B PHASE, 13T/F, 2, Trans Yamuna Colony, Agra, Uttar Pradesh 282006",Trans Yamuna Colony,27.203284,78.04383899999999,ChIJ4dPU3_ZxdDkRjnWAjBfLsSM,https://www.google.com/maps/place/?q=place_id:ChIJ4dPU3_ZxdDkRjnWAjBfLsSM,part_359,2026-09-20 20:56:28
JK Super Cement Authorised Dealer (Gupta & Company),Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Building materials supplier, Concrete contractor, Construction Material Wholesaler, Paving materials supplier, Ready mix concrete supplier, Cement Supplier",782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 94121 94703,https://dottt.me/jk-cement-gupta-company-budaun,,,"BISAULI ROAD, Katrabrahmpur, Arifpur Navada, Budaun, Uttar Pradesh 243601",Katrabrahmpur,28.0334145,79.1355511,ChIJMcKX95dFdTkRxob5SDsVLTA,https://www.google.com/maps/place/?q=place_id:ChIJMcKX95dFdTkRxob5SDsVLTA,part_359,2026-09-20 20:56:28
"Prism Johnson Limited, Satna Cement Plant",Cement and Sand Supplier,Cement Manufacturer,Cement Manufacturer,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",N/A,http://www.prismjohnson.in/,4.3,,"P.O. Bathia, Mankahari, Madhya Pradesh 485111",P.O. Bathia,24.5640145,81.0065612,ChIJF13doDpjhDkRCIUNJgJn2gg,https://www.google.com/maps/place/?q=place_id:ChIJF13doDpjhDkRCIUNJgJn2gg,part_359,2026-09-20 20:56:28
"MP Birla Corporation Limited, Satna Cement Works",Cement and Sand Supplier,Cement Manufacturer,Cement Manufacturer,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 76724 12001,https://birlacorporation.com/plants.html,4.0,,"Ucl-Ghoordong Rd, Birla Colony Campus, Satna, Madhya Pradesh 485005",Birla Colony Campus,24.592707599999997,80.8579397,ChIJu_JzJ0x-hDkR6vPQN0N_PNU,https://www.google.com/maps/place/?q=place_id:ChIJu_JzJ0x-hDkR6vPQN0N_PNU,part_359,2026-09-20 20:56:28
K. J. S Cement Ltd.,Cement and Sand Supplier,Cement Manufacturer,Cement Manufacturer,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 1800 120 2660,http://www.loyalty.kjscement.com/,4.3,,"7Q6Q+PH4 Tripti Dhaba, Maihar, Katiya Kalan, Madhya Pradesh 485771",782128,24.261770199999997,80.788966,ChIJac7ZtriKgzkRaB7vw6Ipr1A,https://www.google.com/maps/place/?q=place_id:ChIJac7ZtriKgzkRaB7vw6Ipr1A,part_359,2026-09-20 20:56:28
Krishna Traders,Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Construction Material Wholesaler, Filtration plant, Gravel pit, Sand plant, Sandblasting service",782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 99779 90825,https://www.indiamart.com/krishna-traders-bhopal,3.5,,"Plot Number. 25 A, JK Rd, Sector D, Govindpura Industrial Area, Bhopal, Madhya Pradesh 462023","Sector D, Govindpura Industrial Area",23.2657126,77.4557257,ChIJBZ_TVORpfDkRIBLFrH-3YdQ,https://www.google.com/maps/place/?q=place_id:ChIJBZ_TVORpfDkRIBLFrH-3YdQ,part_359,2026-09-20 20:56:28
JK Cement - Ali Building Material,Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Building materials supplier, Concrete contractor, Construction Material Wholesaler, Paving materials supplier, Ready mix concrete supplier, Cement Supplier",782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 94112 17205,https://dottt.me/jk-cement-ali-building-material-agra?utm_source=GMB&utm_medium=Dottt&utm_campaign=GMB_Dottt_SearchClicks_Listings_3june24,,,"Khairpur Khairati, Sahaswan, Uttar Pradesh 243638",Khairpur Khairati,28.0711604,78.74220009999999,ChIJ6-tcVSgpdTkRin8pvL-qQFo,https://www.google.com/maps/place/?q=place_id:ChIJ6-tcVSgpdTkRin8pvL-qQFo,part_359,2026-09-20 20:56:28
Nice Traders,Cement and Sand Supplier,Cement Supplier,Cement Supplier,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 78699 17918,N/A,4.2,,"Near, mukthidham maihar road, Nazirabad, Satna, Madhya Pradesh 485001",Nazirabad,24.5392625,80.8308021,ChIJRYrhE2t_hDkRHpNewAuzZxQ,https://www.google.com/maps/place/?q=place_id:ChIJRYrhE2t_hDkRHpNewAuzZxQ,part_359,2026-09-20 20:56:28
Singh traders and pundhir cement agency,Cement and Sand Supplier,Cement Supplier,Cement Supplier,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",N/A,N/A,4.7,,"SH 33, Sikandra Rao Dehat, Sikandra Rao, Uttar Pradesh 204215",782128,27.69473,78.37733589999999,ChIJOTZ8i2ftdDkR1CENfssB1EM,https://www.google.com/maps/place/?q=place_id:ChIJOTZ8i2ftdDkR1CENfssB1EM,part_359,2026-09-20 20:56:28
JK Cement - RURAL RETAIL INDIA PRIVATE LIMITED,Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Building materials supplier, Concrete contractor, Construction Material Wholesaler, Paving materials supplier, Ready mix concrete supplier, Cement Supplier",782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 99975 18663,https://dottt.me/jk-cement-rural-retail-india-private-limited?utm_source=GMB&utm_medium=Dottt&utm_campaign=GMB_Dottt_SearchClicks_Listings_3june24,5.0,,"ANTA GHAR, RURAL RETAIL INDIA PRIVATE LIMITED, Civil Lines, Bijnor, Uttar Pradesh 246701",Civil Lines,29.3846462,78.1314998,ChIJ4ShSsQDvCzkR7u8QEnTLMZk,https://www.google.com/maps/place/?q=place_id:ChIJ4ShSsQDvCzkR7u8QEnTLMZk,part_359,2026-09-20 20:56:28
