business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dreamland Computer Education,Computer Training Institute,Institute of technology,Institute of technology,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",N/A,N/A,5.0,,"Kadamoni Pathar, Assam 782124",782128,26.449218799999997,92.6606676,ChIJ1dhfIgfZRDcRDmjEZAD54A8,https://www.google.com/maps/place/?q=place_id:ChIJ1dhfIgfZRDcRDmjEZAD54A8,part_359,2026-09-20 20:56:35
Smart Point Computer Coaching Centre,Computer Training Institute,Education center,Education center,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 70997 73401,N/A,,,"Tinsukia, Assam 782124",782128,26.4151973,92.67614789999999,ChIJdyjo-vPZRDcR_hPG-24lSZI,https://www.google.com/maps/place/?q=place_id:ChIJdyjo-vPZRDcR_hPG-24lSZI,part_359,2026-09-20 20:56:35
Lolit's Computer Education,Computer Training Institute,Coaching Center,Coaching Center,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 98643 59545,http://www.lolitcomputercentre.com/,5.0,,"Rupahi Thana Rd, Rupahi, Rupahi Town, Assam 782125",782128,26.415169199999998,92.7418603,ChIJly2I2UffRDcRHQUNkhpjxQw,https://www.google.com/maps/place/?q=place_id:ChIJly2I2UffRDcRHQUNkhpjxQw,part_359,2026-09-20 20:56:35
Institute of Computer Education & Training Centre (ICETC),Computer Training Institute,Educational institution,"Educational institution, Computer Hardware Company, Computer networking service, Computer repair service, Institute of technology, Private Tutor, Tutoring service",782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 75769 40142,https://sctedu.in/,4.9,,"Tarun Ram, 2nd Floor, TR Phukan Rd, above PD Wine Shop, Chowkidingee, Dibrugarh, Assam 786001",Chowkidingee,27.4698288,94.90872189999999,ChIJE8x6xAyYQDcRDSb6xkh7YYA,https://www.google.com/maps/place/?q=place_id:ChIJE8x6xAyYQDcRDSb6xkh7YYA,part_359,2026-09-20 20:56:35
Archana Institute of Information and Technology | AIIT | Computer Training Institute,Computer Training Institute,Software Training Institute,"Software Training Institute, Computer service, Computer software store, Educational institution, Graphic designer, Learning center",782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 63959 30745,https://sites.google.com/view/aiitnu/home,5.0,,"Kanharwala, Bhania Wala, Uttarakhand 248140",Kanharwala,30.1874875,78.1533865,ChIJJwA4CvwlCTkR8jRkaToy--o,https://www.google.com/maps/place/?q=place_id:ChIJJwA4CvwlCTkR8jRkaToy--o,part_359,2026-09-20 20:56:35
Assam Computer Centre,Computer Training Institute,Computer training school,"Computer training school, Educational institution, Software Training Institute",782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 80997 36677,https://assamcomputercentre.com/,4.9,,"2nd Floor, Phukan Market, Rangagora Rd, near Women's College, Tinsukia, Assam 786125",782128,27.491513599999998,95.3511959,ChIJR_OSfTJrPzcR0zcnqLLLB70,https://www.google.com/maps/place/?q=place_id:ChIJR_OSfTJrPzcR0zcnqLLLB70,part_359,2026-09-20 20:56:35
ROYAL SMART COMPUTER AND IT INSTITUTE,Computer Training Institute,Education center,Education center,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 96785 65908,N/A,1.0,,"Juria Road, Juria Road Thana Road, Theotangoni, Assam 782124",Theotangoni,26.439975699999998,92.65186539999999,ChIJDfrE-WPZRDcRThnZl2boSUs,https://www.google.com/maps/place/?q=place_id:ChIJDfrE-WPZRDcRThnZl2boSUs,part_359,2026-09-20 20:56:35
RDS Computer Training Institute,Computer Training Institute,Computer networking service,Computer networking service,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",N/A,N/A,5.0,,"CM3F+WVM, Pub-Chatian, Assam 782124",782128,26.404836799999998,92.6746703,ChIJr6g_ZZjYRDcRVYyv6PKZZLk,https://www.google.com/maps/place/?q=place_id:ChIJr6g_ZZjYRDcRVYyv6PKZZLk,part_359,2026-09-20 20:56:35
Faraji Computer Training Centre,Computer Training Institute,Training center,Training center,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",N/A,http://nyclmindia.in/,,,"Juria, Kalia Dinga, Assam 782128",782128,26.479540699999998,92.67903059999999,ChIJxaCnMljZRDcRRovhnp9ay-o,https://www.google.com/maps/place/?q=place_id:ChIJxaCnMljZRDcRRovhnp9ay-o,part_359,2026-09-20 20:56:35
Bytes Computer Training Institutes,Computer Training Institute,Education center,Education center,782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O",+91 96906 99326,N/A,5.0,77.0,"Srinagar, Uttarakhand 246174",782128,30.2231214,78.7872599,ChIJE8v8DwClCTkR_NbbKFwB_J4,https://www.google.com/maps/place/?q=place_id:ChIJE8v8DwClCTkR_NbbKFwB_J4,part_359,2026-09-20 20:56:36
