business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
New Akash Refrigeration,AC Fridge and Washing Machine Repair,Electronics repair shop,"Electronics repair shop, Air conditioning repair service, Microwave oven repair service, Refrigerator repair service, Repair service, Small appliance repair service, Television repair service, Television Channel, Washer & dryer repair service",782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O",+91 98601 43948,http://www.newakashrefrigeration.com/,5.0,42.0,"18, Roshan Housing Society, Vishalnagar, Nyay Nagar, Chhatrapati Sambhajinagar, Maharashtra 431009","Roshan Housing Society, Vishalnagar, Nyay Nagar",19.8695062,75.35428209999999,ChIJ6yclktmj2zsR2nhi5gWkH5Y,https://www.google.com/maps/place/?q=place_id:ChIJ6yclktmj2zsR2nhi5gWkH5Y,part_359,2026-09-20 21:05:28
Jijau Refrigeration,AC Fridge and Washing Machine Repair,HVAC contractor,HVAC contractor,782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O",N/A,N/A,5.0,23.0,"Gandhi complex, Mehkar Rd, Pentakli Colony, Mehkar, Maharashtra 443301",Pentakli Colony,20.1490047,76.5662784,ChIJbSZIMb2Z0DsRLY_1s-jlo-s,https://www.google.com/maps/place/?q=place_id:ChIJbSZIMb2Z0DsRLY_1s-jlo-s,part_359,2026-09-20 21:05:28
Jadhav refrigeration,AC Fridge and Washing Machine Repair,Appliance repair service,Appliance repair service,782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O",+91 98342 38186,N/A,4.9,13.0,"Mahesh battery House, Pushpanjali hotel, Savaji le aaout dp rod , nearby Prajapati Kendra Khamgaon 444304, near BSNL quarter, Sutala Kh., Maharashtra 444303",Sutala Kd,20.7223072,76.5557445,ChIJ8-vAc9dR1zsRjmtP3yR0pP8,https://www.google.com/maps/place/?q=place_id:ChIJ8-vAc9dR1zsRjmtP3yR0pP8,part_359,2026-09-20 21:05:28
"Shambhu Cool engineering, Nandura",AC Fridge and Washing Machine Repair,Refrigerator repair service,"Refrigerator repair service, Air compressor repair service, Air conditioning repair service, Air conditioning system supplier, Electronics repair shop, Microwave oven repair service, Washer & dryer repair service, Washer & dryer store",782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O",+91 94202 17421,http://shambhucoolengg.com/,5.0,2.0,"RFQ6+33H Old Cotton Market, Near Railway station, Cotton Market, Nandura, Maharashtra 443404",Shivaji Nagar,20.8376751,76.4602298,ChIJrTwmbe5f1zsRshwxzrKBdAQ,https://www.google.com/maps/place/?q=place_id:ChIJrTwmbe5f1zsRshwxzrKBdAQ,part_359,2026-09-20 21:05:28
King Refrigeration Sales & Repairing,AC Fridge and Washing Machine Repair,Refrigerator store,"Refrigerator store, Air conditioning repair service, Air conditioning store, Refrigerator repair service, Washer & dryer repair service, Washer & dryer store, Cooler Supplier",782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O",+91 89835 35434,N/A,5.0,1.0,"Nayapura choti malegaon school k Hindustan mobile point k samne, Malegaon, Maharashtra 423203",782140,20.5439156,74.5588607,ChIJd58bQLGZ3jsR1PmCF8q1l6g,https://www.google.com/maps/place/?q=place_id:ChIJd58bQLGZ3jsR1PmCF8q1l6g,part_359,2026-09-20 21:05:28
Airtechnics,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Air conditioning contractor, HVAC contractor, Refrigerator repair service",782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O",+91 98500 70648,N/A,4.9,229.0,"Khivansara Park, Tilak Nagar, Basant Bahar, Ulkanagari, Chhatrapati Sambhajinagar, Maharashtra 431001","Tilak Nagar, Basant Bahar, Ulkanagari",19.8628249,75.3401859,ChIJgbDIuZGZ2zsRsJcarJkj1HU,https://www.google.com/maps/place/?q=place_id:ChIJgbDIuZGZ2zsRsJcarJkj1HU,part_359,2026-09-20 21:05:28
Sai Multi Services,AC Fridge and Washing Machine Repair,Refrigerator repair service,"Refrigerator repair service, Air conditioning repair service",782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O",+91 97305 97356,http://saimultiservice.in/,5.0,8.0,"64, Samarthanagar, Plot no- 77, Harsul - Pisadevi Rd, Mhasoba Nagar, Harsul, Chhatrapati Sambhajinagar, Maharashtra 431008","Mhasoba Nagar, Harsul",19.911899299999998,75.3578991,ChIJqUReBKq92zsRQuN349VK77s,https://www.google.com/maps/place/?q=place_id:ChIJqUReBKq92zsRQuN349VK77s,part_359,2026-09-20 21:05:28
Air Chill Ac,AC Fridge and Washing Machine Repair,Appliance repair service,Appliance repair service,782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O",+91 97007 33824,https://airchillrefrigeration.website2.me/,5.0,17.0,"Mushk Mahal, Hyderabad, Telangana 500048",Mushk Mahal,17.3644554,78.429216,ChIJT20HMU2WyzsRs2PG_AtEIE0,https://www.google.com/maps/place/?q=place_id:ChIJT20HMU2WyzsRs2PG_AtEIE0,part_359,2026-09-20 21:05:30
Maharashtra AC and Refrigeration.shevgaon.,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Appliances customer service, Chimney services, Microwave oven repair service, Refrigerator repair service, Washer & dryer repair service",782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O",+91 72765 59390,N/A,5.0,3.0,"behind Markaz Masjid, Juna Bazar, tal, Shevgaon, Maharashtra 414502","Juna Bazar, tal",19.3539834,75.22370099999999,ChIJNYvjJsBp2zsRwTzimh9-Hv0,https://www.google.com/maps/place/?q=place_id:ChIJNYvjJsBp2zsRwTzimh9-Hv0,part_359,2026-09-20 21:05:30
Super refrigeration,AC Fridge and Washing Machine Repair,Washer & dryer repair service,Washer & dryer repair service,782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O",+91 77739 73292,N/A,,,"Datta abha shoping complex, Main Rd, Bhadgaon, Maharashtra 424105",782140,20.6670278,75.2286503,ChIJbebB-11F2TsRjmH5yLhhBXQ,https://www.google.com/maps/place/?q=place_id:ChIJbebB-11F2TsRjmH5yLhhBXQ,part_359,2026-09-20 21:05:30
