business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Arogya Health Care Clinic,Clinics,Hospital,Hospital,782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O",N/A,N/A,,,"Kathiatali, Nambar Lalung Gaon, Assam 782427",782426,26.1841024,92.7362691,ChIJuZ0xKgA9RTcRKivsd0DW72Q,https://www.google.com/maps/place/?q=place_id:ChIJuZ0xKgA9RTcRKivsd0DW72Q,part_359,2026-09-20 21:13:04
Nanda Homoeopathic Clinic,Clinics,Medical clinic,Medical clinic,782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O",N/A,N/A,,,"3JXQ+2HJ, Rangalu Basti, Assam 782426",782426,26.097589,92.6388896,ChIJl87QiJc5RTcRHEUmplvNfiY,https://www.google.com/maps/place/?q=place_id:ChIJl87QiJc5RTcRHEUmplvNfiY,part_359,2026-09-20 21:13:04
Fracture clinic,Clinics,Doctor,Doctor,782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O",N/A,N/A,,,"3JXQ+2HF, Rangalu Basti, Assam 782426",782426,26.097563299999997,92.63893499999999,ChIJf7Er--s5RTcRwjxN_l3V_c0,https://www.google.com/maps/place/?q=place_id:ChIJf7Er--s5RTcRwjxN_l3V_c0,part_359,2026-09-20 21:13:04
Faruk Abdulla,Clinics,Medical clinic,Medical clinic,782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O",+91 60015 10322,N/A,,,"Shop No 703, To, Jukuta Road, Simuloguri, Assam 782426",782426,26.1044824,92.59925129999999,ChIJYXpKJVw3RTcR92T0PKX5wUE,https://www.google.com/maps/place/?q=place_id:ChIJYXpKJVw3RTcR92T0PKX5wUE,part_359,2026-09-20 21:13:04
Kampur FRU,Clinics,Hospital,Hospital,782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O",N/A,N/A,3.9,,"5M83+VFP, Kampur Town, Dakhinpat, Assam 782426",782426,26.1672236,92.6537068,ChIJH9I38_s6RTcRIXwZtY6i_NM,https://www.google.com/maps/place/?q=place_id:ChIJH9I38_s6RTcRIXwZtY6i_NM,part_359,2026-09-20 21:13:04
Amin Enterprises,Clinics,Medical clinic,Medical clinic,782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O",+91 86380 66023,N/A,5.0,,"Kachua, Kampur Rd, Raja Ali, Juripar, Assam 782426",782426,26.0753521,92.6295241,ChIJMfmIDt05RTcRtIkF8muLI60,https://www.google.com/maps/place/?q=place_id:ChIJMfmIDt05RTcRtIkF8muLI60,part_359,2026-09-20 21:13:04
Kampur Clinic Laboratory,Clinics,Medical laboratory,Medical laboratory,782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O",N/A,N/A,,,"Uttar Chang Chaki, Nagaon, SH-17, Kathiatoli Road, Nagaon, Nagaon, Assam 782426",782426,26.1595856,92.6591916,ChIJIRYiGwA7RTcREK1DEY-zg3U,https://www.google.com/maps/place/?q=place_id:ChIJIRYiGwA7RTcREK1DEY-zg3U,part_359,2026-09-20 21:13:04
Rahmania Medical Hall,Clinics,Medical clinic,Medical clinic,782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O",+91 70027 58290,N/A,5.0,,"Kampur, Road, Pathori Panikhaiti, Nagaon, Assam 782101",Pathori Panikhaiti,26.2912568,92.72234259999999,ChIJL6bY0OAjRTcR2j8u2-dJhhs,https://www.google.com/maps/place/?q=place_id:ChIJL6bY0OAjRTcR2j8u2-dJhhs,part_359,2026-09-20 21:13:04
Simlai zihan health clinic,Clinics,Medical clinic,Medical clinic,782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O",N/A,N/A,,,"3P89+XW8, Kampur Circle, Assam 782428",782426,26.0674206,92.7198331,ChIJhxYmVAA_RTcR8bBqGsNI2R0,https://www.google.com/maps/place/?q=place_id:ChIJhxYmVAA_RTcR8bBqGsNI2R0,part_359,2026-09-20 21:13:04
L Medical,Clinics,Medical clinic,Medical clinic,782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O",+91 70052 59040,N/A,,,"0703 Borkok, Jukuta ToRajagon Road, Amtreng, Assam 782450",782426,26.090317199999998,92.5839932,ChIJdeEIx843RTcRJYPV7Y3jC_c,https://www.google.com/maps/place/?q=place_id:ChIJdeEIx843RTcRJYPV7Y3jC_c,part_359,2026-09-20 21:13:04
