business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Blessed Pharmacy (24*7),24 Hour Pharmacy,Pharmacy,Pharmacy,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,1.0,1.0,"Neli building, Kohima road, opposite Cedar Hotel, Police Colony, Dimapur, Nagaland 797112","Bank Colony, Police Colony",25.9068786,93.7329872,ChIJb5E6DBbhRTcR90Ebhu1x2CU,https://www.google.com/maps/place/?q=place_id:ChIJb5E6DBbhRTcR90Ebhu1x2CU,part_360,2026-09-20 20:18:05,1376
HIND MEDICAL STORES,24 Hour Pharmacy,Pharmacy,Pharmacy,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 69131 31031,N/A,4.9,,"NB Rd, below S.B.I. EVENING BRANCH, Mahabhairab, Tezpur, Assam 784001",Mahabhairab,26.626310399999998,92.79822419999999,ChIJ5UBAIrbpRDcRPsHXWluEaqU,https://www.google.com/maps/place/?q=place_id:ChIJ5UBAIrbpRDcRPsHXWluEaqU,part_360,2026-09-20 20:18:06,1377
New Sneha Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 60038 88968,N/A,4.9,,"A.T. ROAD, Jyoti Nagar, CHARIALI, Panigaon, Nagaon, Assam 782003","Jyoti Nagar, CHARIALI, Panigaon",26.354121499999998,92.6978235,ChIJNWgYO9cnRTcR6zZpsO0UmKo,https://www.google.com/maps/place/?q=place_id:ChIJNWgYO9cnRTcR6zZpsO0UmKo,part_360,2026-09-20 20:18:06,1378
Friends medical lumding assam,24 Hour Pharmacy,Pharmacy,Pharmacy,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"Q53F+244, Lumding, Assam 782447",782470,25.7525199,93.1728313,ChIJAWuGwsaDRTcRkvGWhYSgZfc,https://www.google.com/maps/place/?q=place_id:ChIJAWuGwsaDRTcRkvGWhYSgZfc,part_360,2026-09-20 20:18:06,1379
Sri Sri Sankardev Medicos,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 98594 64868,N/A,4.9,,"Beltola Bazaar Road, Near Hotel Tokyo Tower, opposite SANI MANDIR, Guwahati, Assam 781028","Jaya Nagar, Beltola Tiniali",26.123169899999997,91.8033478,ChIJiTDYE8BfWjcR2vXyMH9Zy9Q,https://www.google.com/maps/place/?q=place_id:ChIJiTDYE8BfWjcR2vXyMH9Zy9Q,part_360,2026-09-20 20:18:06,1380
Deepali Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 69008 63953,N/A,4.1,,"Q666+228, Assam Trunk Rd, Chowk Bazar, New Colony, Jorhat, Dulia Gaon, Assam 785001","Chowk Bazar, New Colony",26.7600408,94.21007569999999,ChIJBxlQHOvCRjcRT3zchcZzFn8,https://www.google.com/maps/place/?q=place_id:ChIJBxlQHOvCRjcRT3zchcZzFn8,part_360,2026-09-20 20:18:06,1381
Suruj Medical Stores,24 Hour Pharmacy,Pharmacy,Pharmacy,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 84039 72040,N/A,4.9,,"Q8XG+58G, Chariali, (Chowkhat), Lahdoigarh, Assam 785700",782470,26.7979485,94.3258426,ChIJTf68Y5feRjcRIAKDIb6JLZg,https://www.google.com/maps/place/?q=place_id:ChIJTf68Y5feRjcRIAKDIb6JLZg,part_360,2026-09-20 20:18:06,1382
CENTRAL DRUG AGENCY,24 Hour Pharmacy,Pharmacy,Pharmacy,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 91011 10259,N/A,4.3,,"NATIONAL HIGHWAY, NILAMBAZAR, NILAMBAZAR MAIN ROAD, NH 8, Nilambazar, Assam 788722",Jatrapur,24.7459635,92.35022889999999,ChIJ664N5wLRUTcRXzIOC6x0ALg,https://www.google.com/maps/place/?q=place_id:ChIJ664N5wLRUTcRXzIOC6x0ALg,part_360,2026-09-20 20:18:06,1383
North East Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94359 93250,N/A,4.3,,"Assam Trunk Rd, near UCO Bank, Babupatty, Jorhat, Assam 785001",Babupatty,26.760205499999998,94.211215,ChIJCXzu7-rCRjcRHy2eHLz_fr4,https://www.google.com/maps/place/?q=place_id:ChIJCXzu7-rCRjcRHy2eHLz_fr4,part_360,2026-09-20 20:18:06,1384
Friends Medical Stores,24 Hour Pharmacy,Pharmacy,Pharmacy,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 98642 40199,N/A,4.3,,"A.T. Road, near Bata Showroom, Kenyapatty, Nagaon, Assam 782001",Kenyapatty,26.3531715,92.6878807,ChIJqTgu_SUnRTcRb02t5DdngbI,https://www.google.com/maps/place/?q=place_id:ChIJqTgu_SUnRTcRb02t5DdngbI,part_360,2026-09-20 20:18:06,1385
