business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Santi Ladies Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 86385 14950,N/A,5.0,3.0,"New Himalaya hotel, Near, MG Rd, Diphu, Assam 782460",782470,25.8436058,93.4397,ChIJcY39J9ftRTcRU8Bn_NO3Fkg,https://www.google.com/maps/place/?q=place_id:ChIJcY39J9ftRTcRU8Bn_NO3Fkg,part_360,2026-09-20 20:18:19,3182
Blossom Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 81349 47412,N/A,5.0,2.0,"Ward no1, Diphu main market, MG Rd, opp. sericulture office, near to vivo showroom, Diphu, Assam 782460",782470,25.842400899999998,93.4395555,ChIJH6RLaj7tRTcRHP2mvyWeuOc,https://www.google.com/maps/place/?q=place_id:ChIJH6RLaj7tRTcRHP2mvyWeuOc,part_360,2026-09-20 20:18:19,3183
Exotic Beauty Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 91017 75016,N/A,,,"Pirbi Market, Diphu, Assam 782460",782470,25.850773399999998,93.42430999999999,ChIJ9XjjaJPtRTcRLymYNOVfAvc,https://www.google.com/maps/place/?q=place_id:ChIJ9XjjaJPtRTcRLymYNOVfAvc,part_360,2026-09-20 20:18:19,3184
Soni's Salon diphu,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist, Spa, Hairdresser",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,3.9,8.0,"MG Rd, near Himalaya Hotel, Diphu, Assam 782460",782470,25.8435478,93.4397592,ChIJPUHUbnLtRTcRc-ne_FQE59o,https://www.google.com/maps/place/?q=place_id:ChIJPUHUbnLtRTcRc-ne_FQE59o,part_360,2026-09-20 20:18:19,3185
GLAMAZON,Beauty Parlour,Beauty Parlour,Beauty Parlour,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.0,25.0,"RCQH+QHQ, Thana Road, P.H.E. Colony, Diphu, Assam 782460",P.H.E. Colony,25.8394639,93.42897359999999,ChIJOwZwbzftRTcRe4f1bh9w8fk,https://www.google.com/maps/place/?q=place_id:ChIJOwZwbzftRTcRe4f1bh9w8fk,part_360,2026-09-20 20:18:19,3186
Tsübe Unisex Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,3.0,"Sub-Jail Rd, Kacharigaon, Dimapur, Nagaland 797113",Kacharigaon,25.899245099999998,93.69969359999999,ChIJFTL2HQDjRTcRf9EnnH9AIgY,https://www.google.com/maps/place/?q=place_id:ChIJFTL2HQDjRTcRf9EnnH9AIgY,part_360,2026-09-20 20:18:19,3187
Athenian Hair Salon & Makeup Hair Academy Tezpur,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Beauty school, Hair removal service, Hair replacement service, Make-up artist, Nail salon, Skin care clinic, Training center, Hairdresser",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70866 68212,https://atheniansalon.com/,4.8,1907.0,"basement of kalash hotel, near Gajraj Auditorium, Mission Chariali, Ketekibari, Tezpur, Assam 784154","Mission Chariali, Ketekibari",26.6542884,92.7743778,ChIJSzrPWAvCRDcR361tJCN2fpo,https://www.google.com/maps/place/?q=place_id:ChIJSzrPWAvCRDcR361tJCN2fpo,part_360,2026-09-20 20:18:20,3188
Dilip Beauty Parlour,Beauty Parlour,Health and beauty shop,Health and beauty shop,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 99581 91934,N/A,,,"Shop No 16, Assam 782480",782480,26.062093299999997,93.8033438,ChIJh6Kl7S51RjcRInBneHLTZzM,https://www.google.com/maps/place/?q=place_id:ChIJh6Kl7S51RjcRInBneHLTZzM,part_360,2026-09-20 20:19:04,7211
Glamour's Hair & Beauty Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 86387 90169,N/A,,,"2QG9+PRH, Sukhanjan, Assam 782480",782480,26.026821899999998,93.76960799999999,ChIJS3mJUwB1RjcR_bJ71srReyA,https://www.google.com/maps/place/?q=place_id:ChIJS3mJUwB1RjcR_bJ71srReyA,part_360,2026-09-20 20:19:04,7212
Jyoti beauty parlour & Training institute,Beauty Parlour,Beauty Parlour,Beauty Parlour,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 91015 64269,N/A,5.0,,"House no 53, Ward no 5, Bokajan, Assam 782480",782480,26.022198399999997,93.77727879999999,ChIJc_-nent1RjcRc-lX7ZsXNTQ,https://www.google.com/maps/place/?q=place_id:ChIJc_-nent1RjcRc-lX7ZsXNTQ,part_360,2026-09-20 20:19:04,7213
