business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Prativa Cycle House,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 69005 72498,N/A,4.4,,"SH 36, Diphu, Assam 782460",782470,25.8453663,93.4382543,ChIJtaV-FD3tRTcRzxmDA-D5iY4,https://www.google.com/maps/place/?q=place_id:ChIJtaV-FD3tRTcRzxmDA-D5iY4,part_360,2026-09-20 20:18:12,2399
Pedal Paradise,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle wholesaler",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.3,,"MP Rd, Police Colony, Dimapur, Nagaland 797112",Police Colony,25.9081872,93.72644559999999,ChIJe86YTfLhRTcRb6VBaNla3I4,https://www.google.com/maps/place/?q=place_id:ChIJe86YTfLhRTcRb6VBaNla3I4,part_360,2026-09-20 20:18:12,2400
NI Enterprise,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 87308 78999,http://www.polygonbikes.com/,2.7,,"Duncan Rd, near VJ's coaching centre, tinali, Fellowship Colony, Dimapur, Nagaland 797112","tinali, Fellowship Colony",25.9105471,93.7092866,ChIJk3IUSUzhRTcRuChkjgdjjgA,https://www.google.com/maps/place/?q=place_id:ChIJk3IUSUzhRTcRuChkjgdjjgA,part_360,2026-09-20 20:18:12,2401
Royal Cycles,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94360 14794,N/A,5.0,,"MP Rd, Police Colony, Dimapur, Nagaland 797112",Police Colony,25.9089478,93.726402,ChIJi9XRRPLhRTcRfQ9QNg3gVjc,https://www.google.com/maps/place/?q=place_id:ChIJi9XRRPLhRTcRfQ9QNg3gVjc,part_360,2026-09-20 20:18:12,2402
Bike accessories Gupta bike accessories & parts shop,Bicycle Shop and Repair,Motorcycle parts store,Motorcycle parts store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"near narkul turning, Chungaizaeng Colony, Burma Camp, Dimapur, Nagaland 797112","Chungaizaeng Colony, Burma Camp",25.9137038,93.7376721,ChIJy_vpssLhRTcRduwvf35v2L4,https://www.google.com/maps/place/?q=place_id:ChIJy_vpssLhRTcRduwvf35v2L4,part_360,2026-09-20 20:18:12,2403
Avon Cycles,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94360 12098,N/A,4.3,,"Nyamo Lotha Rd, Police Colony, Dimapur, Nagaland 797112",Police Colony,25.908968599999998,93.72636539999999,ChIJQXAzW_LhRTcRsIbWfEjnh40,https://www.google.com/maps/place/?q=place_id:ChIJQXAzW_LhRTcRsIbWfEjnh40,part_360,2026-09-20 20:18:12,2404
Hero Cycles Authorised Dealer - New Popular Cycle Shop,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop, Bicycle wholesaler, Electric bicycle store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 80 4599 9515,https://store.herocycles.com/hero-cycles-authorised-dealer-new-popular-cycle-shop-bicycle-shop-railway-station-road-karbi-anglong-530886/Home?utm_source=locator&utm_medium=googleplaces,4.7,,"Ward No 3, Popular Cycle Shop, New, Kalibari Rd, Bokajan, Assam 782480",782470,26.020170399999998,93.77969449999999,ChIJl-0FHcB1RjcRC6vB4SDlZ7Q,https://www.google.com/maps/place/?q=place_id:ChIJl-0FHcB1RjcRC6vB4SDlZ7Q,part_360,2026-09-20 20:18:12,2405
Biker Gearz,Bicycle Shop and Repair,Auto Accessories Store,Auto Accessories Store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 97745 29292,https://www.facebook.com/bikergearzdimapur,4.7,,"Middle Point, Tajen Ao Rd, Forest Colony, Dimapur, Nagaland 797112",Forest Colony,25.913138999999997,93.71741899999999,ChIJx36akZHhRTcRMtKo_Y45AFc,https://www.google.com/maps/place/?q=place_id:ChIJx36akZHhRTcRMtKo_Y45AFc,part_360,2026-09-20 20:18:12,2406
Popular Cycle Shop,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 89747 72969,N/A,5.0,,"MP Rd, Police Colony, Dimapur, Nagaland 797112",Police Colony,25.9088912,93.7264443,ChIJC8ceYOLhRTcR3VIlfGer9Sg,https://www.google.com/maps/place/?q=place_id:ChIJC8ceYOLhRTcR3VIlfGer9Sg,part_360,2026-09-20 20:18:12,2407
Spokehub Cycling,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle rental service, Bicycle repair shop",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,http://www.spokehub.in/,4.8,322.0,"Ground Floor, VIP Rd, near All Assam Tennis Association, Borbari, Guwahati, Assam 781036",Borbari,26.148791199999998,91.81187109999999,ChIJb0WsEZJYWjcRoNkpfJYZ1E0,https://www.google.com/maps/place/?q=place_id:ChIJb0WsEZJYWjcRoNkpfJYZ1E0,part_360,2026-09-20 20:18:14,2408
