business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
KamXing official,Businesses,Apartment building,Apartment building,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"VF4G+PC7, Diphu, Assam 782470",782470,25.856795899999998,93.4760378,ChIJ2_wTfQDtRTcR8teYoDZmhmM,https://www.google.com/maps/place/?q=place_id:ChIJ2_wTfQDtRTcR8teYoDZmhmM,part_360,2026-09-20 20:18:41,5698
Basapi house,Businesses,Housing complex,Housing complex,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"WHHQ+M53, Diphu, Assam 782470",782470,25.929131899999998,93.587935,ChIJyz26BgDnRTcRtrQ_1Mef4Cc,https://www.google.com/maps/place/?q=place_id:ChIJyz26BgDnRTcRtrQ_1Mef4Cc,part_360,2026-09-20 20:18:41,5699
Kundan Enterprise,Businesses,Manufacturer,Manufacturer,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 93803 08756,N/A,,,"XH2F+RX, N. Moljal, Assam 782490",782470,25.952116,93.57494899999999,ChIJZa2aTx7pRTcRQQFCfQOA_xA,https://www.google.com/maps/place/?q=place_id:ChIJZa2aTx7pRTcRQQFCfQOA_xA,part_360,2026-09-20 20:18:41,5700
Thesili Langso(Mensing Rongpi village),Businesses,Housing complex,Housing complex,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"RGHV+QJ4, Diphu, Assam 782470",782470,25.829334799999998,93.5440232,ChIJ7ZcuTQDvRTcR6Uz7cu7TACU,https://www.google.com/maps/place/?q=place_id:ChIJ7ZcuTQDvRTcR6Uz7cu7TACU,part_360,2026-09-20 20:18:41,5701
MENSING RONGPI VILLAGE DALDALI msrc@,Businesses,Housing society,Housing society,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"RGHV+QJ4, Diphu, Assam 782470",782470,25.8293867,93.5440886,ChIJ4xPHZQDvRTcREMpqheLgBCU,https://www.google.com/maps/place/?q=place_id:ChIJ4xPHZQDvRTcREMpqheLgBCU,part_360,2026-09-20 20:18:41,5702
Daram pather village,Businesses,Housing society,Housing society,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.5,,"RGC5+9MJ, Monsing Timung, Assam 782470",782470,25.8209582,93.509126,ChIJR5AKzHfvRTcR-AM9POEAM0w,https://www.google.com/maps/place/?q=place_id:ChIJR5AKzHfvRTcR-AM9POEAM0w,part_360,2026-09-20 20:18:41,5703
Sarasong House,Businesses,Housing complex,Housing complex,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.7,,"VC3G+FPV, Diphu, Assam 782490",782470,25.9508759,93.59348349999999,ChIJaU6TNHLnRTcR6SeZ8BIJPU4,https://www.google.com/maps/place/?q=place_id:ChIJaU6TNHLnRTcR6SeZ8BIJPU4,part_360,2026-09-20 20:18:41,5704
"Tranquil valley, Birla, Diphu.",Businesses,Farm,Farm,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.4,,"near Birla Saraswati Mandir, Diphu, Assam 782460",782470,25.880338899999998,93.4457722,ChIJF8lnWwDtRTcRNathJ9o2HGo,https://www.google.com/maps/place/?q=place_id:ChIJF8lnWwDtRTcRNathJ9o2HGo,part_360,2026-09-20 20:18:42,5705
Ms DHIRAJ & COMPANY,Businesses,General store,"General store, Home goods store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70026 18115,N/A,5.0,,"MG Rd, Diphu, Assam 782460",782470,25.8432536,93.440041,ChIJ-_JyJhbtRTcR7-TNyO0HEsI,https://www.google.com/maps/place/?q=place_id:ChIJ-_JyJhbtRTcR7-TNyO0HEsI,part_360,2026-09-20 20:18:42,5706
Hills Brothers (machinery),Businesses,Wholesaler,Wholesaler,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70022 62547,N/A,5.0,,"Rongkhelan, Diphu, Assam 782460",782470,25.8590672,93.4419197,ChIJSb2ERmLtRTcRx9cWu43tKos,https://www.google.com/maps/place/?q=place_id:ChIJSb2ERmLtRTcRx9cWu43tKos,part_360,2026-09-20 20:18:42,5707
JN DIGITAL PRINT,Businesses,Print shop,Print shop,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 60016 22282,N/A,5.0,,"Shop No 21, Afrilia Matipung, Tiniali Rd, Diphu, Assam 782460",782470,25.8463781,93.44445259999999,ChIJ_UElMwDtRTcRczPsiEKReZc,https://www.google.com/maps/place/?q=place_id:ChIJ_UElMwDtRTcRczPsiEKReZc,part_360,2026-09-20 20:18:42,5708
M/S Paul Enterprises,Businesses,Electronics store,"Electronics store, Store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 87239 24760,N/A,4.7,,"MG Rd, near apax bank Paul Enterprises, Diphu, Assam 782460",782470,25.8423704,93.439529,ChIJjWaBLxbtRTcRZPg06Mi6WPY,https://www.google.com/maps/place/?q=place_id:ChIJjWaBLxbtRTcRZPg06Mi6WPY,part_360,2026-09-20 20:18:42,5709
Jayed Technology,Businesses,Education center,Education center,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,https://jayedtechnology.blogspot.com/?m=1,5.0,,"Road, P.H.E. Colony, Diphu, Assam 782460",P.H.E. Colony,25.8434214,93.439876,ChIJI-26cKjtRTcRQD7ymY0P_Po,https://www.google.com/maps/place/?q=place_id:ChIJI-26cKjtRTcRQD7ymY0P_Po,part_360,2026-09-20 20:18:42,5710
P. M. Communication,Businesses,Computer store,Computer store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 86385 18817,N/A,5.0,2.0,"Dillai 10mile Tiniali Dillai, Dillai Laxmi Hotel, Assam 782470",782470,25.936716099999998,93.6174023,ChIJbdPtYrbnRTcRdB-AwpBXdzU,https://www.google.com/maps/place/?q=place_id:ChIJbdPtYrbnRTcRdB-AwpBXdzU,part_360,2026-09-20 20:18:42,5711
Eastman Dealer,Businesses,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 674 664 6802,https://eastman-dealers.eaplworld.com/near-me/dimapur/NST-Colony/eastman-dealer-d-m-p-solar-in-NST-Colony-dimapur--5NkLEw/home,,,"Solar, Ralan, D M P, Eros Line, nearby Rice Hotel, N.S.T. Colony, Dimapur, Nagaland 797112",N.S.T. Colony,25.909851,93.7264969,ChIJA3ZNzdvhRTcRRnG6a1b5inc,https://www.google.com/maps/place/?q=place_id:ChIJA3ZNzdvhRTcRRnG6a1b5inc,part_360,2026-09-20 20:18:43,5712
Hills Rubber Enterprise,Businesses,Rubber products supplier,Rubber products supplier,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 96125 80622,N/A,5.0,,"Hills rubber enterprise, Tajen Ao Rd, opposite SBI bank, notun basti, Notun Bosti, Dimapur, Nagaland 797112","notun basti, Notun Bosti",25.9147917,93.7145747,ChIJh4g_2GHhRTcRtTGtf1Xuy8Q,https://www.google.com/maps/place/?q=place_id:ChIJh4g_2GHhRTcRtTGtf1Xuy8Q,part_360,2026-09-20 20:18:43,5713
N ROY,Businesses,Housing complex,Housing complex,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",N/A,N/A,5.0,,"3Q6G+JJQ, Sariajan, Assam 782480",782480,26.061590799999998,93.776614,ChIJyz0zq7V1RjcRzEfh2-dqenU,https://www.google.com/maps/place/?q=place_id:ChIJyz0zq7V1RjcRzEfh2-dqenU,part_360,2026-09-20 20:19:26,8780
Sarihajan Post Office,Businesses,Post office,Post office,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 69003 49180,N/A,3.0,,"SHOP NO 11, Chari ALI, near by CHARCH SARIOJAN, Sariajan, Assam 782480",782480,26.0772937,93.7804877,ChIJOR-5eIR1RjcRvDYem1FC1-k,https://www.google.com/maps/place/?q=place_id:ChIJOR-5eIR1RjcRvDYem1FC1-k,part_360,2026-09-20 20:19:26,8781
Subendu Printing Shop,Businesses,Print shop,Print shop,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 78791 73299,N/A,,,"Shop No 17, Assam 782480",782480,26.0616204,93.8044692,ChIJ60zV-dB1RjcRX-axVxuapjk,https://www.google.com/maps/place/?q=place_id:ChIJ60zV-dB1RjcRX-axVxuapjk,part_360,2026-09-20 20:19:26,8782
Utpal borah welder,Businesses,Apartment building,Apartment building,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",N/A,N/A,5.0,,"3Q9P+4CF, Po sarihajan ps bokajan vill amarajan, Assam 782480",782480,26.0678014,93.7860544,ChIJFV4w8H91RjcRnyGC9eEAz8w,https://www.google.com/maps/place/?q=place_id:ChIJFV4w8H91RjcRnyGC9eEAz8w,part_360,2026-09-20 20:19:26,8783
Surin Home,Businesses,Housing complex,Housing complex,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",N/A,N/A,5.0,,"3Q9M+M83, Sarihajan - Dhansiri River Rd, Sariajan, Assam 782480",782480,26.0679414,93.783052,ChIJ7zxHIQB1RjcRzT7foAjA5pE,https://www.google.com/maps/place/?q=place_id:ChIJ7zxHIQB1RjcRzT7foAjA5pE,part_360,2026-09-20 20:19:26,8784
Dhoromkiri Rongpi,Businesses,Housing complex,Housing complex,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",N/A,N/A,3.7,,"3QGP+MR5, Sariajan, Assam 782480",782480,26.076019499999997,93.7871859,ChIJsZtkCMZ1RjcRAzorQYzwJ4A,https://www.google.com/maps/place/?q=place_id:ChIJsZtkCMZ1RjcRAzorQYzwJ4A,part_360,2026-09-20 20:19:26,8785
Moheswar karmakar,Businesses,Housing complex,Housing complex,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",N/A,N/A,,,"3QQW+QCJ, Morakordoiguri Adivashi gaon, Kordoiguri, Assam 782480",782480,26.089463799999997,93.7960188,ChIJl_Tc0yl3RjcRU85u0RIu6Tw,https://www.google.com/maps/place/?q=place_id:ChIJl_Tc0yl3RjcRU85u0RIu6Tw,part_360,2026-09-20 20:19:26,8786
Ritik Print Shop,Businesses,Print shop,Print shop,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 96169 16206,N/A,,,"Shop No 27, Assam 782480",782480,26.0634649,93.80370359999999,ChIJT1JqNZd1RjcRdXX0FM_r8Iw,https://www.google.com/maps/place/?q=place_id:ChIJT1JqNZd1RjcRdXX0FM_r8Iw,part_360,2026-09-20 20:19:26,8787
Bikash Baruah Home,Businesses,Housing complex,Housing complex,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",N/A,N/A,1.0,,"3Q4G+G8G, Diphu, Assam 782480",782480,26.056302,93.7758435,ChIJqSwqXwB1RjcRm8FvVDChdlI,https://www.google.com/maps/place/?q=place_id:ChIJqSwqXwB1RjcRm8FvVDChdlI,part_360,2026-09-20 20:19:26,8788
MRIDUL Electric Repairing Shop,Businesses,Electronics repair shop,Electronics repair shop,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 85210 53708,N/A,,,"Shop No 03, Road, Assam 782480",782480,26.0624865,93.8048479,ChIJwcQbccJ1RjcRoVD4s3XyBWA,https://www.google.com/maps/place/?q=place_id:ChIJwcQbccJ1RjcRoVD4s3XyBWA,part_360,2026-09-20 20:19:26,8789
Custom hiring centre,Businesses,Housing society,Housing society,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",N/A,N/A,,,"3Q9F+CWC, Sarihajan - Dhansiri River Rd, Sariajan, Assam 782480",782480,26.068566399999998,93.7747746,ChIJt37fibx1RjcRnknaBOXHTIU,https://www.google.com/maps/place/?q=place_id:ChIJt37fibx1RjcRnknaBOXHTIU,part_360,2026-09-20 20:19:26,8790
ANKUR MECH,Businesses,Housing society,Housing society,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",N/A,N/A,,,"4, Chungajan Rd, near Milan Pur, Chungajan Block, Namghor, Sarupathar, Assam 782480",Chungajan Block,26.0706523,93.8262215,ChIJ5RYDaQBzRjcRw1Y0U46zUZY,https://www.google.com/maps/place/?q=place_id:ChIJ5RYDaQBzRjcRw1Y0U46zUZY,part_360,2026-09-20 20:19:26,8791
Ecowall Enterprises,Businesses,Business to business service,Business to business service,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 94353 06022,N/A,5.0,,"CCI GATE, H.S.SCHOOL, opp. :, Bokajan, Sukhanjan, Assam 782480",782480,26.0185799,93.7645199,ChIJv1Gu40N1RjcRX65LCEwFnJY,https://www.google.com/maps/place/?q=place_id:ChIJv1Gu40N1RjcRX65LCEwFnJY,part_360,2026-09-20 20:19:27,8792
