business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Real estate,Commercial Real Estate Brokerages,Commercial real estate agency,"Commercial real estate agency, Service establishment",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.4,,"Real estate, 782470, India",782470,26.140568299999998,91.80304029999999,ChIJ5VYdCCpZWjcReCQFr9tXGMc,https://www.google.com/maps/place/?q=place_id:ChIJ5VYdCCpZWjcReCQFr9tXGMc,part_360,2026-09-20 20:18:34,4899
dcva real estate,Commercial Real Estate Brokerages,Real estate agent,"Real estate agent, Service establishment",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"dcva real estate, 782470, India",782470,26.1430486,91.70288289999999,ChIJMZPERpD-aA8RxMDGUtekJK4,https://www.google.com/maps/place/?q=place_id:ChIJMZPERpD-aA8RxMDGUtekJK4,part_360,2026-09-20 20:18:34,4900
Prime Estate Assam,Commercial Real Estate Brokerages,Real estate agency,Real estate agency,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 93657 09328,http://primeestateassam.com/,5.0,,"3rd floor House no 234,8th bye lane, Rajgarh Rd, Lachit Nagar, Guwahati, Assam 781003",Lachit Nagar,26.1759509,91.7728104,ChIJ9x1FoNRZWjcR-1Qx3zz6RGU,https://www.google.com/maps/place/?q=place_id:ChIJ9x1FoNRZWjcR-1Qx3zz6RGU,part_360,2026-09-20 20:18:34,4901
Das Real Estate,Commercial Real Estate Brokerages,Real estate agency,"Real estate agency, Service establishment",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"Das Real Estate, 782470, India",782470,26.9963828,85.46033969999999,ChIJtehKeniD7DkRHdX7Oy3fFG8,https://www.google.com/maps/place/?q=place_id:ChIJtehKeniD7DkRHdX7Oy3fFG8,part_360,2026-09-20 20:18:34,4902
Mahabir Properties - Real Estate Agent | Property Dealer | Warehouse Agent in Guwahati,Commercial Real Estate Brokerages,Real estate consultant,"Real estate consultant, Industrial real estate agency, Warehouse",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.8,,"Tara Hira Complex, 3C, opposite Kalicharan Nursing Home, Sankarpur, Kala Pahar, Guwahati, Assam 781016","Sankarpur, Kala Pahar",26.162562299999998,91.74577509999999,ChIJW0UN2mdbWjcRJUVSRtPeYxw,https://www.google.com/maps/place/?q=place_id:ChIJW0UN2mdbWjcRJUVSRtPeYxw,part_360,2026-09-20 20:18:34,4903
Siddvin RLT,Commercial Real Estate Brokerages,Commercial real estate agency,"Commercial real estate agency, Industrial real estate agency, Real estate agent, Warehouse",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 91177 06555,http://www.siddvinrlt.com/,4.4,,"Second Floor, Shankar Complex, 206, GS Rd, Ananda Nagar, Christian Basti, Guwahati, Assam 781005","Ananda Nagar, Christian Basti",26.1569397,91.7769539,ChIJi99ftxNZWjcRLR8ONE6ya5c,https://www.google.com/maps/place/?q=place_id:ChIJi99ftxNZWjcRLR8ONE6ya5c,part_360,2026-09-20 20:18:34,4904
RateperSQFT.com {Property Solutions Re-Defined},Commercial Real Estate Brokerages,Real estate consultant,Real estate consultant,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 88225 55555,https://www.ratepersqft.com/,4.8,,"2nd Floor, Aastha Tower, CK Rd, Near Hari Sabha, Pan Bazaar, Guwahati, Assam 781001","Near Hari Sabha, Pan Bazaar",26.1846472,91.7437236,ChIJSdpN8PdbWjcRrsSeaYvb6NM,https://www.google.com/maps/place/?q=place_id:ChIJSdpN8PdbWjcRrsSeaYvb6NM,part_360,2026-09-20 20:18:34,4905
"Visan Realtors - Office, Warehouse, Land Experts",Commercial Real Estate Brokerages,Commercial real estate agency,"Commercial real estate agency, Business broker, Service establishment, Industrial real estate agency, Office space rental agency, Property investment company, Real estate agent, Real estate consultant, Real estate rental agency, Retail space rental agency, Warehouse",782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 70340 04545,https://visanrealtor.in/,4.9,,"Visan Realtors - Office, Warehouse, Land Experts, 782480, India",782480,9.878602899999999,76.3687578,ChIJEyGm388PCDsR-Jg0I7dcprg,https://www.google.com/maps/place/?q=place_id:ChIJEyGm388PCDsR-Jg0I7dcprg,part_360,2026-09-20 20:19:19,8357
Scalable Solutions,Commercial Real Estate Brokerages,Commercial real estate agency,"Commercial real estate agency, Real estate consultant, Retail space rental agency",782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 93658 62721,http://www.scalablesolutions.co.in/,4.4,,"Harihar Enclave, GS Rd, Christian Basti, Guwahati, Assam 781005",Christian Basti,26.1560554,91.7787784,ChIJA4erYBFZWjcRvUTvKVIJuQs,https://www.google.com/maps/place/?q=place_id:ChIJA4erYBFZWjcRvUTvKVIJuQs,part_360,2026-09-20 20:19:19,8358
Northeast Dream Property Solutions,Commercial Real Estate Brokerages,Property management company,Property management company,782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 98643 24415,http://www.nedps.in/,4.8,,"house no 24, RG Baruah Rd, near Chandan Kalita Path, Manik Nagar, Guwahati, Assam 781005",Manik Nagar,26.1579819,91.7869109,ChIJdfxxnfJZWjcRdNbWwVBbVqs,https://www.google.com/maps/place/?q=place_id:ChIJdfxxnfJZWjcRdNbWwVBbVqs,part_360,2026-09-20 20:19:19,8359
