business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Langtibuk Adi Seva Kendra,Exhibitions,Community center,Community center,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"No.2, Langtibuk, Sarthe Teron, Assam 782470",Langtibuk,25.9365293,93.6275278,ChIJab7xeQDnRTcR6q2uLlgnEMI,https://www.google.com/maps/place/?q=place_id:ChIJab7xeQDnRTcR6q2uLlgnEMI,part_360,2026-09-20 20:18:37,5319
"Nothengpi, Karbi Heritage Museum",Exhibitions,Museum,Museum,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.5,,"VCG9+5HP, Unnamed Road, Assam 782460",782470,25.875473099999997,93.41895149999999,ChIJQ5v4ww-TRTcRr9_QMr0cc0k,https://www.google.com/maps/place/?q=place_id:ChIJQ5v4ww-TRTcRr9_QMr0cc0k,part_360,2026-09-20 20:18:37,5320
BEY HEMTUN AKULAT (A Multi-Purpose Enterprise),Exhibitions,Community center,Community center,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,3.8,,"RFV5+6R, Dharamnala, Diphu, Assam 782460",Dharamnala,25.8430873,93.45956199999999,ChIJO_Rohe7tRTcRL6pGI95k_Kw,https://www.google.com/maps/place/?q=place_id:ChIJO_Rohe7tRTcRL6pGI95k_Kw,part_360,2026-09-20 20:18:37,5321
Taralangso Museum,Exhibitions,Museum,Museum,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.6,,"VCGC+C9G, Assam 782460",782470,25.8760566,93.4209477,ChIJV95mlszsRTcRaSJHsQSi8yA,https://www.google.com/maps/place/?q=place_id:ChIJV95mlszsRTcRaSJHsQSi8yA,part_360,2026-09-20 20:18:37,5322
Dk Art & Design Institute,Exhibitions,Art school,Art school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 98648 94388,https://dkartanddesign.vercel.app/,5.0,,"Erudite Academy, t, Diphu, Diphu, Assam 782460","t, Diphu",25.8441534,93.4401144,ChIJS2bmsKrtRTcRJEzKcHfoWZY,https://www.google.com/maps/place/?q=place_id:ChIJS2bmsKrtRTcRJEzKcHfoWZY,part_360,2026-09-20 20:18:37,5323
Integrated Business Hub and Innovation Centre,Exhibitions,Government office,Government office,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.7,,"WP58+MJG, Forest Rd, Forest Colony, Dimapur, Nagaland 797117",Forest Colony,25.909497599999998,93.71599409999999,ChIJPRkpbwDhRTcRvaNkt49CqsY,https://www.google.com/maps/place/?q=place_id:ChIJPRkpbwDhRTcRvaNkt49CqsY,part_360,2026-09-20 20:18:37,5324
Diphu KASA Stadium,Exhibitions,Stadium,Stadium,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.5,,"RCWQ+JPC, Diphu, Assam 782460",782470,25.846562799999997,93.4392654,ChIJ____UD3tRTcRVGY68Pmvfbw,https://www.google.com/maps/place/?q=place_id:ChIJ____UD3tRTcRVGY68Pmvfbw,part_360,2026-09-20 20:18:37,5325
Karbi youth festival,Exhibitions,Fairground,Fairground,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.5,,"VCHC+JFC, Diphu, Assam 782460",782470,25.879059899999998,93.4211516,ChIJ3-r7MxDtRTcRQB5K07hPr48,https://www.google.com/maps/place/?q=place_id:ChIJ3-r7MxDtRTcRQB5K07hPr48,part_360,2026-09-20 20:18:37,5326
Kuda Wood Park,Exhibitions,Event venue,Event venue,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 98564 14085,N/A,4.3,,"Kuda Ml Rd, Lengrijan, Dimapur, Nagaland 797113",Lengrijan,25.906151899999998,93.68969229999999,ChIJVwd2qofhRTcR9tRw9ys00LY,https://www.google.com/maps/place/?q=place_id:ChIJVwd2qofhRTcR9tRw9ys00LY,part_360,2026-09-20 20:18:37,5327
Heirloom Naga Centre,Exhibitions,Art gallery,"Art gallery, Cultural center, Guest house, Restaurant",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 87875 72753,https://heirloomnagacentre.com/,4.7,103.0,"RPXJ+9R5, Dimapur, Nagaland 797112",782470,25.8484375,93.7320625,ChIJCXAV6EnjRTcRknor4jnF93M,https://www.google.com/maps/place/?q=place_id:ChIJCXAV6EnjRTcRknor4jnF93M,part_360,2026-09-20 20:18:38,5328
