business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Rajnandini Bibah Bhavan,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.0,211.0,"9M2R+Q9Q, MG Rd, Kenyapatty, Nagaon, Assam 782001",Kenyapatty,26.3519611,92.69098679999999,ChIJZ5pxJyknRTcRHvNVe8ipOSg,https://www.google.com/maps/place/?q=place_id:ChIJZ5pxJyknRTcRHvNVe8ipOSg,part_360,2026-09-20 20:18:22,3417
Priyadarshini Bibah Bhawan,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 93943 90075,N/A,3.7,194.0,"Dimoruguri, National Highway 37, Assam Trunk Rd, Nagaon, Assam 782003",782470,26.349571899999997,92.7140271,ChIJeYdaLt8gRTcRoiidmVDN6Yg,https://www.google.com/maps/place/?q=place_id:ChIJeYdaLt8gRTcRoiidmVDN6Yg,part_360,2026-09-20 20:18:22,3418
Alaknanda Banquet Garden,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 88765 83572,N/A,4.5,267.0,"GH Rd, Lichubari, Jorhat, Chekonidhara, Assam 785008",Lichubari,26.7280588,94.218807,ChIJT02QPtDpRjcReEqoz5iz-Zc,https://www.google.com/maps/place/?q=place_id:ChIJT02QPtDpRjcReEqoz5iz-Zc,part_360,2026-09-20 20:18:22,3419
Soneswari Palace,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Hotel",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 84530 20478,N/A,4.2,379.0,"Pragati Nagar, Satgaon, Guwahati, Birkuchi No.2, Assam 781171",Satgaon,26.1600076,91.8325356,ChIJ1f4us_H3WjcRyelhLTTkgBY,https://www.google.com/maps/place/?q=place_id:ChIJ1f4us_H3WjcRyelhLTTkgBY,part_360,2026-09-20 20:18:22,3420
Royal Palace Banquet Hall,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,57.0,"WW8J+GRJ, Piran Kaliyar, Uttarakhand 247667",782470,29.9163376,77.9320242,ChIJA1lrTABLCTkR-zJpdjJDk4w,https://www.google.com/maps/place/?q=place_id:ChIJA1lrTABLCTkR-zJpdjJDk4w,part_360,2026-09-20 20:18:22,3421
R V Kalyana Mantapa,Marriage Hall / Kalyana Mandapam,Wedding venue,"Wedding venue, Convention center",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94481 55936,N/A,4.1,596.0,"24P2+J99, Salagame Rd, Mavinahalli, Dasarakoppalu, Hassan, Karnataka 573202","Mavinahalli, Dasarakoppalu",13.0365446,76.100973,ChIJZx2Fb89JpTsRM_Ii2E7lps4,https://www.google.com/maps/place/?q=place_id:ChIJZx2Fb89JpTsRM_Ii2E7lps4,part_360,2026-09-20 20:18:23,3422
UTTAR BANGA MARWARI PALACE,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 98322 11221,N/A,4.2,1155.0,"1/2 Mile, Bus Stand, 2, Sevoke Rd, Ward 43, Siliguri, West Bengal 734001",Ward 43,26.7429332,88.43593039999999,ChIJg0h_hQRB5DkRwCo1cbKKBbc,https://www.google.com/maps/place/?q=place_id:ChIJg0h_hQRB5DkRwCo1cbKKBbc,part_360,2026-09-20 20:18:23,3423
"Shivajyothi Kalyana Mantapa,Hassan",Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 90368 62935,N/A,3.7,203.0,"6th main 7th cross, Adlimane Road, Hemavathi Nagar, Hassan, Karnataka 573202","Thamlapura, Hemavathi Nagar",13.016316199999999,76.09425399999999,ChIJ6RbjCC9IpTsRl7FTh5NbRZI,https://www.google.com/maps/place/?q=place_id:ChIJ6RbjCC9IpTsRl7FTh5NbRZI,part_360,2026-09-20 20:18:23,3424
Ashirbad Bibah Bhavan,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.1,132.0,"P4JX+8F8, Unnamed Road, Biswanath Charali, Assam 784176",782470,26.7307937,93.1487124,ChIJZ45NL5RfRDcRXxxu_uEbHtM,https://www.google.com/maps/place/?q=place_id:ChIJZ45NL5RfRDcRXxxu_uEbHtM,part_360,2026-09-20 20:18:23,3425
Nandan Kanan Utsav Bhawan,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,3.9,317.0,"Rong Borbari Karbi Path, Gobodhia Tiniali (Magzine), Borbari, Near Aclan, Club, Mahapurush Madhabdev Path, Guwahati, Assam 781036",Borbari,26.157686599999998,91.8175201,ChIJ2bRmgZFYWjcRZ9evuFiqhpA,https://www.google.com/maps/place/?q=place_id:ChIJ2bRmgZFYWjcRZ9evuFiqhpA,part_360,2026-09-20 20:18:23,3426
