business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Reliance SMART Bazaar,Multi-location Retail Chains,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Health food store, Indian grocery store",783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-bilasipara-hypermarket-bilasipara-dhubri-389116/Home?utm_source=locator&utm_medium=googleplaces,4.0,55.0,"Ward No 7, Lalani Complex, JP Rd, opposite Cosmo Mall, Revenue Circle, Bilasipara, Assam 783348",Revenue Circle,26.231006999999998,90.23897009999999,ChIJ8SfpEABnWDcRW8BXOw85H7U,https://www.google.com/maps/place/?q=place_id:ChIJ8SfpEABnWDcRW8BXOw85H7U,part_360,2026-09-20 20:24:07,22076
Polashkandi bazar,Multi-location Retail Chains,Market,Market,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",+91 78963 69311,https://m.facebook.com/story.php?story_fbid=122100293348162954&substory_index=888637322668578&id=61554888633559&mibextid=Nif5oz,4.3,8.0,"382M+GPH, Lakhipur Jaipur Kharmuja Goalpara Rd, Khonar Pubpar, Assam 783129",783101,26.0513123,90.334357,ChIJJZ2P53xAWDcRg8bqTVShg78,https://www.google.com/maps/place/?q=place_id:ChIJJZ2P53xAWDcRg8bqTVShg78,part_360,2026-09-20 20:24:07,22077
Mk Store,Multi-location Retail Chains,General store,General store,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",+91 97073 33938,N/A,3.7,3.0,"College Road, Dudhnoi, Assam 783124",783101,25.9841691,90.7829629,ChIJOwL5PunHWTcRoFdHdBLYNnY,https://www.google.com/maps/place/?q=place_id:ChIJOwL5PunHWTcRoFdHdBLYNnY,part_360,2026-09-20 20:24:07,22078
Reliance SMART Bazaar,Multi-location Retail Chains,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Convenience store, Dairy store, Gourmet grocery store, Health food store, Home goods store, Indian grocery store, Produce market",783122,Assam Circle,N/A,Goalpara Division,"Damra S.O, Nishangram B.O",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-hypermarket-lokhra-chariali-kamrup-280079/Home,3.8,463.0,"Sonjukta Square, Lokhra, Chariali, Guwahati, Assam 781040",Lokhra,26.112344,91.74713009999999,ChIJOZiBaxddWjcRTj31srpH1YM,https://www.google.com/maps/place/?q=place_id:ChIJOZiBaxddWjcRTj31srpH1YM,part_360,2026-09-20 20:25:39,24900
Reliance SMART Bazaar,Multi-location Retail Chains,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Convenience store, Dairy store, Gourmet grocery store, Health food store, Home goods store, Indian grocery store, Produce market",783122,Assam Circle,N/A,Goalpara Division,"Damra S.O, Nishangram B.O",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-hypermarket-bhangagarh-guwahati-283605/Home,4.1,21182.0,"No 118/1, City Square, GS Rd, Bhangagarh, Guwahati, Assam 781005",Bhangagarh,26.165930099999997,91.76848009999999,ChIJXVVVVeJYWjcRdX4aLQ3hG5U,https://www.google.com/maps/place/?q=place_id:ChIJXVVVVeJYWjcRdX4aLQ3hG5U,part_360,2026-09-20 20:25:39,24901
Reliance SMART Superstore,Multi-location Retail Chains,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Convenience store, Dairy store, Gourmet grocery store, Health food store, Home goods store, Indian grocery store, Produce market",783122,Assam Circle,N/A,Goalpara Division,"Damra S.O, Nishangram B.O",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-superstore-hypermarket-jayanagar-guwahati-280693/Home,4.0,7705.0,"Ground Floor, Tripura Rd, near Nerim College, Jaya Nagar, Beltola Tiniali, Guwahati, Assam 781028","Jaya Nagar, Beltola Tiniali",26.118387,91.80624499999999,ChIJ41cgYTFfWjcRH1D53pTQV8U,https://www.google.com/maps/place/?q=place_id:ChIJ41cgYTFfWjcRH1D53pTQV8U,part_360,2026-09-20 20:25:39,24902
Assam Bazar,Multi-location Retail Chains,Department store,Department store,783122,Assam Circle,N/A,Goalpara Division,"Damra S.O, Nishangram B.O",+91 93940 55425,N/A,4.8,24.0,"Mandir Path, opp. Iscon, Jayanagar Chariali, Jaya Nagar, Khanapara, Guwahati, Assam 781022","Jayanagar Chariali, Jaya Nagar, Khanapara",26.123873099999997,91.80614249999999,ChIJa5s0ipZfWjcRxR2I8kpkQN0,https://www.google.com/maps/place/?q=place_id:ChIJa5s0ipZfWjcRxR2I8kpkQN0,part_360,2026-09-20 20:25:39,24903
Sarma Oasis,Multi-location Retail Chains,Supermarket,Supermarket,783122,Assam Circle,N/A,Goalpara Division,"Damra S.O, Nishangram B.O",+91 70023 29537,N/A,4.8,8.0,"House No 36, Sarma Oasis, Kahilipara Main Rd, opposite Bank Of India, Odalbakra, Branch, Guwahati, Assam 781034","Odalbakra, Branch",26.139590499999997,91.7513695,ChIJ82czBGRbWjcRhL5sLSXFc7Q,https://www.google.com/maps/place/?q=place_id:ChIJ82czBGRbWjcRhL5sLSXFc7Q,part_360,2026-09-20 20:25:39,24904
Reliance SMART Bazaar,Multi-location Retail Chains,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Convenience store, Dairy store, Gourmet grocery store, Health food store, Home goods store, Indian grocery store, Produce market",783122,Assam Circle,N/A,Goalpara Division,"Damra S.O, Nishangram B.O",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-hypermarket-haibargaon-nagaon-310703/Home?utm_source=locator&utm_medium=googleplaces,3.2,99.0,"Kamakhya Trade Center, Near Morigaon Syndicate, MD Rd, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.350144,92.6795958,ChIJEdqIMAAnRTcRhqr4I_ldcaQ,https://www.google.com/maps/place/?q=place_id:ChIJEdqIMAAnRTcRhqr4I_ldcaQ,part_360,2026-09-20 20:25:39,24905
SALMARA BAZAR,Multi-location Retail Chains,Parking lot,Parking lot,783122,Assam Circle,N/A,Goalpara Division,"Damra S.O, Nishangram B.O",N/A,N/A,4.2,6.0,"3RRP+JW5, 3RRP, HRXMatia, Matia, Assam 783125",HRXMatia,26.091539899999997,90.8373907,ChIJjVJ7dAC_WTcRnOoJuMX79AE,https://www.google.com/maps/place/?q=place_id:ChIJjVJ7dAC_WTcRnOoJuMX79AE,part_360,2026-09-20 20:25:39,24906
Reliance Smart Bazaar Tezpur,Multi-location Retail Chains,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Convenience store, Dairy store, Gourmet grocery store, Health food store, Home goods store, Indian grocery store, Produce market",783125,Assam Circle,N/A,Goalpara Division,"Matia S.O, Bahati B.O, Bakaitari B.O",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-hypermarket-civil-hospital-road-sonitpur-280664/Home,4.0,,"Ground Floor, Civil Hospital Road, near Madhav Dham, Mahabhairab, Tezpur, Assam 784001",Mahabhairab,26.630853,92.79722249999999,ChIJL-ZkhFbpRDcRehC70Rh5ByM,https://www.google.com/maps/place/?q=place_id:ChIJL-ZkhFbpRDcRehC70Rh5ByM,part_360,2026-09-20 20:27:58,30242
Maa Manasha Store,Multi-location Retail Chains,Shopping mall,Shopping mall,783125,Assam Circle,N/A,Goalpara Division,"Matia S.O, Bahati B.O, Bakaitari B.O",+91 90645 12322,N/A,3.8,,"2MH9+C45, Krishnai Rd, Paikan Pt-II, Assam 783126",783125,26.0285174,90.66786069999999,ChIJF2I7VgXKWTcRaXLP2wW-gC8,https://www.google.com/maps/place/?q=place_id:ChIJF2I7VgXKWTcRaXLP2wW-gC8,part_360,2026-09-20 20:27:58,30243
Retail Way,Multi-location Retail Chains,Supermarket,Supermarket,783133,Assam Circle,N/A,Goalpara Division,Rajapara S.O,+91 99101 49915,https://retailway.in/,5.0,9.0,"Mez & 1st Floor, A83, Pocket D, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020","Pocket D, Okhla Phase II, Okhla Industrial Estate",28.5386293,77.26949259999999,ChIJg1AjEbrjDDkR646zdv-xQzU,https://www.google.com/maps/place/?q=place_id:ChIJg1AjEbrjDDkR646zdv-xQzU,part_360,2026-09-20 20:34:09,38926
"Sarkar Multi Planet, চৰকাৰ মাল্টি প্লানেট",Multi-location Retail Chains,Variety store,Variety store,783333,Assam Circle,N/A,Goalpara Division,"Dingdinga S.O, Failaguri B.O, Grahampur B.O",N/A,N/A,5.0,,"FW7P+QCF, Bhomrabil II, Assam 783361",783333,26.4645269,89.9357948,ChIJbxLffgB_4jkRmFFw5ZpUseA,https://www.google.com/maps/place/?q=place_id:ChIJbxLffgB_4jkRmFFw5ZpUseA,part_360,2026-09-20 20:41:47,46281
Subhash store,Multi-location Retail Chains,Store,Store,783360,Assam Circle,N/A,Goalpara Division,"Gossaigaon S.O, Anthaibari B.O, Ballimari B.O",N/A,N/A,5.0,3.0,"CXRJ+2FP, Gossaigaon, Assam 783360",783360,26.4400935,89.9812108,ChIJ7cbZKsB_4jkRYlVkuFFGVTk,https://www.google.com/maps/place/?q=place_id:ChIJ7cbZKsB_4jkRYlVkuFFGVTk,part_360,2026-09-20 20:51:20,54361
