business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"EuroKids Preschool in Amlapatty, Diphu",Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Montessori school, Nursery school, Playgroup",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 80 4253 5508,https://www.eurokidsindia.com/preschool-in-diphu/amlapatty/?utm_source=google&utm_medium=organic&utm_id=gmb_listing,5.0,23.0,"Mouza, Jamunapar, P.O & P.S, Amlapatty, near Dimasa Club, Diphu, Assam 782460",782470,25.849359399999997,93.4345328,ChIJvducJQbtRTcRXmeAT85AEEM,https://www.google.com/maps/place/?q=place_id:ChIJvducJQbtRTcRXmeAT85AEEM,part_360,2026-09-20 20:18:25,3870
FirstCry Intellitots Preschool & Daycare - Diphu,Play School and Daycare,Preschool,"Preschool, Kindergarten School, Learning center, Nursery school, Playgroup, Preparatory school, Primary school",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70021 41979,https://www.firstcry.com/intelli/intellitots/preschool-near-you/diphu/diphu/?utm_source=gmb_listing&utm_medium=organic&utm_campaign=gmb,4.6,5.0,"Rong Karbi, DMCH Road, near Police Reserve, Diphu, Assam 782460",782470,25.835217099999998,93.42765709999999,ChIJIy7ALJHtRTcR4pcgp1-7B5s,https://www.google.com/maps/place/?q=place_id:ChIJIy7ALJHtRTcR4pcgp1-7B5s,part_360,2026-09-20 20:18:25,3871
Euro International Preschool Dimapur,Play School and Daycare,Day care center,"Day care center, After school program, Preschool, Educational institution, Kindergarten School, Montessori school, Nursery school",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 81199 87079,https://www.instagram.com/eurointernational.preschool/,4.9,32.0,"Near Icici Bank, Midland, Dimapur, Nagaland 797112",Midland,25.907366699999997,93.71877889999999,ChIJVVVVxY7hRTcRbtyj0y3rfEU,https://www.google.com/maps/place/?q=place_id:ChIJVVVVxY7hRTcRbtyj0y3rfEU,part_360,2026-09-20 20:18:25,3872
Birla Open Minds Preschool - Churches Colony,Play School and Daycare,Preschool,Preschool,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 81189 15889,https://www.birlaopenminds.com/preschool/Nagaland/Churches%20Colony%20-%20Dimapur/about.php,4.9,8.0,"36, Goshito Lane, Churches Colony, Notun Bosti, Dimapur, Nagaland 797112","Churches Colony, Notun Bosti",25.9129075,93.71957789999999,ChIJD1RFk89MdUkR9-bwD3Pv4mI,https://www.google.com/maps/place/?q=place_id:ChIJD1RFk89MdUkR9-bwD3Pv4mI,part_360,2026-09-20 20:18:25,3873
Birla Open Minds Pre School,Play School and Daycare,Preschool,Preschool,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 76308 68696,N/A,5.0,30.0,"Signal, House No. 58, Oppsite Bharat Petroleum petrol pump Sematilla, Dhobinala, Road, Dimapur, Nagaland 797118","Xuvihe Colony, Signal Bosti",25.8988011,93.7223626,ChIJZYCwafPjRTcRM5umj8QMF6o,https://www.google.com/maps/place/?q=place_id:ChIJZYCwafPjRTcRM5umj8QMF6o,part_360,2026-09-20 20:18:25,3874
Kidzee Pre school,Play School and Daycare,Preschool,Preschool,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 99548 94830,http://www.kidzee.com/,4.5,15.0,"Rongkhelan, Diphu, Assam 782460",Rongkhelan,25.8593625,93.44306069999999,ChIJUZiq2-HsRTcR9x1yXufR54Y,https://www.google.com/maps/place/?q=place_id:ChIJUZiq2-HsRTcR9x1yXufR54Y,part_360,2026-09-20 20:18:25,3875
Joy Bells Play group and Preschool,Play School and Daycare,Preschool,Preschool,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.0,1.0,"H/No. 194, Signal Bazar, Lhomithi Village, Dimapur, Nagaland 797118",Signal Angami,25.8948628,93.718676,ChIJr0wgSCHiRTcRciM8tFAhsBA,https://www.google.com/maps/place/?q=place_id:ChIJr0wgSCHiRTcRciM8tFAhsBA,part_360,2026-09-20 20:18:25,3876
Joy Bells Preschool,Play School and Daycare,Preschool,Preschool,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.0,3.0,"H/No. 130, Village, Lhomithi Colony, Dimapur, Nagaland 797118","Lhomithi Colony, Naga Gaon Colony",25.893874999999998,93.7143368,ChIJmW-fhEDjRTcR2XodfodUuNk,https://www.google.com/maps/place/?q=place_id:ChIJmW-fhEDjRTcR2XodfodUuNk,part_360,2026-09-20 20:18:25,3877
SPRING BLOSSOMS ACADEMY,Play School and Daycare,Preschool,Preschool,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,http://www.springblossomsacademy.in/,4.8,19.0,"VP9F+PRJ, Unnamed Road, Nagaland 797112",Thilixu,25.869335,93.72451579999999,ChIJK9CGgSzjRTcRpwP2kHGX6ss,https://www.google.com/maps/place/?q=place_id:ChIJK9CGgSzjRTcRpwP2kHGX6ss,part_360,2026-09-20 20:18:25,3878
"FirstCry Intellitots Preschool & Daycare - Chumukedima, Dimapur",Play School and Daycare,Preschool,"Preschool, Kindergarten School, Learning center, Nursery school, Playgroup, Primary school",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 84139 52021,https://www.firstcry.com/intelli/intellitots/preschool-near-you/dimapur/chumukedima/?utm_source=google&utm_medium=cpc&utm_campaign=Promotion,5.0,1.0,"House no: 125, Block 3, 3rd mile, Thilixu, Thilixu village, Chumukedima, Dimapur, Nagaland 797115","Thilixu, Thilixu village, Chumukedima",25.880408799999998,93.7414742,ChIJi4iEzTTjRTcRaswfpqQXjQA,https://www.google.com/maps/place/?q=place_id:ChIJi4iEzTTjRTcRaswfpqQXjQA,part_360,2026-09-20 20:18:25,3879
