business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Navya's Creation,Trousseau Home Decor,Craft store,Craft store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70024 95688,N/A,4.9,110.0,"Madhavdev pur, Rehabari, Guwahati, Assam 781008",Rehabari,26.1692808,91.7488583,ChIJpwUWLe1bWjcR_GywpAMo3bY,https://www.google.com/maps/place/?q=place_id:ChIJpwUWLe1bWjcR_GywpAMo3bY,part_360,2026-09-20 20:18:24,3704
NIHAL TENT DECORETORS,Trousseau Home Decor,Home goods store,Home goods store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 60036 17706,N/A,5.0,1.0,"02, near Haji Complex, Silbori, Bazar, Assam 784114",Silbori,26.612169599999998,92.2902877,ChIJ3Tmhd_U7WzcRg4XWKDwaUYI,https://www.google.com/maps/place/?q=place_id:ChIJ3Tmhd_U7WzcRg4XWKDwaUYI,part_360,2026-09-20 20:18:24,3705
Home Decor Studio,Trousseau Home Decor,Furniture Manufacturer,"Furniture Manufacturer, Furniture maker, Furniture Rental Store, Furniture store, Furniture wholesaler, Garden Furniture Store, Office furniture store, Sofa store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70990 18755,https://homedecorstudioghy.com/,4.9,66.0,"Them Marwet, near Khanapara, outpost, Khanapara, Bagrora, Meghalaya 781022","outpost, Khanapara",26.1172169,91.8314716,ChIJPwQzcgBfWjcRUoKa-xXuKJA,https://www.google.com/maps/place/?q=place_id:ChIJPwQzcgBfWjcRUoKa-xXuKJA,part_360,2026-09-20 20:18:25,3706
The Inside Story,Trousseau Home Decor,Home improvement store,"Home improvement store, Home goods store",782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O",+91 98640 77963,N/A,4.9,,"RG Baruah Rd, above Mothercare Store, Zoo Road Tiniali, Ambikagirinagar, Guwahati, Assam 781024","Zoo Road Tiniali, Ambikagirinagar",26.173872799999998,91.7773283,ChIJV33bqbdZWjcRr4xU8P2xQIc,https://www.google.com/maps/place/?q=place_id:ChIJV33bqbdZWjcRr4xU8P2xQIc,part_360,2026-09-20 20:19:10,7666
Marit Decor,Trousseau Home Decor,Gift shop,Gift shop,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",N/A,https://www.maritdecor.com/,4.7,,"83a, Girija Devi Marg, Block A, Kamla Nagar, Delhi, 110007","Block A, Kamla Nagar",28.681913899999998,77.2001834,ChIJj5o51Yj9DDkRug2yJ7tbhZ4,https://www.google.com/maps/place/?q=place_id:ChIJj5o51Yj9DDkRug2yJ7tbhZ4,part_360,2026-09-20 20:19:56,10902
The Wedding Trousseau,Trousseau Home Decor,Wedding service,Wedding service,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 62611 60501,https://www.instagram.com/the_wedding_trousseau_/,5.0,,"PWR3+84P, Scheme 94, Indore, Madhya Pradesh 452016",Scheme 94,22.7408497,75.90283029999999,ChIJGwj7nxDjYjkRe7n2FWsfPnE,https://www.google.com/maps/place/?q=place_id:ChIJGwj7nxDjYjkRe7n2FWsfPnE,part_360,2026-09-20 20:19:56,10903
"Wrap Studio-Trousseau/ Wedding Packing, Corporate Gifts, Gift Wrapping, Diwali Hampers",Trousseau Home Decor,Gift shop,Gift shop,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 98198 96457,N/A,4.7,,"BY APPOINTMENT ONLY, 701, Kishni Kunj, Ahimsa Marg, Khar West, Mumbai, Maharashtra 400052",Khar West,19.074662999999997,72.8321333,ChIJG8c6LA_J5zsRECHE5Ltrq0c,https://www.google.com/maps/place/?q=place_id:ChIJG8c6LA_J5zsRECHE5Ltrq0c,part_360,2026-09-20 20:19:56,10904
Teeschi Trousseau Gift Packing,Trousseau Home Decor,Gift shop,"Gift shop, Gift wrap store, Wedding service",782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 99997 99000,N/A,3.9,,"G7W6+F4P, Block 13, Nehru Enclave East, Kalkaji, New Delhi, Delhi 110019","Block 13, Nehru Enclave East, Kalkaji",28.546203499999997,77.2603149,ChIJp1Rl2dzjDDkR6kwcXM8I-EU,https://www.google.com/maps/place/?q=place_id:ChIJp1Rl2dzjDDkR6kwcXM8I-EU,part_360,2026-09-20 20:19:56,10905
The Decor Arts,Trousseau Home Decor,Wedding planner,"Wedding planner, Gift basket store",782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 97116 62526,https://thedecorarts.in/,4.9,,"4, 19, Racquet Ct Rd, Civil Lines, Delhi, 110054",Civil Lines,28.68538,77.22067779999999,ChIJixraNbz9DDkR6cNgOcDJJpI,https://www.google.com/maps/place/?q=place_id:ChIJixraNbz9DDkR6cNgOcDJJpI,part_360,2026-09-20 20:19:56,10906
"WrapArts Online Gift Shop, Wedding Gifts, Return Gifts , Festival Gifts, Diwali Hampers, Corporate Gifts",Trousseau Home Decor,Gift shop,"Gift shop, Art supply store, Corporate gift supplier, Craft store, Gift basket store, Novelty store, Party store, Souvenir store, Stationery store, Wedding souvenir shop",782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 89046 02332,https://wraparts.in/,4.7,,"Khata No: 5,5C, Landmark Wraparts, 6,7,26,28, 29 & 30, 1st Main Rd, behind Esteem Mall, Chiranjeevi Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024","Chiranjeevi Layout, Hebbal Kempapura",13.0478183,77.5950089,ChIJA_fiM2YZrjsRm29NQjj9vp8,https://www.google.com/maps/place/?q=place_id:ChIJA_fiM2YZrjsRm29NQjj9vp8,part_360,2026-09-20 20:19:56,10907
Trousseau Packing Services,Trousseau Home Decor,Store,Store,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",N/A,N/A,5.0,,"No 10, West Punjabi Bagh, Punjabi Bagh, New Delhi, Delhi, 110026","West Punjabi Bagh, Punjabi Bagh",28.665726,77.1194496,ChIJGepEK5kDDTkRStC5Ny5k2HA,https://www.google.com/maps/place/?q=place_id:ChIJGepEK5kDDTkRStC5Ny5k2HA,part_360,2026-09-20 20:19:56,10908
Vihu trousseau packing,Trousseau Home Decor,Gift shop,Gift shop,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 63940 00188,N/A,5.0,,"Cloud 9, H-2403, Sector-1, Vaishali, Ghaziabad, Uttar Pradesh 201010","Sector-1, Vaishali",28.6374271,77.333862,ChIJVaHHUwn7DDkRTTNEBdPQDH8,https://www.google.com/maps/place/?q=place_id:ChIJVaHHUwn7DDkRTTNEBdPQDH8,part_360,2026-09-20 20:19:56,10909
Homecraft - Artefacts & Decoratives,Trousseau Home Decor,Home improvement store,"Home improvement store, Art dealer, Art gallery, Gift shop, Idol manufacturer, Interior Decorator, Interior designer, Mirror shop, Painting",782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 78108 48002,N/A,5.0,557.0,"Ward 14, 2, Bidhan Rd, Ward 14, Near Pani Tanki More (Clock Tower), Siliguri, West Bengal 734001","Ward 14, Near Pani Tanki More (Clock Tower)",26.7190551,88.4267332,ChIJmQc2q51B5DkRLMw3Stu9h1Q,https://www.google.com/maps/place/?q=place_id:ChIJmQc2q51B5DkRLMw3Stu9h1Q,part_360,2026-09-20 20:19:57,10910
Swayam Collections,Trousseau Home Decor,Gift shop,"Gift shop, Corporate gift supplier, Exporter, Gift basket store, Handicraft, Laser Cutting Service Provider, Promotional products supplier, Souvenir store, Wedding souvenir shop, Wholesaler",782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 99246 31234,https://www.swayamcollections.com/,4.9,135.0,"11/B, Sweet Home Society, Shreyas Tekra, Manekbag Society, Ambawadi, Ahmedabad, Gujarat 380015","Sweet Home Society, Shreyas Tekra, Manekbag Society, Ambawadi",23.012922,72.54243459999999,ChIJdUAfehSHXjkRaQIhV36nkMQ,https://www.google.com/maps/place/?q=place_id:ChIJdUAfehSHXjkRaQIhV36nkMQ,part_360,2026-09-20 20:19:57,10911
S.DECOR,Trousseau Home Decor,Interior designer,"Interior designer, Interior Decorator, Kitchen supply store, Upholstery cleaning service, Wallpaper store",782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",N/A,N/A,4.8,4.0,"Shiv Bari Rd, near Manipuri Mandir, Sribhumi, Assam 788711",782481,24.867107999999998,92.3655758,ChIJu-aYSQHTUTcRYprAeF69FiA,https://www.google.com/maps/place/?q=place_id:ChIJu-aYSQHTUTcRYprAeF69FiA,part_360,2026-09-20 20:19:57,10912
"Totto decoration,totto decoration,Tatwa decoration, Biswajit tatwa decoration,totto decoration,tatwa sajano",Trousseau Home Decor,Wedding store,Wedding store,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 87775 77068,N/A,5.0,10.0,"RS192, Santi nagar, Salt Lake Bypass, Sukant Nagar, Sector IV, Bidhannagar, Kolkata, West Bengal 700107","Sukant Nagar, Sector IV, Bidhannagar",22.5629512,88.4173644,ChIJkVjhuhR1AjoRMqNPEK531GQ,https://www.google.com/maps/place/?q=place_id:ChIJkVjhuhR1AjoRMqNPEK531GQ,part_360,2026-09-20 20:19:57,10913
Aalore,Trousseau Home Decor,Wedding store,Wedding store,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 60091 00640,http://www.aalore.in/,4.8,83.0,"Loknath Bhavan, Ashram Chowmuhani, Jail Ashram Rd, opposite of GS Fitness Gym, Dhaleswar, Agartala, Tripura 799007",Dhaleswar,23.8355042,91.3003981,ChIJaX8jRx_zUzcRfXsNn3sqgMU,https://www.google.com/maps/place/?q=place_id:ChIJaX8jRx_zUzcRfXsNn3sqgMU,part_360,2026-09-20 20:19:57,10914
Kreatives Denken,Trousseau Home Decor,Gift shop,"Gift shop, Chocolate shop, Craft store, Stationery store",782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 97493 79320,http://www.instagram.com/kreativesdenken,4.9,109.0,"1/4, near 223 Bus Stand, Arabinda Nagar, Kolkata, West Bengal 700040",Arabinda Nagar,22.4883333,88.3613524,ChIJIcFfKLdxAjoR1Bp2z4G4jkA,https://www.google.com/maps/place/?q=place_id:ChIJIcFfKLdxAjoR1Bp2z4G4jkA,part_360,2026-09-20 20:19:57,10915
"Home Design,Airport Mall",Trousseau Home Decor,Furniture store,Furniture store,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",N/A,N/A,4.6,13.0,"QV9X+MX6, Changangei, Uchekon Khunou, Manipur 795140",782481,24.7691615,93.89989469999999,ChIJf2EDQK8oSTcRmxBSA2xnsOc,https://www.google.com/maps/place/?q=place_id:ChIJf2EDQK8oSTcRmxBSA2xnsOc,part_360,2026-09-20 20:19:57,10916
Bilberry Furnishing,Trousseau Home Decor,Linens store,Linens store,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",N/A,N/A,4.9,887.0,"410 GF, Building Number 2, Near, Ch Brahm Prakash Flyover, near Metro Pillar Number 35, Shakurpur Village, Shakurpur, Delhi, 110034","Shakurpur Village, Shakurpur",28.681880099999997,77.1434668,ChIJ7Rpc4NoDDTkRKjQODbBWVKQ,https://www.google.com/maps/place/?q=place_id:ChIJ7Rpc4NoDDTkRKjQODbBWVKQ,part_360,2026-09-20 20:19:57,10917
