business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
EthnicZuri,Womens Ethnic Wear and Kurti,Women's clothing store,Women's clothing store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 81297 33313,http://ethniczuri.com/,4.8,,"Kaloor - Kadavanthara Rd, Kadavanthra, Kumaranasan Nagar, Elamkulam, Ernakulam, Keralam 682017","Kadavanthra, Kumaranasan Nagar, Elamkulam",9.9766143,76.2971965,ChIJs63fDXkNCDsRuJDy3ysbbaY,https://www.google.com/maps/place/?q=place_id:ChIJs63fDXkNCDsRuJDy3ysbbaY,part_360,2026-09-20 20:18:02,1168
CHANDA COLLECTION BY BABITA SARDA,Womens Ethnic Wear and Kurti,Boutique,Boutique,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 98641 29773,N/A,4.7,,"KRISHNAM BYE LANE, 3A, Tarun Nagar ABC, Guwahati, Assam 781005",Tarun Nagar,26.162182599999998,91.7743845,ChIJXwgltU5ZWjcRDi9i4aXf_io,https://www.google.com/maps/place/?q=place_id:ChIJXwgltU5ZWjcRDi9i4aXf_io,part_360,2026-09-20 20:18:02,1169
Momi's Wardrobe,Womens Ethnic Wear and Kurti,Boutique,Boutique,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 81350 91821,https://www.facebook.com/MOMIS.WARDROBE,4.3,,"Rajgarh Rd, near Bihutoli, opposite Maruti Suzuki Driving school, Bihutoli, Lachit Nagar, Guwahati, Assam 781007","Bihutoli, Lachit Nagar",26.1718986,91.7712069,ChIJH9QnDcv3WjcR6Am_IYFWnF0,https://www.google.com/maps/place/?q=place_id:ChIJH9QnDcv3WjcR6Am_IYFWnF0,part_360,2026-09-20 20:18:02,1170
Traditional NorthEast®,Womens Ethnic Wear and Kurti,Clothing store,"Clothing store, Clothing wholesaler, E-commerce service, Clothing Accessories Store, Handicraft, Handicrafts Wholesaler, Jewelry designer, Jewelry store, Traditional Kostume store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 83998 31996,https://traditionalnortheast.com/,5.0,,"1st Floor, Malina Apartment, Tripura Rd, near Reliance Smart Point, Jaya Nagar, Khanapara, Guwahati, Assam 781028","Jaya Nagar, Khanapara",26.1186071,91.8060443,ChIJdevlBhFZWjcRdcwzKFeksXc,https://www.google.com/maps/place/?q=place_id:ChIJdevlBhFZWjcRdcwzKFeksXc,part_360,2026-09-20 20:18:02,1171
"Fabindia, NST Colony, Dimapur",Womens Ethnic Wear and Kurti,Clothing store,Clothing store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 3862 248 788,https://www.fabindia.com/,5.0,,"City Tower, Chishi Marketing Complex, below Synergy System, N.S.T. Colony, Dimapur, Nagaland 797117",N.S.T. Colony,25.909677199999997,93.72090109999999,ChIJLR-N_gXhRTcREC_GxDraU00,https://www.google.com/maps/place/?q=place_id:ChIJLR-N_gXhRTcREC_GxDraU00,part_360,2026-09-20 20:18:02,1172
Exotic Collections,Womens Ethnic Wear and Kurti,Clothing store,Clothing store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 81348 58296,N/A,4.9,,"House no. 226, Exotic Collections, Bishnu Rabha Path, Beltola Tiniali, Guwahati, Assam 781028",Beltola Tiniali,26.1230676,91.7981597,ChIJB3cT4blfWjcR3MvjbHSkKVQ,https://www.google.com/maps/place/?q=place_id:ChIJB3cT4blfWjcR3MvjbHSkKVQ,part_360,2026-09-20 20:18:02,1173
Saj Siddhi The Designer Boutique,Womens Ethnic Wear and Kurti,Boutique,Boutique,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 88223 78129,N/A,4.9,,"30, Piyali Phukan Rd, Manipuri Rajbari, Rehabari, Guwahati, Assam 781007","Manipuri Rajbari, Rehabari",26.172895699999998,91.7543824,ChIJc16QWfxbWjcRhoRNKpjfuc4,https://www.google.com/maps/place/?q=place_id:ChIJc16QWfxbWjcRhoRNKpjfuc4,part_360,2026-09-20 20:18:02,1174
Shree Karni Stores,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Baby clothing store, Baby store, Curtain store, Game store, Luggage store, Men's clothing store, Toy store, Western apparel store, Clothing store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 86385 52175,N/A,3.9,,"Main Rd, near Mayapuri, Mayapuri, Bongaigaon, Bakhorapara Pt I [Part], Assam 783380",Mayapuri,26.4760857,90.55800099999999,ChIJTzSJFvr-WDcRQEL0eC1v3Zw,https://www.google.com/maps/place/?q=place_id:ChIJTzSJFvr-WDcRQEL0eC1v3Zw,part_360,2026-09-20 20:18:02,1175
ELI'S BOUTIQUE,Womens Ethnic Wear and Kurti,Tailor,"Tailor, Boutique, Fashion designer, Gents Tailor, Uniform store, Women's clothing store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 91272 63531,N/A,4.5,,"GS Rd, Charali, Ganeshguri, Guwahati, Assam 781005","Charali, Ganeshguri",26.150670899999998,91.7840626,ChIJO2mBuHtZWjcRNBcFYucfNd8,https://www.google.com/maps/place/?q=place_id:ChIJO2mBuHtZWjcRNBcFYucfNd8,part_360,2026-09-20 20:18:02,1176
Ethnic Lines,Womens Ethnic Wear and Kurti,Traditional Kostume store,Traditional Kostume store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94362 61526,N/A,4.0,,"SB-27, Naga Shopping Arcade, Super Market Ln, Half Nagarjan, Dimapur, Nagaland 797112",Half Nagarjan,25.906181099999998,93.7365796,ChIJye_ux_vhRTcRxFkulyWjxGM,https://www.google.com/maps/place/?q=place_id:ChIJye_ux_vhRTcRxFkulyWjxGM,part_360,2026-09-20 20:18:02,1177
TRENDS,Womens Ethnic Wear and Kurti,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Clothing Accessories Store, Formal Clothing Store, Western apparel store, Youth clothing store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 80115 91844,https://trends.shop/page/trends-bijay-crescent-guwahati,4.0,,"Ground Floor, GS Rd, near Hdfc Bank Bijay Crescent, Rukmini Gaon, Guwahati, Assam 781006",Rukmini Gaon,26.1373441,91.80152609999999,ChIJXT-dWNVZWjcR0mOKizlKLwo,https://www.google.com/maps/place/?q=place_id:ChIJXT-dWNVZWjcR0mOKizlKLwo,part_360,2026-09-20 20:18:02,1178
"Pantaloons (Spring City Mall, Ranchi)",Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Baby clothing store, Children's clothing store, Dress store, Formal Clothing Store, Men's clothing store, Western apparel store, Clothing store, Youth clothing store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 80 4713 8106,https://stores.pantaloons.com/pantaloons/stores-in-ranchi/stores-in-hinoo/pantaloons-in-hinoo-ranchi--52d4edef-d3c4-4d57-bf8d-f01340a19ca9/home,4.0,,"Upper-Ground Floor, Spring City Mall, 314/530/536/540/225, Hinoo Main Rd, Shukla Colony, Ranchi, Jharkhand 834002",Shukla Colony,23.333046799999998,85.3171874,ChIJ4wAT9yjh9DkRgztzuB3Ibpk,https://www.google.com/maps/place/?q=place_id:ChIJ4wAT9yjh9DkRgztzuB3Ibpk,part_360,2026-09-20 20:18:02,1179
"Pantaloons (Surya Treasure Island Mall, Bhilai)",Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Baby clothing store, Children's clothing store, Dress store, Formal Clothing Store, Men's clothing store, Western apparel store, Clothing store, Youth clothing store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 80 4713 8097,https://stores.pantaloons.com/pantaloons/stores-in-bhilai/stores-in-smriti-nagar/pantaloons-in-smriti-nagar-bhilai--403dd15c-cbbd-471f-86b9-89e597f65367/home,3.8,,"Ground floor, Surya Treasure Island Mall, No. 29, Surya Vihar Rd, Surya Vihar, Bhilai, Chhattisgarh 490020",782470,21.2195811,81.32315919999999,ChIJkybIjyojKToRxdQJuC0o0ag,https://www.google.com/maps/place/?q=place_id:ChIJkybIjyojKToRxdQJuC0o0ag,part_360,2026-09-20 20:18:02,1180
"Pantaloons (Shanti City Centre Mall, Jharsuguda)",Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Baby clothing store, Children's clothing store, Dress store, Formal Clothing Store, Men's clothing store, Western apparel store, Clothing store, Youth clothing store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 80 4713 8283,https://stores.pantaloons.com/pantaloons/stores-in-jharsuguda/stores-in-sarbahal/pantaloons-in-sarbahal-jharsuguda--f968bf43-317b-44ed-b008-0e75bbee5737/home,4.2,,"First Floor, Shanti City Mall, Sarbahal Rd, behind Smart Bazar, Sarbahal, Jharsuguda, Odisha 768201",Sarbahal,21.850478799999998,84.0128105,ChIJiWkBu5znIDoRJSCjUz5t5Ns,https://www.google.com/maps/place/?q=place_id:ChIJiWkBu5znIDoRJSCjUz5t5Ns,part_360,2026-09-20 20:18:02,1181
Pantaloons,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Baby clothing store, Children's clothing store, Dress store, Formal Clothing Store, Men's clothing store, Western apparel store, Clothing store, Youth clothing store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 80 4713 8330,https://stores.pantaloons.com/pantaloons/stores-in-rourkela/stores-in-civil-township/pantaloons-in-civil-township-rourkela--e7b52cee-dbac-40f4-923e-64efa3fb5311/home,4.6,,"GF & FF, Forum Galleria Mall, Civil Town Ship Rd, near Reliance SMART Superstore, Civil Township, Rourkela, Odisha 769004",Civil Township,22.224776,84.8199568,ChIJZS8gqd8ZIDoRWN398YGBQOY,https://www.google.com/maps/place/?q=place_id:ChIJZS8gqd8ZIDoRWN398YGBQOY,part_360,2026-09-20 20:18:02,1182
Trendz,Womens Ethnic Wear and Kurti,Clothing store,"Clothing store, Clothing Accessories Store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 97060 09774,N/A,5.0,,"House No. 3, Jayanagar Rd, Near GNRC Hospital, Jaya Nagar, Six Mile, Guwahati, Assam 781022","Jaya Nagar, Six Mile",26.130391499999998,91.8078675,ChIJk1nk_ctYWjcR1vtbk8jX248,https://www.google.com/maps/place/?q=place_id:ChIJk1nk_ctYWjcR1vtbk8jX248,part_360,2026-09-20 20:18:02,1183
IONA Creation,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Clothing manufacturer, Clothing wholesaler",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 88988 19614,https://iona-creation.grexa.site/,4.9,,"Room No 201, 2nd Floor, A R Complex, Sati Joymati Rd, opposite Steel House, Athgaon, Guwahati, Assam 781001",Athgaon,26.173808599999997,91.74009009999999,ChIJX5Lu71VbWjcRynrVMVuR49k,https://www.google.com/maps/place/?q=place_id:ChIJX5Lu71VbWjcRynrVMVuR49k,part_360,2026-09-20 20:18:03,1184
SANSKARR,Womens Ethnic Wear and Kurti,Men's clothing store,Men's clothing store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94350 45534,N/A,4.7,,"Shoppers Point Hem Baruah Road Fancy Bazaar, H.B.Road Guwahati-1, Assam 781001","Arrow Star AC Market, Fancy Bazaar",26.181474599999998,91.73981289999999,ChIJ1V0QJjFaWjcRhQ_kGTmU0pI,https://www.google.com/maps/place/?q=place_id:ChIJ1V0QJjFaWjcRhQ_kGTmU0pI,part_360,2026-09-20 20:18:03,1185
W for Woman - Christian Basti,Womens Ethnic Wear and Kurti,Women's clothing store,Women's clothing store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 88792 06357,https://stores.wforwoman.com/w-for-woman-christian-basti-central-mall-ladies-clothes-shop-christian-basti-guwahati-442098/Home?utm_source=locator&utm_medium=googleplaces,3.7,,"Shop No 308, Second Floor, Central Mall, GS Rd, near Reliance Trenz, Christian Basti, Guwahati, Assam 781005",Christian Basti,26.157144199999998,91.77790739999999,ChIJwdd40xNZWjcRw-BtOPaokqA,https://www.google.com/maps/place/?q=place_id:ChIJwdd40xNZWjcRw-BtOPaokqA,part_360,2026-09-20 20:18:03,1186
The Kurti House,Womens Ethnic Wear and Kurti,Clothing store,Clothing store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 79062 76126,https://www.instagram.com/thekurtihouse.in/profilecard/?igsh=MW0zcTY5MmwzaGhoZw==,4.9,,"shop no 1, Super market, Road, Amir Nishan, Aligarh, Uttar Pradesh 202001",Amir Nishan,27.903893999999998,78.08404999999999,ChIJUYVK8BuldDkRJNWFkVZqvmQ,https://www.google.com/maps/place/?q=place_id:ChIJUYVK8BuldDkRJNWFkVZqvmQ,part_360,2026-09-20 20:18:03,1187
"Fabindia, Krishna Nagar, Agartala",Womens Ethnic Wear and Kurti,Clothing store,"Clothing store, Organic food store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 82569 05316,https://www.fabindia.com/,4.2,,"Ground Floor, Colonel Chowmuhani, Tripura Darpan Building, Colonel Mahim Thakur Sarani, opposite Daily Mart, Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.8377266,91.2795635,ChIJC-laaWz1UzcRNKgTnePjAN4,https://www.google.com/maps/place/?q=place_id:ChIJC-laaWz1UzcRNKgTnePjAN4,part_360,2026-09-20 20:18:03,1188
The Indian Couture,Womens Ethnic Wear and Kurti,Designer Clothing Store,Designer Clothing Store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 75050 28748,https://theindiancouture.com/,4.9,,"4/708 B, Zohra Bagh Rd, Zohra Bagh, S.S Nagar, Aligarh, Uttar Pradesh 202001","Zohra Bagh, S.S Nagar",27.910552499999998,78.0901871,ChIJ03u5Q_eldDkRiDS_0cGwS0A,https://www.google.com/maps/place/?q=place_id:ChIJ03u5Q_eldDkRiDS_0cGwS0A,part_360,2026-09-20 20:18:03,1189
