business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Zena Bridal Salon,Bridal Wear and Wedding Collection,Bridal shop,"Bridal shop, Wedding store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70852 40353,https://www.facebook.com/ZENABRIDALSALON,3.8,25.0,"Walford Rd, near Apex. Metro, Bank Colony, Walford Colony, Dimapur, Nagaland 797112","Bank Colony, Walford Colony",25.9085377,93.7384967,ChIJver4WfvhRTcR6CqWmTrF42E,https://www.google.com/maps/place/?q=place_id:ChIJver4WfvhRTcR6CqWmTrF42E,part_360,2026-09-20 20:18:04
Wedding Gowns,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"V&A Complex, Walford Rd, opp. to Urban Haat, Chakhesang colony, Walford Colony, Dimapur, Nagaland 797112","Chakhesang colony, Walford Colony",25.9095655,93.7373344,ChIJ51xEUwDhRTcRpHXWWzXant0,https://www.google.com/maps/place/?q=place_id:ChIJ51xEUwDhRTcRpHXWWzXant0,part_360,2026-09-20 20:18:04
ODIREN,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 98636 56508,https://odiren.com/,5.0,3.0,"near Momobar, Kuda Village, Half Nagarjan, Dimapur, Nagaland 797112","Kuda Village, Half Nagarjan",25.8909696,93.73535129999999,ChIJLxHac5HjRTcRwEg-8QjZbFU,https://www.google.com/maps/place/?q=place_id:ChIJLxHac5HjRTcRwEg-8QjZbFU,part_360,2026-09-20 20:18:04
Bergamot,Bridal Wear and Wedding Collection,Bridal shop,"Bridal shop, Formal Clothing Store, Clothing store, Clothing Accessories Store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.9,10.0,"BERGAMOT, 1st Floor, House number 132, opposite hotel Saramati, above HDFC bank, Bank Colony, Dimapur, Nagaland 797112",Bank Colony,25.9064712,93.7383871,ChIJBcaaE1fhRTcRj626SqArlGM,https://www.google.com/maps/place/?q=place_id:ChIJBcaaE1fhRTcRj626SqArlGM,part_360,2026-09-20 20:18:04
Kats Collection Dimapur,Bridal Wear and Wedding Collection,Clothing store,Clothing store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 98633 36978,http://www.katscollection.in/,4.2,94.0,"Walford Junction, Dimapur, Nagaland 797112",Walford Junction,25.9064975,93.7407946,ChIJgS_zyv3hRTcR8K7J0e8fMS8,https://www.google.com/maps/place/?q=place_id:ChIJgS_zyv3hRTcR8K7J0e8fMS8,part_360,2026-09-20 20:18:04
Kats Collection Wedding Dresses,Bridal Wear and Wedding Collection,Corporate office,Corporate office,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 93669 43366,http://katscollection.in/,,,"near toyota showroom, walford junction. Dmp, Nagaland 797112",782470,25.7358504,93.642048,ChIJVVVVVZX7RTcRKCw6bIR8UEQ,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVZX7RTcRKCw6bIR8UEQ,part_360,2026-09-20 20:18:04
Manju Silk - Dispur,Bridal Wear and Wedding Collection,Bridal shop,"Bridal shop, Saree Shop, Silk store, Wedding store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94355 75615,http://www.instagram.com/manjusilk,4.9,942.0,"Tower, Ground Floor, L.D, Dr RP Rd, Mula Gabharu Path, Dispur, Kahilipara, Guwahati, Assam 781006","Mula Gabharu Path, Dispur, Kahilipara",26.143242299999997,91.78658999999999,ChIJ4QB8jiNZWjcRAhy_mDCcxT0,https://www.google.com/maps/place/?q=place_id:ChIJ4QB8jiNZWjcRAhy_mDCcxT0,part_360,2026-09-20 20:18:04
Ameu k Couture,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 87877 51182,N/A,5.0,2.0,"Walford Rd, behind Don Bosco Statue, Walford Colony, Dimapur, Nagaland 797112",Walford Colony,25.9063742,93.7411523,ChIJDU_6mYjhRTcRh8SU74oPV40,https://www.google.com/maps/place/?q=place_id:ChIJDU_6mYjhRTcRh8SU74oPV40,part_360,2026-09-20 20:18:04
Manju Silk Wholesale – Fancy Bazar,Bridal Wear and Wedding Collection,Bridal shop,"Bridal shop, Clothing store, Clothing wholesaler, Saree Shop, Silk store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 87539 86605,http://www.instagram.com/manjusilk,4.9,2085.0,"4th Floor, 5PJQ+7XQ Bhagirath Tower, SRCB Rd, Lakhtokia, Fancy Bazaar, Guwahati, Assam 781001","Lakhtokia, Fancy Bazaar",26.1820092,91.7381492,ChIJcdIZIjdaWjcRFaUbaf4yg6Q,https://www.google.com/maps/place/?q=place_id:ChIJcdIZIjdaWjcRFaUbaf4yg6Q,part_360,2026-09-20 20:18:04
Obsession boutique,Bridal Wear and Wedding Collection,Clothing store,Clothing store,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,3.8,23.0,"WP4R+P6F, Walford Rd, Walford Colony, Dimapur, Nagaland 797112",Walford Colony,25.906809199999998,93.74053649999999,ChIJOzrM_vsJRjcRmGNbQtSoueU,https://www.google.com/maps/place/?q=place_id:ChIJOzrM_vsJRjcRmGNbQtSoueU,part_360,2026-09-20 20:18:04
