business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hill Cabs Nagaland,Taxi Service and Car Rental,Car rental agency,Car rental agency,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 88372 44049,N/A,5.0,28.0,"Aokong, Dimapur, Nagaland 797112",Aokong,25.9039537,93.6844536,ChIJGWACOgDhRTcRNYX-kHjfx68,https://www.google.com/maps/place/?q=place_id:ChIJGWACOgDhRTcRNYX-kHjfx68,part_360,2026-09-20 20:18:13
Dimapur cab booking rental service,Taxi Service and Car Rental,Car leasing service,Car leasing service,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94027 19440,N/A,5.0,108.0,"Burma Camp, Dimapur, Nagaland 797112",Burma Camp,25.9129482,93.7330801,ChIJ85S8H9bhRTcRUFjDuvk1KKE,https://www.google.com/maps/place/?q=place_id:ChIJ85S8H9bhRTcRUFjDuvk1KKE,part_360,2026-09-20 20:18:13
Rent your Adventures,Taxi Service and Car Rental,Taxi service,Taxi service,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.9,50.0,"Duncan Basti, Dimapur, Nagaland 797113",Duncan Basti,25.915162199999997,93.7086068,ChIJqTQd6qXhRTcRF9vfPDzD8hE,https://www.google.com/maps/place/?q=place_id:ChIJqTQd6qXhRTcRF9vfPDzD8hE,part_360,2026-09-20 20:18:13
Car rental service,Taxi Service and Car Rental,Taxi service,Taxi service,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 93660 24756,N/A,3.9,7.0,"Golaghat Rd, Khermahal, Dimapur, Nagaland 797117",Khermahal,25.915078299999998,93.7288631,ChIJlarekk_hRTcRq9qFY09C4Wg,https://www.google.com/maps/place/?q=place_id:ChIJlarekk_hRTcRq9qFY09C4Wg,part_360,2026-09-20 20:18:13
Fast Cab Service | Taxi Service,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Car leasing service, Taxi service, Travel agency",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 63808 31609,N/A,4.9,92.0,"House No 121, Ura Villa Colony, Half Nagarjan, Dimapur, Nagaland 797112","Ura Villa Colony, Half Nagarjan",25.9012644,93.74444899999999,ChIJNyAtvjALRjcReSaXSJXc9hw,https://www.google.com/maps/place/?q=place_id:ChIJNyAtvjALRjcReSaXSJXc9hw,part_360,2026-09-20 20:18:13
MS Classy Cruises Travels,Taxi Service and Car Rental,Car leasing service,Car leasing service,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70859 18688,https://www.instagram.com/classycruises79?igsh=MWgwM2pmbTFobDYxNA==,4.9,33.0,"Burma, camp, Lane - 3, Veterinary Colony, Dimapur, Nagaland 797112",Veterinary Colony,25.9204609,93.7345572,ChIJVSZwrRDhRTcR4lCzi25qmYM,https://www.google.com/maps/place/?q=place_id:ChIJVSZwrRDhRTcR4lCzi25qmYM,part_360,2026-09-20 20:18:13
Fast cab booking dimapur,Taxi Service and Car Rental,Car leasing service,Car leasing service,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 93660 09498,N/A,5.0,23.0,"Burma Camp, Dimapur, Nagaland 797112",Burma Camp,25.9146666,93.74065619999999,ChIJBQIocVzhRTcRYgCKbnMmsIs,https://www.google.com/maps/place/?q=place_id:ChIJBQIocVzhRTcRYgCKbnMmsIs,part_360,2026-09-20 20:18:13
SAR CAR RENTAL DIMAPUR NAGALAND,Taxi Service and Car Rental,Car leasing service,"Car leasing service, Airport Shuttle Service Provider, Taxi service, Tour operator, Transportation service",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 98638 12773,N/A,4.7,105.0,"Power house colony, H.no.43.C, Burma Camp, Dimapur, Nagaland 797117","Bank Colony, Burma Camp",25.911604699999998,93.7323285,ChIJfzQwX-nhRTcRcR1S27bU3SQ,https://www.google.com/maps/place/?q=place_id:ChIJfzQwX-nhRTcRcR1S27bU3SQ,part_360,2026-09-20 20:18:13
BOOK MY CAB,Taxi Service and Car Rental,Car rental agency,Car rental agency,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 87318 13939,N/A,5.0,1.0,"West Yard Colony, Railway Colony, Dimapur, Nagaland 797112","West Yard Colony, Railway Colony",25.903507299999998,93.72527319999999,ChIJL52yhWThRTcR-19lrSQzVEg,https://www.google.com/maps/place/?q=place_id:ChIJL52yhWThRTcR-19lrSQzVEg,part_360,2026-09-20 20:18:13
NagaWheels Cab Service Dimapur Nagaland,Taxi Service and Car Rental,Car rental agency,Car rental agency,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,4.0,"House no.55, Burma camp, Power House Colony, Dimapur, Nagaland 797112",Power House Colony,25.912162499999997,93.7308023,ChIJ8UbiSsrhRTcRV7Slthyd5N0,https://www.google.com/maps/place/?q=place_id:ChIJ8UbiSsrhRTcRV7Slthyd5N0,part_360,2026-09-20 20:18:13
kabxi | Taxi & Self-drive Car Rental,Taxi Service and Car Rental,Car leasing service,"Car leasing service, Car rental agency, Taxi service, Tour operator, Tourist information center, Transportation service",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94038 90833,https://kabxi.com/,4.8,111.0,"Thapo Building, Kirha Village, Airport Rd, 3rd Mile, Dimapur, Nagaland 797115",3rd Mile,25.8764133,93.7664392,ChIJFzcpe9jhRTcRz_sPC5f5cWk,https://www.google.com/maps/place/?q=place_id:ChIJFzcpe9jhRTcRz_sPC5f5cWk,part_360,2026-09-20 20:18:14
Premium Car Service,Taxi Service and Car Rental,Taxi service,Taxi service,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 88372 10616,https://instagram.com/premium_car_service_2021?igshid=MzRlODBiNWFlZA==,5.0,238.0,"Kirha village, Dimapur, Nagaland 797115",Kirha village,25.8759795,93.76409609999999,ChIJQ0Mwd60JRjcRO120WJL4DjA,https://www.google.com/maps/place/?q=place_id:ChIJQ0Mwd60JRjcRO120WJL4DjA,part_360,2026-09-20 20:18:14
Assam Cabs,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Minibus taxi service, Travel agency",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 87209 27551,http://www.assamcabs.com/,4.4,230.0,"Kalimandir, Ananda Nagar, Jyotinagar, Bamunimaidan, Guwahati, Assam 781021","Ananda Nagar, Jyotinagar, Bamunimaidan",26.1853978,91.7915787,ChIJIcVaPrRZWjcRd0YyzaLkyfs,https://www.google.com/maps/place/?q=place_id:ChIJIcVaPrRZWjcRd0YyzaLkyfs,part_360,2026-09-20 20:18:14
Rocket Cab,Taxi Service and Car Rental,Car leasing service,"Car leasing service, Taxi service, Travel agency",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 69097 00160,https://www.rocket-cab.com/,4.8,541.0,"H.No.22A, Room, 9, Jiban Krishna Path, Hengrabari, Guwahati, Assam 781036",Hengrabari,26.148964199999998,91.7988743,ChIJxX7f1vFZWjcR0yGTExqrqyE,https://www.google.com/maps/place/?q=place_id:ChIJxX7f1vFZWjcR0yGTExqrqyE,part_360,2026-09-20 20:18:14
North East Cab Service,Taxi Service and Car Rental,Tour agency,Tour agency,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70029 56860,https://sites.google.com/view/north-east-cab-service/home,4.9,317.0,"New GHY RLY colony NR Power House Masjid Path Zoo Road, PS -Chandmari, Guwahati, Assam 781021",782470,26.1802782,91.7944476,ChIJN5MSUqNZWjcR2hWKUN4HNOg,https://www.google.com/maps/place/?q=place_id:ChIJN5MSUqNZWjcR2hWKUN4HNOg,part_360,2026-09-20 20:18:14
Kalimpong Go Cab,Taxi Service and Car Rental,Car leasing service,Car leasing service,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 93395 81674,https://kalimponggocab.com/,4.9,267.0,"Upper Cart Rd, Kalimpong Khasmahal, Kalimpong, West Bengal 734301",Kalimpong Khasmahal,27.0591294,88.4637011,ChIJw-IfM5cj5DkRKbY5b0NAfhI,https://www.google.com/maps/place/?q=place_id:ChIJw-IfM5cj5DkRKbY5b0NAfhI,part_360,2026-09-20 20:18:14
Cab Biz Car Rental Agency,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Car leasing service, Taxi service",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 86383 11310,https://cabbiz.in/,5.0,,"Baruah Chariali, Jorhat, Assam 785001","Kakoti Gaon, Tarajan",26.7586536,94.20502959999999,ChIJ7y4o5mHDRjcRGR-o8c9P7i0,https://www.google.com/maps/place/?q=place_id:ChIJ7y4o5mHDRjcRGR-o8c9P7i0,part_360,2026-09-20 20:18:15
Drive loop rental,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Taxi service, Taxi stand, Tour operator",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 87310 37335,https://drivelooprental.com/,4.9,,"Jail Road, Police Bazar, Shillong, Meghalaya 793001",Police Bazar,25.5808413,91.8856248,ChIJM5lzmk5_UDcRYcLhjwvofm0,https://www.google.com/maps/place/?q=place_id:ChIJM5lzmk5_UDcRYcLhjwvofm0,part_360,2026-09-20 20:18:15
Cab services,Taxi Service and Car Rental,Car rental agency,Car rental agency,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"Charigaon, Jorhat, Kenduguri, Assam 785001",Charigaon,26.7690193,94.2371938,ChIJ1cktqxvdRjcRCh5dhjWybmc,https://www.google.com/maps/place/?q=place_id:ChIJ1cktqxvdRjcRCh5dhjWybmc,part_360,2026-09-20 20:18:15
Cab services,Taxi Service and Car Rental,Car rental agency,Car rental agency,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,3.0,,"Charigaon, Kenduguri, Jorhat, Assam 785001",Charigaon,26.7729952,94.2490778,ChIJf18FH93dRjcR_vICO8LKJCw,https://www.google.com/maps/place/?q=place_id:ChIJf18FH93dRjcR_vICO8LKJCw,part_360,2026-09-20 20:18:15
