business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hunger Dhaba Cum Restaurant,Dhaba and Highway Restaurant,Restaurant,Restaurant,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",N/A,N/A,4.8,,"Petrol Pump, Hunger Dhaba Cum resturent, opposite Debosthan, Debasthan, Assam 782481",782481,26.100702,93.0210067,ChIJVwLBsOAJRTcRkGg-jUnfzw4,https://www.google.com/maps/place/?q=place_id:ChIJVwLBsOAJRTcRkGg-jUnfzw4,part_360,2026-09-20 20:19:31
Highway Dhaba Cum Family Restaurant,Dhaba and Highway Restaurant,Restaurant,Restaurant,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 78969 31453,N/A,4.7,,"Highway Dhaba Cum Family Restaurant Tiniali Bazar, Lumding Rd, Lanka, Assam 782446",782481,25.889695,93.0128805,ChIJz95rGnJxRTcRQ0zf6bV-eSU,https://www.google.com/maps/place/?q=place_id:ChIJz95rGnJxRTcRQ0zf6bV-eSU,part_360,2026-09-20 20:19:31
GHOSH DHABA,Dhaba and Highway Restaurant,Family restaurant,Family restaurant,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 70860 49454,N/A,3.6,,"5Q73+W57, NH 36, Reng Beng Grant, Assam 782427",782481,26.164791899999997,92.7529138,ChIJozaEEp09RTcRuQwa5gPTQX8,https://www.google.com/maps/place/?q=place_id:ChIJozaEEp09RTcRuQwa5gPTQX8,part_360,2026-09-20 20:19:31
SS Dhaba,Dhaba and Highway Restaurant,Restaurant,Restaurant,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",N/A,N/A,4.1,,"6X59+787, NH 36, Dengaon, Assam 782441",782481,26.208164099999998,92.9683068,ChIJi36EiOQFRTcRGPILVL_aapc,https://www.google.com/maps/place/?q=place_id:ChIJi36EiOQFRTcRGPILVL_aapc,part_360,2026-09-20 20:19:31
Dalimi Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",N/A,N/A,4.4,,"NH-37, Nagaon Bypass Rd, Borghat, Bar Pathari Sutar Gaon, Assam 782101",782481,26.308135,92.7020946,ChIJtYaHezQhRTcR2M4pNH9Oabc,https://www.google.com/maps/place/?q=place_id:ChIJtYaHezQhRTcR2M4pNH9Oabc,part_360,2026-09-20 20:19:31
PMB Dhaba,Dhaba and Highway Restaurant,Restaurant,Restaurant,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 97060 91119,N/A,4.4,,"NH-37, Uria Gaon, Bhutai Gaon, Assam 782003",782481,26.342115,92.7389693,ChIJV0xlU5EhRTcRCXhZJZySsEE,https://www.google.com/maps/place/?q=place_id:ChIJV0xlU5EhRTcRCXhZJZySsEE,part_360,2026-09-20 20:19:31
Highway Dhaba,Dhaba and Highway Restaurant,Fast food restaurant,Fast food restaurant,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",N/A,N/A,,,"Highway Dhaba, 36, Doboka - Diphu Rd, Akakhi Ganga, Assam 782441",782481,26.1758357,92.9477276,ChIJzVp6m1EPRTcR7tjd3VBQTI8,https://www.google.com/maps/place/?q=place_id:ChIJzVp6m1EPRTcR7tjd3VBQTI8,part_360,2026-09-20 20:19:31
Swad Highway Dhaba & Restaurants,Dhaba and Highway Restaurant,Dhaba,Dhaba,782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 76639 05330,N/A,3.3,,"5PXQ+472, Nagaon - Lumding Rd, Kachari Gaon, Assam 782427",782481,26.197758699999998,92.7381283,ChIJDViz24M9RTcRJ397s9sX5Lo,https://www.google.com/maps/place/?q=place_id:ChIJDViz24M9RTcRJ397s9sX5Lo,part_360,2026-09-20 20:19:31
Pakhibil Dhaba,Dhaba and Highway Restaurant,Assamese restaurant,"Assamese restaurant, Dhaba",782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 94350 45001,N/A,4.0,,"88P2+2J5, Duliajan No.2, Assam 786602",782481,27.335023399999997,95.30162349999999,ChIJfVU6shlEPzcRJjegkwUE-l8,https://www.google.com/maps/place/?q=place_id:ChIJfVU6shlEPzcRJjegkwUE-l8,part_360,2026-09-20 20:19:33
Ramdhenu Dhaba & Bar,Dhaba and Highway Restaurant,Dhaba,"Dhaba, Fast food restaurant",782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O",+91 70020 26102,N/A,3.9,,"Salbari Bongaigaon Rd, Bongaigaon, Assam 783380",782481,26.4546887,90.54275799999999,ChIJIYf62iL_WDcRymV0ktA3ork,https://www.google.com/maps/place/?q=place_id:ChIJIYf62iL_WDcRymV0ktA3ork,part_360,2026-09-20 20:19:33
