business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ILHAN'S LADIES & KIDS PARADISE,Kids Wear Store,Women's clothing store,Women's clothing store,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",N/A,N/A,5.0,2.0,"3X8G+G3H, Charenghi Pathar, Assam 782440",782482,26.0663175,92.9752414,ChIJSSklKwANRTcRr_wZAnGEimM,https://www.google.com/maps/place/?q=place_id:ChIJSSklKwANRTcRr_wZAnGEimM,part_360,2026-09-20 20:20:20
Rajila Store,Kids Wear Store,Baby store,Baby store,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 70023 51709,N/A,4.0,2.0,"Kaki 1no Gaon Sankardev School, Ranjila Baruah 1no, Assam 782439",782482,25.9963449,93.0027439,ChIJzUPBShlzRTcR_sjNqbcxUDk,https://www.google.com/maps/place/?q=place_id:ChIJzUPBShlzRTcR_sjNqbcxUDk,part_360,2026-09-20 20:20:20
Kurban Ali,Kids Wear Store,Baby store,Baby store,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 79759 10099,N/A,5.0,1.0,"Kurban Ali Shops No1, Sarkey Bosti, Assam 782446",782482,25.888282399999998,93.14282999999999,ChIJtUbbyo-dRTcRa-cViAVgm78,https://www.google.com/maps/place/?q=place_id:ChIJtUbbyo-dRTcRa-cViAVgm78,part_360,2026-09-20 20:20:20
A H SHOP,Kids Wear Store,Baby store,Baby store,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 98640 84825,N/A,5.0,17.0,"JALALABAD TDC ROAD, Hojai, Assam 782439",782482,26.027579,93.00997799999999,ChIJm0mOj6oNRTcRrutGMQ5fykM,https://www.google.com/maps/place/?q=place_id:ChIJm0mOj6oNRTcRrutGMQ5fykM,part_360,2026-09-20 20:20:20
Angjok Store,Kids Wear Store,Baby store,Baby store,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 76379 03693,N/A,,,"Kongjuk Athoi Highs School, Assam 782482",782482,26.0861999,93.2011625,ChIJr6zO-GOjRTcREhGo-XNg6Mo,https://www.google.com/maps/place/?q=place_id:ChIJr6zO-GOjRTcREhGo-XNg6Mo,part_360,2026-09-20 20:20:20
Bora Pan Shop,Kids Wear Store,Baby store,Baby store,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 91010 67718,N/A,5.0,2.0,"Bora Pan Shop, Bakalia 30beded Civil Hospital Road, Assam 782482",782482,26.0638334,93.1827318,ChIJeTQfLWWjRTcRJUcyNlHutkI,https://www.google.com/maps/place/?q=place_id:ChIJeTQfLWWjRTcRJUcyNlHutkI,part_360,2026-09-20 20:20:20
Habijul rahman,Kids Wear Store,Baby store,Baby store,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 80119 93388,N/A,5.0,1.0,"Mouzadar Gaon No.1, Assam 782446",782482,25.902185799999998,93.1457923,ChIJfQ97MaOdRTcRf43XiQeIvk0,https://www.google.com/maps/place/?q=place_id:ChIJfQ97MaOdRTcRf43XiQeIvk0,part_360,2026-09-20 20:20:20
Islamkhan,Kids Wear Store,Baby store,Baby store,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 80990 69199,N/A,5.0,2.0,"Arman Society, near Ambari, Ambari, Assam 782440",782482,26.104206599999998,92.9583542,ChIJpR_oCfMNRTcRPxdgsptYr_Y,https://www.google.com/maps/place/?q=place_id:ChIJpR_oCfMNRTcRPxdgsptYr_Y,part_360,2026-09-20 20:20:20
PARTHA CHAKRABORTY,Kids Wear Store,Baby store,Baby store,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 98542 90582,N/A,3.7,3.0,"Word No 5, Diphu, MG Rd, Diphu, Assam 782460",782482,25.8430267,93.4397808,ChIJtQLS0cHtRTcRJMa0hQKFOlA,https://www.google.com/maps/place/?q=place_id:ChIJtQLS0cHtRTcRJMa0hQKFOlA,part_360,2026-09-20 20:20:21
Masoom,Kids Wear Store,Clothing store,Clothing store,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 97069 23921,N/A,3.9,,"B N P Rd, Dibrugarh, Assam 786001",782482,27.4804203,94.9032098,ChIJ0RqYGhqYQDcRCFy2YH0K2bU,https://www.google.com/maps/place/?q=place_id:ChIJ0RqYGhqYQDcRCFy2YH0K2bU,part_360,2026-09-20 20:20:22
"Zudio - Bhakatpara Road, Nalbari",Kids Wear Store,Children's clothing store,"Children's clothing store, Clothing store, Clothing Accessories Store, Men's clothing store, Perfume store, Shoe store",782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 77180 80175,https://zudio.com/,4.3,,"Ward No 2, Khatabari, Feenix Mall, Bhakatpara Rd, Nalbari, Assam 781335",782482,26.4482204,91.44664,ChIJ73uKHwDLWzcRcBpzdon6ack,https://www.google.com/maps/place/?q=place_id:ChIJ73uKHwDLWzcRcBpzdon6ack,part_360,2026-09-20 20:20:22
