business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHREE TOURS & TRAVELS,Tour and Travel Operator,Travel agency,Travel agency,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 70026 36447,N/A,5.0,,"Bhalukmari, Pub Bhaluk Mari, Assam 782446",782482,25.9540065,92.95552769999999,ChIJlavrsmdyRTcR_nrtsctXTr4,https://www.google.com/maps/place/?q=place_id:ChIJlavrsmdyRTcR_nrtsctXTr4,part_360,2026-09-20 20:20:29
Mr Tahir Ahmed Store,Tour and Travel Operator,Travel agency,Travel agency,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 90420 12702,https://www.facebook.com/mdtahir.ahmed.786,4.9,,"Ram Nagar No.2, Assam 782446",782482,25.9656478,92.9958199,ChIJyxsPe9lzRTcR-Xg5gb5DM7o,https://www.google.com/maps/place/?q=place_id:ChIJyxsPe9lzRTcR-Xg5gb5DM7o,part_360,2026-09-20 20:20:29
SKY TRAVEL,Tour and Travel Operator,Travel agency,"Travel agency, Railway Ticket Agent",782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 88110 64799,N/A,2.8,,"No.1,, Kaki Rd Number 1, Village No.1 Block No.1, Assam 782442",782482,25.988760499999998,92.9907636,ChIJVQ-9vD1zRTcRynBy21aaR1s,https://www.google.com/maps/place/?q=place_id:ChIJVQ-9vD1zRTcRynBy21aaR1s,part_360,2026-09-20 20:20:29
Digital Point (Travel Agency),Tour and Travel Operator,Tour operator,"Tour operator, Travel agency",782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 70025 89866,https://sites.google.com/view/digitalpointgg?usp=sharing&pli=1,4.8,,"GOSAI GAON, Lanka, Assam 782446",782482,25.8713324,92.9885195,ChIJW1dHq0dxRTcRqe0Ux7w9HC8,https://www.google.com/maps/place/?q=place_id:ChIJW1dHq0dxRTcRqe0Ux7w9HC8,part_360,2026-09-20 20:20:29
SEE YOU TOUR & TRAVELS,Tour and Travel Operator,Travel agency,Travel agency,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 98641 86066,N/A,4.1,,"Railway Station Rd, Lanka, Assam 782446",782482,25.9164207,92.9547906,ChIJM7BegfVxRTcRCpa_i3U8jWc,https://www.google.com/maps/place/?q=place_id:ChIJM7BegfVxRTcRCpa_i3U8jWc,part_360,2026-09-20 20:20:29
Travel agency in jaipur,Tour and Travel Operator,Travel agency,"Travel agency, Bus tour agency, Currency exchange service, Service establishment, Helicopter Charter Rental & Leasing, Limousine service, Minibus taxi service, Money transfer service, Passport Agent, Taxi service, Visa Agent",782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 78784 86720,http://www.travelagrncyinjaipur.in/,4.8,,"Travel agency in jaipur, 782482, India",782482,19.9643493,75.1421569,ChIJ9TiOrty1bTkReb8xtw-ROmk,https://www.google.com/maps/place/?q=place_id:ChIJ9TiOrty1bTkReb8xtw-ROmk,part_360,2026-09-20 20:20:29
TERANG ENTERPRISE,Tour and Travel Operator,Travel agency,"Travel agency, Ambulance service, Car rental agency, Transportation service",782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 91011 04126,N/A,5.0,,"Sitlabari road, Diphu, Assam 782460",782482,25.8437654,93.44111269999999,ChIJEVnvyT7tRTcR58txYxcf1nQ,https://www.google.com/maps/place/?q=place_id:ChIJEVnvyT7tRTcR58txYxcf1nQ,part_360,2026-09-20 20:20:29
WORLD CLASS INTERNATIONAL TOUR & TAX CONSULTANCY,Tour and Travel Operator,Travel agency,Travel agency,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 60010 78068,N/A,5.0,,"33, Murajhar Bazar Rd, Charenghi Pathar, Assam 782440",782482,26.0663633,92.9754901,ChIJFZyO-qwNRTcRbdeUWDSYcZM,https://www.google.com/maps/place/?q=place_id:ChIJFZyO-qwNRTcRbdeUWDSYcZM,part_360,2026-09-20 20:20:29
Easy To Travel,Tour and Travel Operator,Travel agency,"Travel agency, Train ticket office, Computer store",782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",N/A,N/A,5.0,,"Islampur Shanti Bazar, Lengra Bazar, Nakhuti Bazar, Khagarijan No.1, Assam 782446",Lengra Bazar,25.916665,93.1695721,ChIJH8HNTwGfRTcRoh-LbGqBa5w,https://www.google.com/maps/place/?q=place_id:ChIJH8HNTwGfRTcRoh-LbGqBa5w,part_360,2026-09-20 20:20:29
AFNAN Travels,Tour and Travel Operator,Travel agency,Travel agency,782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O",+91 99118 01786,https://afnantravels.com/,3.7,,"near MURAZAR COLLEGE, MURAZAR, Charenghi Pathar, Assam 782440",782482,26.066322099999997,92.9760374,ChIJ_WZiETwNRTcR8l5dJGe_JtA,https://www.google.com/maps/place/?q=place_id:ChIJ_WZiETwNRTcR8l5dJGe_JtA,part_360,2026-09-20 20:20:29
