business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Good Health Clinic,24 Hour Pharmacy,Pharmacy,Pharmacy,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",N/A,N/A,5.0,2.0,"W6XF+JF5, Umswai, Assam 782413",782486,25.9490216,92.223726,ChIJwXeyP8m5WjcREypGgWEaGFA,https://www.google.com/maps/place/?q=place_id:ChIJwXeyP8m5WjcREypGgWEaGFA,part_360,2026-09-20 20:21:54
CVS MEDICAL,24 Hour Pharmacy,Pharmacy,Pharmacy,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",N/A,N/A,4.2,6.0,"Titabor, Handique Gaon, Assam 785630",782486,26.6004237,94.20221599999999,ChIJu5858QXvRjcRjod5gMFk5NY,https://www.google.com/maps/place/?q=place_id:ChIJu5858QXvRjcRjod5gMFk5NY,part_360,2026-09-20 20:21:54
FIRST CARE PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",+91 91012 35920,N/A,1.0,1.0,"34R8+7W2, P.O. Malibari Pather Bazar, Tiniali, Dist. Kamrup, Mandira Reserve, Assam 781136",Tiniali,26.090633999999998,91.1172596,ChIJw40ANmeMWTcRrCrTKQ-xEOA,https://www.google.com/maps/place/?q=place_id:ChIJw40ANmeMWTcRrCrTKQ-xEOA,part_360,2026-09-20 20:21:54
ONE CARE PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",N/A,N/A,5.0,1.0,"557M+G89, Dillibari, Assam 786612",782486,27.163795399999998,95.1833711,ChIJ4dWMQABTPzcR75SQP1HcWp0,https://www.google.com/maps/place/?q=place_id:ChIJ4dWMQABTPzcR75SQP1HcWp0,part_360,2026-09-20 20:21:54
MEDICINE CORNER,24 Hour Pharmacy,Pharmacy,Pharmacy,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",+91 94352 17799,N/A,5.0,3.0,"near field, Ambagan, Pachim Sualani, Assam 782120",Ambagan,26.518348999999997,92.85508039999999,ChIJI6VO_cnnRDcRg-uVSix_BDM,https://www.google.com/maps/place/?q=place_id:ChIJI6VO_cnnRDcRg-uVSix_BDM,part_360,2026-09-20 20:21:54
LIFECARE PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",+91 69009 25353,https://www.facebook.com/share/1AxE3Wk6PC/,4.5,,"7MRP+57 LIFECARE PHARMACY, Mission Road, near Indian Oil Petrol Pump, Tinali, Margherita, Assam 786182",Tinali,27.2904642,95.68572019999999,ChIJ9-7sKwAnPzcR4WDm3Gu1NtY,https://www.google.com/maps/place/?q=place_id:ChIJ9-7sKwAnPzcR4WDm3Gu1NtY,part_360,2026-09-20 20:21:55
Life Care Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",N/A,N/A,5.0,,"64J7+H7R, Buraburi, Assam 782411",782486,26.231485,92.11314709999999,ChIJBZMXOQDnWjcR6soTj3LMDe4,https://www.google.com/maps/place/?q=place_id:ChIJBZMXOQDnWjcR6soTj3LMDe4,part_360,2026-09-20 20:21:55
Mns Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",N/A,N/A,5.0,,"Sagolband, Imphal, Manipur 795001",Sagolband,24.8039091,93.9265815,ChIJkaYNYDUmSTcRksdkvN8CmiQ,https://www.google.com/maps/place/?q=place_id:ChIJkaYNYDUmSTcRksdkvN8CmiQ,part_360,2026-09-20 20:21:55
Neelnayan Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",N/A,N/A,4.7,,"Garchuk - Pamohi Rd, opp. UCO Bank, Garchuk Chariali, GARCHUK, Guwahati, Assam 781035","Garchuk Chariali, GARCHUK",26.115195999999997,91.70883119999999,ChIJM6I-qkddWjcRAGnW6ofB388,https://www.google.com/maps/place/?q=place_id:ChIJM6I-qkddWjcRAGnW6ofB388,part_360,2026-09-20 20:21:55
INDU PHARMACY,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store",782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",+91 84864 41896,N/A,4.0,,"Rangagora Rd, opp. Promode Market, Durgabari, Tinsukia, Assam 786125",Durgabari,27.490966099999998,95.3515358,ChIJgVtOf1VqPzcRGIUn2erCsFY,https://www.google.com/maps/place/?q=place_id:ChIJgVtOf1VqPzcRGIUn2erCsFY,part_360,2026-09-20 20:21:55
