business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
TRADE PLY WELL,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",+91 70024 22321,N/A,5.0,,"16Trade Well, Trinayani Ln, Kanakpur, Silchar, Assam 788006",Kanakpur,24.7986754,92.8046272,ChIJO511P3xLTjcRqFJdoeC5HtU,https://www.google.com/maps/place/?q=place_id:ChIJO511P3xLTjcRqFJdoeC5HtU,part_360,2026-09-20 20:22:04
Medhi Timber Shop,Plywood and Timber Merchant,Lumber store,Lumber store,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",+91 86387 63634,N/A,4.0,,"SH 15, Bhurbandha, Assam 782104",782486,26.3038508,92.3627549,ChIJe13dlUrRWjcREptxaSrUNUo,https://www.google.com/maps/place/?q=place_id:ChIJe13dlUrRWjcREptxaSrUNUo,part_360,2026-09-20 20:22:04
M/S SKF WOODLAND TIMBER TRADING DEPOT,Plywood and Timber Merchant,Lumber store,Lumber store,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",N/A,N/A,5.0,,"road, Karbala, Pancharatna, Goalpara, Assam 783101",Karbala,26.181254799999998,90.6027271,ChIJb-R-hZ-zWTcRm9UskrOVY60,https://www.google.com/maps/place/?q=place_id:ChIJb-R-hZ-zWTcRm9UskrOVY60,part_360,2026-09-20 20:22:04
M/S Shambhu Timber,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Hardware store, Laminating equipment supplier, Lumber store",782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",+91 88762 78113,N/A,5.0,,"New, Court Road, Tinsukia, Kaptanchuk Gaon, Assam 786192",782486,27.4832017,95.3368536,ChIJ14OC2UdrPzcRinpHtNdAas0,https://www.google.com/maps/place/?q=place_id:ChIJ14OC2UdrPzcRinpHtNdAas0,part_360,2026-09-20 20:22:04
Vinayak Timber,Plywood and Timber Merchant,Lumber store,Lumber store,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",+91 87239 06310,N/A,5.0,,"AT ROAD, Doomdooma Pathar Gaon, Doom Dooma, Assam 786151",782486,27.563793099999998,95.5473365,ChIJ45Ffa5AQPzcRodGCsSYTQQo,https://www.google.com/maps/place/?q=place_id:ChIJ45Ffa5AQPzcRodGCsSYTQQo,part_360,2026-09-20 20:22:04
M/S M.S TIMBER SHOP,Plywood and Timber Merchant,Lumber store,Lumber store,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",N/A,N/A,5.0,,"Nh15, Assam 786153",782486,27.6195821,95.63276189999999,ChIJMZMtV0sbPzcRxC6KjopRSrI,https://www.google.com/maps/place/?q=place_id:ChIJMZMtV0sbPzcRxC6KjopRSrI,part_360,2026-09-20 20:22:04
M/S Manoj Timber,Plywood and Timber Merchant,Wood supplier,Wood supplier,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",+91 94351 62968,N/A,4.7,,"9M4G+R6F, Tarun Phukan Rd, Haibargaon, Nagaon, Barbheti, Assam 782001",Haibargaon,26.3571647,92.67536489999999,ChIJDSesPQAnRTcRd0UPbzVZAFY,https://www.google.com/maps/place/?q=place_id:ChIJDSesPQAnRTcRd0UPbzVZAFY,part_360,2026-09-20 20:22:04
Shree Ram Timber,Plywood and Timber Merchant,Hardware store,Hardware store,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",+91 70020 70314,N/A,5.0,,"Tinsukia, Assam 786125",782486,27.4901785,95.3532084,ChIJJ8WGbf9qPzcRHLm-QOV4fa0,https://www.google.com/maps/place/?q=place_id:ChIJJ8WGbf9qPzcRHLm-QOV4fa0,part_360,2026-09-20 20:22:04
Assam Timber,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",N/A,N/A,3.5,,"JH35+2MC, Ouguri Gaon, Assam 786153",782486,27.6025657,95.55912719999999,ChIJeSd0KnUQPzcRq6IWHY4RBxA,https://www.google.com/maps/place/?q=place_id:ChIJeSd0KnUQPzcRq6IWHY4RBxA,part_360,2026-09-20 20:22:05
M/S. Najim Timber Depot,Plywood and Timber Merchant,Lumber store,Lumber store,782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O",N/A,N/A,5.0,1.0,"8PXC+53R, Ambari Bazaar Rd, near Eigha Mat, Ambari, Assam 783384",782486,26.347991,90.720129,ChIJk_k7MwCpWTcRftFXgsS_g5o,https://www.google.com/maps/place/?q=place_id:ChIJk_k7MwCpWTcRftFXgsS_g5o,part_360,2026-09-20 20:22:06
