business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
4 season health and wellness center,Wellness Center,Health consultant,Health consultant,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",N/A,N/A,5.0,1.0,"P.R Govt H.S and M.P School, Goalpara, Assam 783101",783101,26.1777785,90.62900379999999,ChIJUZ6IVfuzWTcR4jsZKsTWp8g,https://www.google.com/maps/place/?q=place_id:ChIJUZ6IVfuzWTcR4jsZKsTWp8g,part_360,2026-09-20 20:23:45
"URBAN HEALTH & WELLNESS CENTRE, GOALPARA",Wellness Center,Hospital,Hospital,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",N/A,N/A,3.0,3.0,"Moila-Pathar, Goalpara, Assam 783101",Moila-Pathar,26.141503399999998,90.6420534,ChIJtbBbIwCzWTcRDucfESGoycA,https://www.google.com/maps/place/?q=place_id:ChIJtbBbIwCzWTcRDucfESGoycA,part_360,2026-09-20 20:23:45
Ayushjyoti wellness center,Wellness Center,Hospital,Hospital,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",N/A,N/A,5.0,1.0,"5J59+QM6, SH 12A, Goalpara, Assam 783101",783101,26.159408,90.6191424,ChIJd2qUp2mzWTcRqFLgSe5kUSE,https://www.google.com/maps/place/?q=place_id:ChIJd2qUp2mzWTcRqFLgSe5kUSE,part_360,2026-09-20 20:23:45
Pitbari Health & Wellness Centre,Wellness Center,Hospital,Hospital,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",+91 70024 09087,N/A,3.0,3.0,"4JVM+CV8, Moila-Pathar, Goalpara, Assam 783101",Moila-Pathar,26.1435307,90.6347179,ChIJ1yNOgHmzWTcRyRL1dh4ahlk,https://www.google.com/maps/place/?q=place_id:ChIJ1yNOgHmzWTcRyRL1dh4ahlk,part_360,2026-09-20 20:23:45
Dariduri Health & Wellness Centre,Wellness Center,Community health center,Community health center,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",N/A,N/A,4.0,3.0,"5G5H+PQ8, Khutamari, Assam 783101",783101,26.1592888,90.52946159999999,ChIJLUvM5yFMWDcR1PRZiHJJR60,https://www.google.com/maps/place/?q=place_id:ChIJLUvM5yFMWDcR1PRZiHJJR60,part_360,2026-09-20 20:23:45
Thepkai health and wellness center,Wellness Center,Government office,Government office,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",N/A,N/A,5.0,1.0,"3CJP+6WR, Thepkai, Assam 783101",783101,26.0806243,90.4372669,ChIJ1bRcya5HWDcRnCIe0ly5fV0,https://www.google.com/maps/place/?q=place_id:ChIJ1bRcya5HWDcRnCIe0ly5fV0,part_360,2026-09-20 20:23:45
"GOALPARA JMS FOUNDATION,de addiction cum Rehab Centre)",Wellness Center,Rehabilitation center,Rehabilitation center,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",+91 70020 87728,https://www.facebook.com/share/1D9p9D2kbU/?mibextid=wwXIfr,5.0,30.0,"Hedayatpur, Agia Rd, Goalpara, Assam 783101",783101,26.156662899999997,90.619202,ChIJ2zQpjmmzWTcRgl35H3pqSYo,https://www.google.com/maps/place/?q=place_id:ChIJ2zQpjmmzWTcRgl35H3pqSYo,part_360,2026-09-20 20:23:45
Baladmari Char Health and Wellness Center,Wellness Center,Medical laboratory,Medical laboratory,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",N/A,N/A,5.0,1.0,"5J9M+5Q7, Baladmari Char Pt-I, Assam 783101",783101,26.167903,90.63442359999999,ChIJi_JqMg-zWTcRvbisdcaLe2Q,https://www.google.com/maps/place/?q=place_id:ChIJi_JqMg-zWTcRvbisdcaLe2Q,part_360,2026-09-20 20:23:45
"Preface of life foundation,Rehabilitation Center,Goalpara",Wellness Center,Addiction treatment center,Addiction treatment center,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",+91 93655 66236,N/A,4.8,184.0,"Kalpana Cinema Hall, E-Kart Office, Bir Chilarai Path, Goalpara, Assam 783121",783101,26.1744007,90.62073889999999,ChIJV50bRMOzWTcRN4vrsOJ2_Ms,https://www.google.com/maps/place/?q=place_id:ChIJV50bRMOzWTcRN4vrsOJ2_Ms,part_360,2026-09-20 20:23:45
MediMart,Wellness Center,Wellness center,Wellness center,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",+91 60009 49758,N/A,,,"Geetanagar, Goalpara, Assam 783101",Geetanagar,26.159699,90.6209282,ChIJT3Vteo-zWTcRUqp_OmqzSHk,https://www.google.com/maps/place/?q=place_id:ChIJT3Vteo-zWTcRUqp_OmqzSHk,part_360,2026-09-20 20:23:45
WELLNESS PHARMACY,Wellness Center,Pharmacy,Pharmacy,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",+91 80116 75274,N/A,5.0,2.0,"Shop No-01 Wellness Pharmacy,Hedayatpur, Hadaytpur to Agai Rd, Goalpara, Assam 783101",Geetanagar,26.1574149,90.6192671,ChIJGxh_nM6zWTcRlq1dCJNPgB0,https://www.google.com/maps/place/?q=place_id:ChIJGxh_nM6zWTcRlq1dCJNPgB0,part_360,2026-09-20 20:23:45
Good Health De-Addicton Cum Rehabilitation Centre,Wellness Center,Social worker,Social worker,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",N/A,N/A,5.0,3.0,"near Nirmala Hospital, Bhalukdubi, Goalpara, Assam 783101",783101,26.134999,90.60001319999999,ChIJ54XTdABNWDcRn2CEvu47_SA,https://www.google.com/maps/place/?q=place_id:ChIJ54XTdABNWDcRn2CEvu47_SA,part_360,2026-09-20 20:23:45
Dubapara Health and Wellness Center,Wellness Center,Medical laboratory,Medical laboratory,783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O",N/A,N/A,3.0,2.0,"4MGQ+8JW, Paharsing Para, Ujirer Char Nc, Assam 783101",783101,26.1258628,90.6890865,ChIJccXiqbG2WTcRhuvaaZNEODA,https://www.google.com/maps/place/?q=place_id:ChIJccXiqbG2WTcRhuvaaZNEODA,part_360,2026-09-20 20:23:45
