business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ACCELERON Coaching Academy (NEET JEE CUET),NEET and JEE Coaching Center,Coaching Center,Coaching Center,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 84159 56592,https://sites.google.com/view/acceleronshillong,5.0,9.0,"near Lumkshaid Community Hall, Lower Mawprem, Lumkshaid, Garikhana, Shillong, Meghalaya 793002","Lower Mawprem, Lumkshaid, Garikhana",25.584457,91.8710037,ChIJ6QH9fl5_UDcRq7ZI1SUXRpA,https://www.google.com/maps/place/?q=place_id:ChIJ6QH9fl5_UDcRq7ZI1SUXRpA,part_360,2026-09-20 20:26:09
"Aakash Institute - Best NEET & IIT-JEE Coaching in Shillong, Laitumkhrah",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 98626 78878,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-shillong-laitumkhrah-coaching-center-laitumkhrah-meghalaya-534417/Home?utm_source=locator&utm_medium=googleplaces,3.6,22.0,"Holding No 383, Don Bosco Square, Upland Rd, opposite St Margarets H S School, Nongkynrih, Laitumkhrah, Shillong, Meghalaya 793003","Nongkynrih, Laitumkhrah",25.570881999999997,91.89434299999999,ChIJVeGUvJ9_UDcR7fNBrGOAMWU,https://www.google.com/maps/place/?q=place_id:ChIJVeGUvJ9_UDcR7fNBrGOAMWU,part_360,2026-09-20 20:26:09
"Inspiral Coaching, Shillong",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Tutoring service",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 96747 33650,https://www.inspiralshillong.com/,4.8,49.0,"Top Floor, In The Same Building as Punjab National Bank, Laban Howell Road, Laban, Shillong, Meghalaya 793004",Laban,25.5628881,91.8775064,ChIJr0KJ5P1_UDcRYAWxLI7gb5c,https://www.google.com/maps/place/?q=place_id:ChIJr0KJ5P1_UDcRYAWxLI7gb5c,part_360,2026-09-20 20:26:09
GOAL Institute – NEET & IIT-JEE Coaching in Hinoo Ranchi,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Learning center, Studying center",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 75649 00041,http://www.goalinstitute.org/,4.6,65.0,"Indira Palace, Hinoo Main Rd, Hinoo, Ranchi, Jharkhand 834002",Hinoo,23.329261,85.315326,ChIJ1UvlGXDh9DkRPdYgM6iL6AI,https://www.google.com/maps/place/?q=place_id:ChIJ1UvlGXDh9DkRPdYgM6iL6AI,part_360,2026-09-20 20:26:09
Goal Institute- Best NEET & IIT JEE Coaching in Gola Road Patna,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Learning center, Studying center",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 75649 02125,http://www.goalinstitute.org/,4.2,240.0,"Gola Rd, near Gyanodaya Gurukul, Nizamat, Danapur, Patna, Bihar 801503",Nizamat,25.615949099999998,85.05652769999999,ChIJ0aPKulBW7TkROlP20nM7mto,https://www.google.com/maps/place/?q=place_id:ChIJ0aPKulBW7TkROlP20nM7mto,part_360,2026-09-20 20:26:09
Matrix Academy,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational institution, Training center",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 97836 21999,https://www.matrixedu.in/,4.5,2330.0,"Piprali Rd, opposite Ganpati Plaza, Jat Colony, Sikar, Rajasthan 332001",Jat Colony,27.621729499999997,75.15579869999999,ChIJHRNaVzm7bDkR9NTEJF4Mg44,https://www.google.com/maps/place/?q=place_id:ChIJHRNaVzm7bDkR9NTEJF4Mg44,part_360,2026-09-20 20:26:09
Goal IIT - JEE Medical,NEET and JEE Coaching Center,Coaching Center,Coaching Center,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 93340 98595,http://goalinstitute.org/,3.8,163.0,"Memco More, more, Dhaiya, Dhanbad, Jharkhand 826010",Dhaiya,23.8307578,86.4340089,ChIJkd4KCaO89jkR-5rBOe9yg3E,https://www.google.com/maps/place/?q=place_id:ChIJkd4KCaO89jkR-5rBOe9yg3E,part_360,2026-09-20 20:26:09
Goal Institute,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Learning center, Studying center",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 75649 00041,http://goalinstitute.org/,4.2,417.0,"5th floor, RS Tower, 504, Circular Rd, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.3697075,85.33990899999999,ChIJAQCQeHHh9DkR2sUmDJF05CM,https://www.google.com/maps/place/?q=place_id:ChIJAQCQeHHh9DkR2sUmDJF05CM,part_360,2026-09-20 20:26:09
fynestudy,NEET and JEE Coaching Center,Education center,Education center,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 69091 95529,https://fynestudy.com/,5.0,,"Hansder Compound, Lummawrie, Laitumkhrah, Shillong, Meghalaya 793003","Lummawrie, Laitumkhrah",25.5673379,91.900087,ChIJD96E_MB_UDcRFVQKpuvvCOo,https://www.google.com/maps/place/?q=place_id:ChIJD96E_MB_UDcRFVQKpuvvCOo,part_360,2026-09-20 20:26:10
MEGUN Educational Services,NEET and JEE Coaching Center,Coaching Center,Coaching Center,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 94361 71002,http://www.megunshillong.com/,4.3,,"Hopkinson Rd, Block 3, Lachumiere, Shillong, Meghalaya 793001","Block 3, Lachumiere",25.5697902,91.88766969999999,ChIJE8pKBpd-UDcRnFfJMd1xznQ,https://www.google.com/maps/place/?q=place_id:ChIJE8pKBpd-UDcRnFfJMd1xznQ,part_360,2026-09-20 20:26:10
Times Career Institute,NEET and JEE Coaching Center,Coaching Center,Coaching Center,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 95281 11888,N/A,4.9,,"2nd Floor, Khanna Complex, Kanth Rd, Ram Ganga Vihar Phase 1, Moradabad, Uttar Pradesh 244105",Ram Ganga Vihar Phase 1,28.8709231,78.7453282,ChIJJQOquFn5CjkRLLXXMzww8zg,https://www.google.com/maps/place/?q=place_id:ChIJJQOquFn5CjkRLLXXMzww8zg,part_360,2026-09-20 20:26:10
V Guide Institute,NEET and JEE Coaching Center,Educational institution,Educational institution,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 97012 87890,https://g.co/kgs/PEDqsww,4.9,,"Plot No.149, near Subramanyan Swami Temple, Aswini Colony, West Marredpally, Secunderabad, Telangana 500026","Aswini Colony, West Marredpally",17.4478653,78.50516329999999,ChIJMyXTL6dYxaQRyyiTrC7ZMPk,https://www.google.com/maps/place/?q=place_id:ChIJMyXTL6dYxaQRyyiTrC7ZMPk,part_360,2026-09-20 20:26:11
My Dreamz Academy,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Training center",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 79959 18906,https://mydreamzacademy.com/,4.6,,"Metro pillar no -A1560, Swapna hospital, beside Khajana jewellery lane, opposite lane, Millenium Residency, Chaitanyapuri, Dilsukhnagar, Hyderabad, Telangana 500060","Millenium Residency, Chaitanyapuri, Dilsukhnagar",17.369944999999998,78.5311876,ChIJp4ORuPGYyzsR6B4yRnm0AYY,https://www.google.com/maps/place/?q=place_id:ChIJp4ORuPGYyzsR6B4yRnm0AYY,part_360,2026-09-20 20:26:11
FEAT The Career Institute,NEET and JEE Coaching Center,Coaching Center,Coaching Center,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 79061 28108,N/A,4.9,,"Saksham Palace, Pallavpuram, I Pocket, Phase-1, Meerut, Uttar Pradesh 250001","Phase-1, Pallavpuram",29.0516154,77.7154147,ChIJXQz5J0lvDDkRPbAHDT-fBYI,https://www.google.com/maps/place/?q=place_id:ChIJXQz5J0lvDDkRPbAHDT-fBYI,part_360,2026-09-20 20:26:11
NARAYANA,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 1800 102 3344,https://centres.narayanacoachingcenters.in/narayana-coaching-center/centers-in-gwalior/centers-in-Mahalgaon/narayana-iitjeeneetfoundation-in-Mahalgaon-gwalior--7JTkFB/home,4.6,,"Second Floor, Rolex Square, City Center, above Reliance Smart, City Center, Tulsi Vihar Colony, Mahalgaon, Gwalior, Madhya Pradesh 474002","City Center, Tulsi Vihar Colony",26.2063582,78.1906918,ChIJhX54zbTFdjkRZB2ptUCSwNk,https://www.google.com/maps/place/?q=place_id:ChIJhX54zbTFdjkRZB2ptUCSwNk,part_360,2026-09-20 20:26:11
PRAKHARAH JEE & NEET ACADEMY,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 90080 08367,https://www.prakharah.com/,4.5,,"1st Floor, Jay Complex, Park, Ayyappa Temple Road, opp. Bhuvaneshwari Nagar, Venkatagowda Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024","Venkatagowda Layout, Hebbal Kempapura",13.0544345,77.6019091,ChIJwaMtIkgXrjsR0-ZfI_Mtsh4,https://www.google.com/maps/place/?q=place_id:ChIJwaMtIkgXrjsR0-ZfI_Mtsh4,part_360,2026-09-20 20:26:11
Equation classes For JEE/NEET/NDA,NEET and JEE Coaching Center,Coaching Center,Coaching Center,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,https://equationclassesbhopal.github.io/EQUATION-classes-Bhopal/,5.0,,"MIG 16 Housing Board Colony, Kohefiza, Bhopal, Madhya Pradesh 462001",Kohefiza,23.2679321,77.3762612,ChIJJQyLDgBnfDkR8TcyqOrpLLw,https://www.google.com/maps/place/?q=place_id:ChIJJQyLDgBnfDkR8TcyqOrpLLw,part_360,2026-09-20 20:26:12
Gurukripa Career Institute,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Counselor, Education center, Educational consultant, Educational institution, Test preparation center, Training center, Tutoring service",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 88751 24365,https://gurukripa.ac.in/,4.8,,"Piprali Rd, Jyoti Nagar, Sikar, Samrathpura, Rajasthan 332001",Jyoti Nagar,27.6277266,75.1770578,ChIJQ77acgC7bDkROU7ivsJo3T0,https://www.google.com/maps/place/?q=place_id:ChIJQ77acgC7bDkROU7ivsJo3T0,part_360,2026-09-20 20:26:12
All India Exam,NEET and JEE Coaching Center,Education center,Education center,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 94516 29518,https://www.studybyveersir.com/,4.7,,"Kuichavar, Bhatpar Rani, Uttar Pradesh 274702",783123,26.288721,84.03126429999999,ChIJFStsLdpNkjkRz5LxNdECiz0,https://www.google.com/maps/place/?q=place_id:ChIJFStsLdpNkjkRz5LxNdECiz0,part_360,2026-09-20 20:26:12
"Physics Wallah Coaching Center Helpline Etah | IIT JEE, NEET Classes",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Learning center, Private Tutor, Studying center, Training center, Tutoring service",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 74288 90305,https://www.pw.live/scholarship/nsat/vidyapeeth?utm_source=GMB&utm_medium=organic&utm_campaign=NSAT_24,5.0,,"Kachhari Rd, Shyam Nagar, Etah, Bhagipur, Uttar Pradesh 207001",Shyam Nagar,27.551725599999997,78.6547791,ChIJDV0FH6T_dDkRyJf0cUogF_U,https://www.google.com/maps/place/?q=place_id:ChIJDV0FH6T_dDkRyJf0cUogF_U,part_360,2026-09-20 20:26:12
