business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
EBENEZER PG,PG,Backpacker Hostel,"Backpacker Hostel, Student dormitory",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 70056 73165,N/A,4.7,30.0,"Lane-2, dumdum, Nongthymmai, Shillong, Meghalaya 793014","dumdum, Nongthymmai",25.5625589,91.9080501,ChIJG48fqMd_UDcRl6kgGmfsOnU,https://www.google.com/maps/place/?q=place_id:ChIJG48fqMd_UDcRl6kgGmfsOnU,part_360,2026-09-20 20:26:07
Fortune Heights Girls PG Hostel,PG,Student dormitory,Student dormitory,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 83100 02737,https://www.fortuneheights.in/,4.5,61.0,"Arbuthnot Rd, Nongrimmaw, Laitumkhrah, Shillong, Meghalaya 793011","Nongrimmaw, Laitumkhrah",25.576257899999998,91.90403119999999,ChIJ-xMHALJ-UDcR3RRRETBogrE,https://www.google.com/maps/place/?q=place_id:ChIJ-xMHALJ-UDcR3RRRETBogrE,part_360,2026-09-20 20:26:07
Lucia's PG for Girls,PG,Girls' hostel,Girls' hostel,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 60091 84625,N/A,5.0,1.0,"House No.9, Community Hall, Block 3, near Police Beat House, near Nongrimbah Road, Nongkynrih, Laitumkhrah, Shillong, Meghalaya 793003","Nongkynrih, Laitumkhrah",25.5699574,91.8999635,ChIJk_R198h_UDcR1b5n9tKpeOo,https://www.google.com/maps/place/?q=place_id:ChIJk_R198h_UDcR1b5n9tKpeOo,part_360,2026-09-20 20:26:07
P.g Store,PG,Hardware store,Hardware store,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 84860 58996,N/A,,,"National Highway 37, Dhupdhara, Kathakuthi Pt-I, Assam 783123",783123,25.961810999999997,91.0389744,ChIJ6WlXRTXtWTcRot2L4JUK5HU,https://www.google.com/maps/place/?q=place_id:ChIJ6WlXRTXtWTcRot2L4JUK5HU,part_360,2026-09-20 20:26:07
Near PG Bank,PG,Cell phone store,Cell phone store,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,,,"X354+M2R, Dhupdhara Rd, Dhupdhara, Assam 783123",783123,25.959236399999998,91.0550222,ChIJv8RbhHrtWTcRctZR4-MUcjQ,https://www.google.com/maps/place/?q=place_id:ChIJv8RbhHrtWTcRctZR4-MUcjQ,part_360,2026-09-20 20:26:07
PG Enterprise,PG,Hardware store,Hardware store,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 90851 41240,N/A,,,"Bazar, Jarihat, Bondapara, Assam 781135",783123,25.8996815,91.0596169,ChIJtYRlIVHxWTcRFu9oup84pWQ,https://www.google.com/maps/place/?q=place_id:ChIJtYRlIVHxWTcRFu9oup84pWQ,part_360,2026-09-20 20:26:07
"SHAHIN BOYS PAYING GUEST, NAGARBERA",PG,Apartment complex,Apartment complex,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,5.0,7.0,"4272+G77, Milan Nagar Rd, Nagarbera, Assam 781127",783123,26.1137819,91.0006698,ChIJz5gePgCTWTcRMEEUOXBOhUY,https://www.google.com/maps/place/?q=place_id:ChIJz5gePgCTWTcRMEEUOXBOhUY,part_360,2026-09-20 20:26:07
APNA GHAR Paying Guest,PG,Boys' hostel,Boys' hostel,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 70020 94946,N/A,4.4,115.0,"Ajanta path, by lane No 1, gopal fhukan Road, house no 3, Survey, Beltola Tiniali, Assam 781028","Nandanpur Path, Beltola Tiniali",26.128546099999998,91.7941372,ChIJLYNa29NYWjcRF_iGs3A4QjI,https://www.google.com/maps/place/?q=place_id:ChIJLYNa29NYWjcRF_iGs3A4QjI,part_360,2026-09-20 20:26:08
HOPE - A GIRL'S P.G.,PG,Student dormitory,"Student dormitory, Girls' hostel",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 99541 20621,N/A,4.8,42.0,"9TH MILE, near HAYAT INSTITUTE OF NURSING EDUCATION, HASTINAPUR, Guwahati, Jorabat, Assam 781023",HASTINAPUR,26.1088085,91.8521662,ChIJzaost1ZZWjcR4bXVJF4MvFM,https://www.google.com/maps/place/?q=place_id:ChIJzaost1ZZWjcR4bXVJF4MvFM,part_360,2026-09-20 20:26:08
Homely boys paying guest,PG,Student dormitory,Student dormitory,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 98755 23131,N/A,4.7,10.0,"Nepali, Bamun Gaon Rd, Udalguri, Assam 784509",783123,26.757932399999998,92.09316729999999,ChIJXwxj7W0VWzcR0r3y2AzsF0g,https://www.google.com/maps/place/?q=place_id:ChIJXwxj7W0VWzcR0r3y2AzsF0g,part_360,2026-09-20 20:26:08
