business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Manjuri Sweets,Sweet Stall / Mithai Shop,Sweet shop,"Sweet shop, Bakery and Cake Shop, Restaurant",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,3.9,,"Dhupdhara, Assam 783123",783123,25.9586097,91.0565785,ChIJSVu5WvbtWTcR6EekASX79yM,https://www.google.com/maps/place/?q=place_id:ChIJSVu5WvbtWTcR6EekASX79yM,part_360,2026-09-20 20:25:42
Sumit Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 97743 34391,http://sumit-sweets.odoo.com/,4.8,,"SBI ATM, Laban Howell road Opposite of SBI Laban branch Opposite to SBI LABAN BRANCH, next to LABAN, Shillong, Meghalaya 793004",Laban,25.563740499999998,91.8772599,ChIJveicHil_UDcRh8IsXpeL0rM,https://www.google.com/maps/place/?q=place_id:ChIJveicHil_UDcRh8IsXpeL0rM,part_360,2026-09-20 20:25:42
Gunjan Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 94358 95058,N/A,4.1,,"2, GS Rd, Bhangagarh, Guwahati, Assam 781005",Bhangagarh,26.164373299999998,91.76893799999999,ChIJtQBY2nNZWjcR2a9MnoxiyAU,https://www.google.com/maps/place/?q=place_id:ChIJtQBY2nNZWjcR2a9MnoxiyAU,part_360,2026-09-20 20:25:42
Goswami Sweets,Sweet Stall / Mithai Shop,General store,General store,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 73846 73804,N/A,,,"Dhanbari, Assam 783123",783123,26.0279393,91.0489885,ChIJrxum3S3tWTcR3vORkEc5Wos,https://www.google.com/maps/place/?q=place_id:ChIJrxum3S3tWTcR3vORkEc5Wos,part_360,2026-09-20 20:25:42
"Unique, Sweets and Snacks",Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 84140 36697,N/A,3.9,,"HVCX+32F, Laitumkhrah Main Rd, Nongkynrih, Laitumkhrah, Shillong, Meghalaya 793003","Nongkynrih, Laitumkhrah",25.570193,91.89754049999999,ChIJw4WeA7t-UDcRaIymyCTDYbk,https://www.google.com/maps/place/?q=place_id:ChIJw4WeA7t-UDcRaIymyCTDYbk,part_360,2026-09-20 20:25:42
Naveen Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 98631 86477,N/A,3.8,,"HV9X+V25, Laitumkhrah, Shillong, Meghalaya 793003",Laitumkhrah,25.5696336,91.8976162,ChIJTc_DHbt-UDcR8AwI0V1EVo0,https://www.google.com/maps/place/?q=place_id:ChIJTc_DHbt-UDcR8AwI0V1EVo0,part_360,2026-09-20 20:25:42
Shanti Sweets,Sweet Stall / Mithai Shop,Sweet shop,"Sweet shop, Grocery store",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 364 254 7404,N/A,4.2,,"HVHF+W8Q Lama Villa, Block 1, GS Rd, Lower Mawprem, Garikhana, Shillong, Meghalaya 793002","Lower Mawprem, Garikhana",25.5800947,91.87303089999999,ChIJ3WLULPV-UDcRqc6V98i18EE,https://www.google.com/maps/place/?q=place_id:ChIJ3WLULPV-UDcRqc6V98i18EE,part_360,2026-09-20 20:25:42
Unique - Sweets & Snacks,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 364 250 1393,N/A,4.1,,"Dreamland Arcaade, Umsohsun, Police Bazar, Shillong, Meghalaya 793001","Umsohsun, Police Bazar",25.5778406,91.8802205,ChIJVbTycL9-UDcRhuB9NoamWOU,https://www.google.com/maps/place/?q=place_id:ChIJVbTycL9-UDcRhuB9NoamWOU,part_360,2026-09-20 20:25:42
BASANTI CABIN,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 94016 14374,N/A,4.4,,"165, Hekra, To, Chukuniapara - Nagarbera Rd, nearby Hekra HS School, Dhupdhara, Guwahati, Assam 781127",783123,26.045050099999997,91.0619467,ChIJX6hk4ZONWTcRPw6KtZjS95o,https://www.google.com/maps/place/?q=place_id:ChIJX6hk4ZONWTcRPw6KtZjS95o,part_360,2026-09-20 20:25:42
Delhi Mistan Bhandar,Sweet Stall / Mithai Shop,Indian sweets shop,"Indian sweets shop, Breakfast restaurant, Fast food restaurant, Vegetarian restaurant",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 94361 03136,N/A,2.9,1508.0,"Police Bazar, Shillong, Meghalaya 793001",Police Bazar,25.5760625,91.8820451,ChIJAQAAAJV-UDcRvPDXeYv4CYs,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAJV-UDcRvPDXeYv4CYs,part_360,2026-09-20 20:25:42
