business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sukur ali Tea Stall,Tea Stall / Chai Cafe,Tea store,Tea store,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,4.5,,"4QQQ+P88, Basisthpur, Guwahati, Assam 781006",Basisthpur,26.139298699999998,91.7883246,ChIJC08NUwBZWjcRwKgfJVLu-P8,https://www.google.com/maps/place/?q=place_id:ChIJC08NUwBZWjcRwKgfJVLu-P8,part_360,2026-09-20 20:25:43
Karak Chaa Dhankheti,Tea Stall / Chai Cafe,Cafe,Cafe,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,4.5,,"Shop no. C7, Bawri Mansion, opposite Shillong Law college, Malki, Shillong, Meghalaya 793001",Malki,25.5662514,91.8889866,ChIJDxjDK0V_UDcRQWOsFuJDhZg,https://www.google.com/maps/place/?q=place_id:ChIJDxjDK0V_UDcRQWOsFuJDhZg,part_360,2026-09-20 20:25:43
Chai club,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,5.0,,"H72V+RCJ, Yellareddypally, Gouraram, Telangana 503164",783123,18.5520998,78.2935001,ChIJceZUCwC3zTsRyD-JGQZ2lf4,https://www.google.com/maps/place/?q=place_id:ChIJceZUCwC3zTsRyD-JGQZ2lf4,part_360,2026-09-20 20:25:43
Chaiko - Chai Lovers Unite,Tea Stall / Chai Cafe,Tea house,Tea house,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 82569 05996,https://instagram.com/chaiko_chailoversunite?igshid=YmMyMTA2M2Y=,4.7,,"Upper, Jail Road, Police Bazar, Shillong, Meghalaya 793001",Police Bazar,25.5790071,91.8843251,ChIJ7xUSPmJ_UDcRMtZBvUXNbco,https://www.google.com/maps/place/?q=place_id:ChIJ7xUSPmJ_UDcRMtZBvUXNbco,part_360,2026-09-20 20:25:43
Krang shuri Tea stall,Tea Stall / Chai Cafe,Cafe,Cafe,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,4.4,,"74XH+M78, Amsarim, Meghalaya 793161",783123,25.299164299999997,92.1281923,ChIJs2Yf499rUDcRwdZQvX7KviI,https://www.google.com/maps/place/?q=place_id:ChIJs2Yf499rUDcRwdZQvX7KviI,part_360,2026-09-20 20:25:43
Goodwyn Tea (Guwahati Airport),Tea Stall / Chai Cafe,Tea store,Tea store,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 90851 46714,http://www.goodwyntea.com/,4.8,,"Lokpriya Gopinath Bordoloi International Airport, Borjhar, Guwahati, Assam 781015",Borjhar,26.1055572,91.5878583,ChIJE011Ei9BWjcRkiNy2JWKu6Y,https://www.google.com/maps/place/?q=place_id:ChIJE011Ei9BWjcRkiNy2JWKu6Y,part_360,2026-09-20 20:25:43
CHAI CONNECTION,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,4.7,,"G6RR+76H, Indalwai Toll Plaza, Indalwai, Telangana 503164",783123,18.5406929,78.2405976,ChIJ5fo-avrJzTsREVVnLmv3MU8,https://www.google.com/maps/place/?q=place_id:ChIJ5fo-avrJzTsREVVnLmv3MU8,part_360,2026-09-20 20:25:43
Mr Chai,Tea Stall / Chai Cafe,Restaurant,"Restaurant, Coffee shop",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 91105 70666,N/A,4.9,,"H No 4-56, Manchipaa road besaid ps twon Mopal, opp. Srinivas Election Shop, Mopal, Telangana 503230",783123,18.619387,78.12214,ChIJnZe8XWvPzTsRV6ofP8gfLiE,https://www.google.com/maps/place/?q=place_id:ChIJnZe8XWvPzTsRV6ofP8gfLiE,part_360,2026-09-20 20:25:43
Kadir Tea Stall,Tea Stall / Chai Cafe,Tea house,Tea house,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,4.1,,"CPG2+56G, Muzaffarnagar, Uttar Pradesh 251003",783123,29.425425699999998,77.7005873,ChIJZejHRvUaDDkRq8dQSn3wJtY,https://www.google.com/maps/place/?q=place_id:ChIJZejHRvUaDDkRq8dQSn3wJtY,part_360,2026-09-20 20:25:43
Tea Post - The Desi Cafe,Tea Stall / Chai Cafe,Cafe,"Cafe, Coffee shop, Coffee stand, Tea house, Tea store",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 98797 77414,http://www.teapost.in/,4.5,,"Nr. Taj Lane Hotel, Sankalp Square Lane Nr. S. P. Ring Road, Sindhu Bhavan Marg, Road, Ahmedabad, Gujarat 380059","PRL Colony, Road",23.0457954,72.4838707,ChIJRV-tmUabXjkR8DDPH6tNtXo,https://www.google.com/maps/place/?q=place_id:ChIJRV-tmUabXjkR8DDPH6tNtXo,part_360,2026-09-20 20:25:43
Kadak Chaa Umsning,Tea Stall / Chai Cafe,Vegetarian restaurant,Vegetarian restaurant,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,4.1,,"GS Rd, Umsning, Meghalaya 793105",783123,25.7405403,91.8807867,ChIJrY9wVkSBWjcRamYLXG17R7w,https://www.google.com/maps/place/?q=place_id:ChIJrY9wVkSBWjcRamYLXG17R7w,part_360,2026-09-20 20:25:43
Tea Garage,Tea Stall / Chai Cafe,Tea store,Tea store,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 77997 74529,http://www.teagarage.in/,4.8,,"Nizamsagar Rd, Kamareddy, Telangana 503111",783123,18.3191789,78.3288372,ChIJWXGinDRJzDsR2DXChjUN-aw,https://www.google.com/maps/place/?q=place_id:ChIJWXGinDRJzDsR2DXChjUN-aw,part_360,2026-09-20 20:25:43
Cha Wala,Tea Stall / Chai Cafe,Tea store,Tea store,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,5.0,,"P3X6+P7C, Shirirampur, West Bengal 712404",783123,22.749266199999997,88.0604549,ChIJ9SIgfCZ7-DkR95p8cjX_UUI,https://www.google.com/maps/place/?q=place_id:ChIJ9SIgfCZ7-DkR95p8cjX_UUI,part_360,2026-09-20 20:25:43
MIKTOKSI,Tea Stall / Chai Cafe,Cafe,Cafe,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 93667 90772,https://www.miktoksi.com/,4.7,,"56, Resubelpara Municipal Board, Rongdiping, Resubelpara, Meghalaya 794108","Resubelpara Municipal Board, Rongdiping",25.9045854,90.60420239999999,ChIJoZ7t2mvNWTcRcVDZMZvelD8,https://www.google.com/maps/place/?q=place_id:ChIJoZ7t2mvNWTcRcVDZMZvelD8,part_360,2026-09-20 20:25:43
Karak chaa noonmati,Tea Stall / Chai Cafe,Tea store,Tea store,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,N/A,3.7,,"Sector 3, Noonmati, Guwahati, Assam 781020","Sector 3, Noonmati",26.1806983,91.8127525,ChIJK119LU5ZWjcRFmn87kE1yFg,https://www.google.com/maps/place/?q=place_id:ChIJK119LU5ZWjcRFmn87kE1yFg,part_360,2026-09-20 20:25:44
CHAI TIME,Tea Stall / Chai Cafe,Cafe,Cafe,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 70027 02857,N/A,4.0,,"H No 54, Shop, Ground Floor Sagarika Bhavan, No 3, Zoo Rd, near Baskin Robbins, Guwahati, Assam 781024",Ambikagirinagar,26.1719606,91.7779303,ChIJURQb3BpZWjcRnczPzh5DcDc,https://www.google.com/maps/place/?q=place_id:ChIJURQb3BpZWjcRnczPzh5DcDc,part_360,2026-09-20 20:25:44
Shillong Enterprise,Tea Stall / Chai Cafe,Coffee vending machine,"Coffee vending machine, Coffee machine supplier",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 98630 63366,N/A,5.0,17.0,"Quinton Road, near Hotel Seven Sisters, below Muda Parking, Police Bazar, Shillong, Meghalaya 793001",Police Bazar,25.577160499999998,91.88225349999999,ChIJ3aEFZH5_UDcRsMUIWBC5IvE,https://www.google.com/maps/place/?q=place_id:ChIJ3aEFZH5_UDcRsMUIWBC5IvE,part_360,2026-09-20 20:25:45
Anderson Tea,Tea Stall / Chai Cafe,Tea Manufacturer,Tea Manufacturer,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",N/A,http://andersontea.com/,4.4,23.0,"Anders, Mission Compound, Mawkhar, Shillong, Meghalaya 793002",Mawkhar,25.5803248,91.8766054,ChIJnQabEqp_UDcRadrsoYy0rQ4,https://www.google.com/maps/place/?q=place_id:ChIJnQabEqp_UDcRadrsoYy0rQ4,part_360,2026-09-20 20:25:45
Taste of chai,Tea Stall / Chai Cafe,Tea store,"Tea store, Tea Wholesaler",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 63048 32658,https://tasteofchai.in/,4.8,25.0,"Mallapur,Door No P NO. 15/P, Hp Petrol Pump Backside Near Nfc Pincoede 500076 HP PETROL PUMP BACK SIDE, near NFC Road, Telangana 500062","Green Hills Colony, Mallapur",17.440292799999998,78.56956149999999,ChIJAxWKwt-dyzsRAZhDChEnShM,https://www.google.com/maps/place/?q=place_id:ChIJAxWKwt-dyzsRAZhDChEnShM,part_360,2026-09-20 20:25:45
Royal Tea Traders,Tea Stall / Chai Cafe,Tea store,"Tea store, Tea Exporter, Tea Manufacturer, Tea market place, Tea Wholesaler",783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 72070 04841,N/A,4.6,144.0,"Shop No : 22, 6-654, Mir Alam Mandi Rd, Mir Alam Mandi, Pathar Gatti, Hyderabad, Telangana 500002","Mir Alam Mandi, Pathar Gatti",17.3641874,78.48041169999999,ChIJayYGryaYyzsRcHf9GOFaCtw,https://www.google.com/maps/place/?q=place_id:ChIJayYGryaYyzsRcHf9GOFaCtw,part_360,2026-09-20 20:25:45
Tea Time Indalwai चाय टाइम इंदलवाई,Tea Stall / Chai Cafe,Tea store,Tea store,783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O",+91 94945 62685,N/A,4.3,47.0,"G6RR+F6Q, Srinagar - Kanyakumari Hwy, Indalwai, Telangana 503164",783123,18.5411885,78.2406243,ChIJw9Ck5jjJzTsR8xLBQIi491w,https://www.google.com/maps/place/?q=place_id:ChIJw9Ck5jjJzTsR8xLBQIi491w,part_360,2026-09-20 20:25:45
