business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Saddam House,Bar and Pub,Bar,Bar,783129,Assam Circle,N/A,Goalpara Division,"Lakhipur S.O (Goalpara), Ambari Bazar B.O, Aolatoli B.O",+91 80118 92169,N/A,,,"House No 325, Gossaidubi, Takimari, Saldhowa, Assam 783132",Gossaidubi,25.9833654,90.20002199999999,ChIJt8Wsu84TWDcRSxkM_29kozg,https://www.google.com/maps/place/?q=place_id:ChIJt8Wsu84TWDcRSxkM_29kozg,part_360,2026-09-20 20:30:26
Jahangir Alom,Bar and Pub,Bar,Bar,783129,Assam Circle,N/A,Goalpara Division,"Lakhipur S.O (Goalpara), Ambari Bazar B.O, Aolatoli B.O",+91 60012 52124,N/A,,,"House No 160, Simlabari, Saldhowa, Assam 783132",783129,25.984277199999998,90.1995845,ChIJhyVVSu0TWDcRk4qGIiS-mRA,https://www.google.com/maps/place/?q=place_id:ChIJhyVVSu0TWDcRk4qGIiS-mRA,part_360,2026-09-20 20:30:26
Afjal,Bar and Pub,Bar,Bar,783129,Assam Circle,N/A,Goalpara Division,"Lakhipur S.O (Goalpara), Ambari Bazar B.O, Aolatoli B.O",N/A,N/A,,,"26V6+6WV, Jaleswar Bill, Assam 783132",783129,26.043101999999998,90.2122895,ChIJCZ6VOABtWDcRz5ekFeFUMVI,https://www.google.com/maps/place/?q=place_id:ChIJCZ6VOABtWDcRz5ekFeFUMVI,part_360,2026-09-20 20:30:26
Shirajul Store help,Bar and Pub,Bar,Bar,783129,Assam Circle,N/A,Goalpara Division,"Lakhipur S.O (Goalpara), Ambari Bazar B.O, Aolatoli B.O",N/A,N/A,3.0,2.0,"362F+6F3, Sardarvita, Superivita, Assam 783132",783129,26.050523199999997,90.2236708,ChIJdSR7EQBtWDcRLmxHaVXU43E,https://www.google.com/maps/place/?q=place_id:ChIJdSR7EQBtWDcRLmxHaVXU43E,part_360,2026-09-20 20:30:26
Jiadul islam,Bar and Pub,Bar,Bar,783129,Assam Circle,N/A,Goalpara Division,"Lakhipur S.O (Goalpara), Ambari Bazar B.O, Aolatoli B.O",N/A,N/A,5.0,1.0,"X6WG+QG, Hosdoba, Assam 783129",783129,25.996960899999998,90.2262315,ChIJ0QNgAgAVWDcRt9Iv4GgIzdg,https://www.google.com/maps/place/?q=place_id:ChIJ0QNgAgAVWDcRt9Iv4GgIzdg,part_360,2026-09-20 20:30:26
Abilir apong thai,Bar and Pub,Bar,Bar,783129,Assam Circle,N/A,Goalpara Division,"Lakhipur S.O (Goalpara), Ambari Bazar B.O, Aolatoli B.O",N/A,N/A,4.8,4.0,"X627+R9W, Gasuapara, Ghaguapara, Meghalaya 794109",783129,25.952372699999998,90.2129168,ChIJz1HGPvYTWDcRZoqMSE0cU0Q,https://www.google.com/maps/place/?q=place_id:ChIJz1HGPvYTWDcRZoqMSE0cU0Q,part_360,2026-09-20 20:30:26
Sadhu Yadav,Bar and Pub,Bar,Bar,783129,Assam Circle,N/A,Goalpara Division,"Lakhipur S.O (Goalpara), Ambari Bazar B.O, Aolatoli B.O",+91 82710 61959,N/A,1.0,1.0,"Tarangapur Daily Market, Chilarvita, Assam 783132",783129,26.050624,90.2466793,ChIJ50slsm5rWDcRqG1Gm3iy2bc,https://www.google.com/maps/place/?q=place_id:ChIJ50slsm5rWDcRqG1Gm3iy2bc,part_360,2026-09-20 20:30:26
Julfikkar Store,Bar and Pub,Bar,Bar,783129,Assam Circle,N/A,Goalpara Division,"Lakhipur S.O (Goalpara), Ambari Bazar B.O, Aolatoli B.O",+91 98641 82735,N/A,,,"Joypur Bazar, Roumari, Ramhari Char No-I, Assam 783129",783129,26.1196493,90.4435663,ChIJQ3d2j_1HWDcR5wUVY56cmM8,https://www.google.com/maps/place/?q=place_id:ChIJQ3d2j_1HWDcR5wUVY56cmM8,part_360,2026-09-20 20:30:26
Galamal,Bar and Pub,Bar,Bar,783129,Assam Circle,N/A,Goalpara Division,"Lakhipur S.O (Goalpara), Ambari Bazar B.O, Aolatoli B.O",+91 93653 25868,N/A,,,"Galamal Abd Mr Abdul, Beldubi, Rakhalkillah, Assam 783330",783129,25.961079599999998,90.19911599999999,ChIJs5LkTT8TWDcR5p4ocXs--cU,https://www.google.com/maps/place/?q=place_id:ChIJs5LkTT8TWDcR5p4ocXs--cU,part_360,2026-09-20 20:30:26
Abu jala,Bar and Pub,Bar,Bar,783129,Assam Circle,N/A,Goalpara Division,"Lakhipur S.O (Goalpara), Ambari Bazar B.O, Aolatoli B.O",N/A,N/A,,,"Abu jala Abu jala Abu, jala Abujalal, Abujalal, Assam 783348",jala Abujalal,26.2066308,90.2432307,ChIJOdaqozppWDcRyZDXxOsqATc,https://www.google.com/maps/place/?q=place_id:ChIJOdaqozppWDcRyZDXxOsqATc,part_360,2026-09-20 20:30:26
