business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HAYAT COMPUTER,Computer Sales and Laptop Repair,Computer store,Computer store,783332,Assam Circle,N/A,Goalpara Division,"Tamarhat S.O, Barjan B.O, Kamandanga B.O",+91 70022 69089,N/A,4.5,,"Prasanti Lodge Complex, RNB Rd, Tengapara, Kokrajhar, Assam 783370",Tengapara,26.401576,90.2715494,ChIJvYl_aklhWDcRBdGi6dXhC0k,https://www.google.com/maps/place/?q=place_id:ChIJvYl_aklhWDcRBdGi6dXhC0k,part_360,2026-09-20 20:40:50
Priyanka infotech,Computer Sales and Laptop Repair,Computer store,Computer store,783332,Assam Circle,N/A,Goalpara Division,"Tamarhat S.O, Barjan B.O, Kamandanga B.O",+91 99573 45436,N/A,4.7,,"DK Rd, Gossaigaon, Assam 783360",783332,26.4393575,89.980064,ChIJobaiu8F_4jkRyLF6rViBXxg,https://www.google.com/maps/place/?q=place_id:ChIJobaiu8F_4jkRyLF6rViBXxg,part_360,2026-09-20 20:40:50
AGOMONI DIGITAL HOUSE,Computer Sales and Laptop Repair,Computer store,Computer store,783332,Assam Circle,N/A,Goalpara Division,"Tamarhat S.O, Barjan B.O, Kamandanga B.O",N/A,N/A,5.0,,"Dev Block Front, GK Rd, Vill, Agomani, Kaldoba Pt.I, Assam 783335",Vill,26.199336199999998,89.7841138,ChIJe0OEFQSR4jkRW0MfygnQ3Zo,https://www.google.com/maps/place/?q=place_id:ChIJe0OEFQSR4jkRW0MfygnQ3Zo,part_360,2026-09-20 20:40:50
IT Zone,Computer Sales and Laptop Repair,Computer accessories store,Computer accessories store,783332,Assam Circle,N/A,Goalpara Division,"Tamarhat S.O, Barjan B.O, Kamandanga B.O",+91 96138 07129,N/A,4.2,,"Agomani, Assam 783335",783332,26.197926,89.7851448,ChIJ-aKJ05GR4jkRWnN3eV_JpBI,https://www.google.com/maps/place/?q=place_id:ChIJ-aKJ05GR4jkRWnN3eV_JpBI,part_360,2026-09-20 20:40:50
DIGITAL SEVA RAZA MOBILE,Computer Sales and Laptop Repair,Computer store,"Computer store, Stamp shop",783332,Assam Circle,N/A,Goalpara Division,"Tamarhat S.O, Barjan B.O, Kamandanga B.O",+91 76360 24334,https://www.khadizur.com/,4.5,,"above Kaldoba Bazar, Kaldoba Pt.II, Agomani, Assam 783335",783332,26.2014848,89.7743292,ChIJR-PuS-iT4jkRlCAowyXu2Oc,https://www.google.com/maps/place/?q=place_id:ChIJR-PuS-iT4jkRlCAowyXu2Oc,part_360,2026-09-20 20:40:50
MONALISA MOBILE CARE,Computer Sales and Laptop Repair,Computer store,"Computer store, Store",783332,Assam Circle,N/A,Goalpara Division,"Tamarhat S.O, Barjan B.O, Kamandanga B.O",+91 84868 66673,N/A,4.7,,"Hatidhura, Talowagaon, Assam 783332",783332,26.3227059,89.8537662,ChIJ7d9hQ_6F4jkRCCW-7dPYYxA,https://www.google.com/maps/place/?q=place_id:ChIJ7d9hQ_6F4jkRCCW-7dPYYxA,part_360,2026-09-20 20:40:50
RS TECH HUB,Computer Sales and Laptop Repair,Computer store,Computer store,783332,Assam Circle,N/A,Goalpara Division,"Tamarhat S.O, Barjan B.O, Kamandanga B.O",+91 93158 55090,N/A,4.0,,"NH 17, near Hero Showroom, Agomani, Assam 783335",783332,26.1975186,89.7854102,ChIJ6V9pjdyR4jkRbwLuWv76S_U,https://www.google.com/maps/place/?q=place_id:ChIJ6V9pjdyR4jkRbwLuWv76S_U,part_360,2026-09-20 20:40:50
Brother Computer Store,Computer Sales and Laptop Repair,Computer store,Computer store,783332,Assam Circle,N/A,Goalpara Division,"Tamarhat S.O, Barjan B.O, Kamandanga B.O",+91 70866 83500,N/A,3.5,,"Bajar, Kursakati, Assam 783332",783332,26.264554699999998,89.8795997,ChIJw6iBIFyF4jkR3KruVzffK68,https://www.google.com/maps/place/?q=place_id:ChIJw6iBIFyF4jkR3KruVzffK68,part_360,2026-09-20 20:40:50
Partha Update Corner,Computer Sales and Laptop Repair,Computer store,Computer store,783332,Assam Circle,N/A,Goalpara Division,"Tamarhat S.O, Barjan B.O, Kamandanga B.O",+91 81340 90571,N/A,5.0,,"9R2P+WXW, Baghdokra Road, Kamandanga, Kamandanga Kuti, Assam 783332",783332,26.352359999999997,89.8374494,ChIJBTDYfbCJ4jkR0TLQuvBsg90,https://www.google.com/maps/place/?q=place_id:ChIJBTDYfbCJ4jkR0TLQuvBsg90,part_360,2026-09-20 20:40:50
MODERN COMPUTER,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer store, Computer service",783332,Assam Circle,N/A,Goalpara Division,"Tamarhat S.O, Barjan B.O, Kamandanga B.O",+91 96782 13954,N/A,5.0,,"Vill- Oxiguri, P.o, PS, Srinagar, Tamarhat, Assam 783332",783332,26.3173453,89.8546913,ChIJPZAEbtCF4jkRHFrySQr3Eiw,https://www.google.com/maps/place/?q=place_id:ChIJPZAEbtCF4jkRHFrySQr3Eiw,part_360,2026-09-20 20:40:50
